Type,Area,,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate
050 NATIONAL DEFENSE,Homeland Security:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050 NATIONAL DEFENSE,Salaries and Expenses,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,13,14,10,10,9,14,11,5,11,17,21,20,22,22,26,26,26,27,26,26,31,32,39,38,7,40,43,44,39,45,39,45,55,105,81,80,80,88,91,80,100,99,96,64,23,..........,7,1,..........,47,91,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
050 NATIONAL DEFENSE,"Total, 050",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,13,14,10,10,9,14,11,5,11,17,40,35,33,25,27,27,34,37,34,45,57,64,74,89,15,96,60,94,93,75,68,86,95,157,177,193,188,253,241,185,318,152,169,68,38,..........,12,1,2,47,91,..........,..........,2,2,..........,1,..........,..........,..........,..........,..........,..........,..........,..........
150 INTERNATIONAL AFFAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 INTERNATIONAL AFFAIRS,State:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 INTERNATIONAL AFFAIRS,East-West Center,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,7,7,4,4,6,7,6,6,5,5,5,6,7,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
150 INTERNATIONAL AFFAIRS,"Total, 150",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,7,7,4,4,6,7,6,6,5,5,5,6,7,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
270 ENERGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270 ENERGY,Energy:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270 ENERGY,Energy supply and conservation,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,5,6,9,8,5,5,5,7,8,7,6,100,83,384,480,346,317,356,314,311,242,230,187,228,214,207,223,218,240,225,168,160,158,124,177,200,260,270,271,275,215,..........,..........,..........,..........,..........,..........,..........,..........,..........
270 ENERGY,Energy Efficiency and Renewable Energy,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,34,455,"2,199","4,561","3,605",388,219,257,275
270 ENERGY,"Subtotal, Energy",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,5,6,9,8,5,5,5,7,8,7,6,100,83,384,480,346,317,356,314,311,242,230,187,228,214,207,223,218,240,225,168,160,158,124,177,200,260,270,271,275,215,34,455,"2,199","4,561","3,605",388,219,257,275
270 ENERGY,Housing and Urban Development:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270 ENERGY,Assistance for solar and conservation improvements,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,8,27,32,10,3,1,*,*,*,*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
270 ENERGY,Other Independent Agencies:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270 ENERGY,Tennessee Valley Authority Fund,,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,9,10,12,13,15,16,20,26,27,31,37,48,20,68,80,100,116,137,163,165,170,188,196,203,225,232,233,243,241,237,248,252,256,272,264,304,309,315,328,329,338,365,376,452,490,544,457,567,618,548,540,532,524
270 ENERGY,"Total, 270",,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,9,10,12,18,20,25,28,31,33,36,43,56,27,74,180,183,499,617,509,482,534,529,538,455,457,420,461,457,448,460,466,492,481,440,424,462,433,492,528,589,608,636,651,667,524,999,"2,656","5,128","4,223",936,759,789,799
300 NATURAL RESOURCES AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 NATURAL RESOURCES AND ENVIRONMENT,Agriculture:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 NATURAL RESOURCES AND ENVIRONMENT,Grassroots Source Water Protection Program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,4,4,4,5,5,4,4,5,6,11,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Watershed Rehabilitation Program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,..........,..........,2,2,2,7,1,15,5,5,7,8,107,83
300 NATURAL RESOURCES AND ENVIRONMENT,Resource conservation and development,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,1,2,7,8,12,7,8,8,9,13,3,11,17,19,14,17,13,14,17,11,10,7,11,9,19,22,5,8,1,5,3,2,1,1,1,1,1,1,1,1,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Watershed and Flood Prevention Operations,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,6,10,15,13,17,23,33,32,39,57,57,58,69,72,64,64,74,74,80,79,97,94,114,27,115,99,123,57,71,144,134,151,160,169,124,114,94,122,133,113,128,187,244,228,174,63,52,66,66,59,47,42,61,133,148,83,155,58,85,23,..........,45,46,23
300 NATURAL RESOURCES AND ENVIRONMENT,Rural Community Advancement Program,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,3,3,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Forest and Rangeland Research,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,8,8,8,6,10,9,7,1,8,13,14,15,*,1,*,*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,State and Private Forestry,,2,4,2,2,2,7,6,9,9,9,10,10,10,10,10,10,11,11,12,12,11,11,14,16,16,15,19,19,19,22,21,21,26,26,26,32,40,3,22,25,42,31,28,32,32,28,26,25,27,37,40,56,72,96,85,78,103,81,101,96,90,98,131,148,154,277,321,339,316,292,266,255,248,240,290,223,210,216
300 NATURAL RESOURCES AND ENVIRONMENT,Management of National Forest Lands for Subsistence Uses,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,6,5,5,6,6,5,5,5,5,4,3,2,3,3,2,3
300 NATURAL RESOURCES AND ENVIRONMENT,"Subtotal, Agriculture",,2,4,2,2,2,7,6,9,9,9,10,10,10,10,16,20,26,24,29,35,44,44,53,74,73,74,88,92,85,93,104,107,113,112,131,136,167,33,148,149,191,111,121,199,189,204,198,212,171,176,158,197,228,214,224,269,352,312,277,160,143,166,204,214,207,326,391,484,476,391,432,337,345,274,305,285,376,325
300 NATURAL RESOURCES AND ENVIRONMENT,Commerce:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 NATURAL RESOURCES AND ENVIRONMENT,"NOAA: Operations, research, and facilities",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,4,20,26,18,18,23,6,19,18,43,69,47,50,80,109,143,139,158,140,151,93,126,49,59,53,14,26,2,70,91,91,3,104,83,62,57,35,31,9,536,105,77,96,96,109,147,148
300 NATURAL RESOURCES AND ENVIRONMENT,Pacific Coastal Salmon Recovery,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,35,71,107,83,77,80,79,69,87,61,77,79,79,71,65,58
300 NATURAL RESOURCES AND ENVIRONMENT,"Gulf Coast Ecosystem Restoration Science, Observation, Monitorin",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2,2
300 NATURAL RESOURCES AND ENVIRONMENT,"Procurement, Acquisition and Construction",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,52,110,61,17,1,6,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,NOAA: Coastal zone management,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,7,13,5,22,24,27,41,50,33,43,31,24,..........,..........,..........,..........,..........,..........,6,4,9,-3,1,5,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,"Subtotal, Commerce",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,4,20,26,18,24,36,11,41,42,70,110,97,83,123,140,167,139,158,140,151,93,126,55,64,62,11,27,7,70,91,92,38,175,190,197,244,176,127,79,629,166,154,175,175,180,214,208
300 NATURAL RESOURCES AND ENVIRONMENT,Environmental Protection Agency:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 NATURAL RESOURCES AND ENVIRONMENT,State and Tribal Assistance Grants,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,1,1,..........,..........,..........,..........,2,19,36,40,44,42,52,66,70,81,84,122,135,176,478,413,684,"1,553","1,938","2,429",919,"3,530","3,187","3,756","4,343","3,881","3,756","2,983","2,619","2,889","3,109","2,919","2,514","2,354","2,290","2,389","2,412","2,109","1,962","2,455","2,573","2,719","2,597","2,745","3,192","3,548","3,353","3,684","3,905","3,583","3,874","3,938","3,761","3,446","6,405","5,549","5,223","4,713","4,103","3,891","3,927"
300 NATURAL RESOURCES AND ENVIRONMENT,Environmental programs and management (incl loans),,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,5,7,13,14,26,18,42,46,61,70,87,134,36,194,203,206,260,300,320,270,246,262,260,290,295,299,341,357,408,496,484,241,4,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Hazardous Substance Superfund,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,13,57,47,49,42,78,120,198,262,154,187,189,153,140,135,95,156,240,141,170,177,51,92,38,25,25,53,322,273,220,198,189,191,206
300 NATURAL RESOURCES AND ENVIRONMENT,Leaking Underground Storage Tank Trust Fund,TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,7,24,45,63,64,59,65,63,62,53,54,59,58,61,65,56,62,59,54,53,68,81,156,157,129,95,90,88,84
300 NATURAL RESOURCES AND ENVIRONMENT,"Subtotal, Environmental Protection Agency",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,1,1,..........,..........,..........,..........,2,19,36,40,44,42,52,66,75,88,97,136,161,194,520,460,745,"1,623","2,025","2,563",955,"3,724","3,390","3,963","4,603","4,181","4,079","3,266","2,921","3,197","3,419","3,251","2,895","2,797","2,874","3,071","3,038","2,852","2,700","2,912","2,779","2,907","2,746","2,960","3,490","3,750","3,588","3,917","4,018","3,734","3,966","4,016","3,854","3,580","6,883","5,979","5,572","5,006","4,382","4,170","4,217"
300 NATURAL RESOURCES AND ENVIRONMENT,Interior:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 NATURAL RESOURCES AND ENVIRONMENT,Miscellaneous Permanent Payment Accounts (BLM),,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,50,2,7,209,251,278,250,138,131,133,108,101,90,47,44,48,38,41
300 NATURAL RESOURCES AND ENVIRONMENT,Coastal Impact Assistance,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,12,25,119,70,8,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Mines and minerals,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,2,2,*,*,*,*,1,1,*,*,..........,2,-2,2,2,1,4,1,−*,*,*,13,25,27,72,80,103,144,164,179,195,181,200,197,166,170,203,191,193,233,238,204,206,197,212,258,232,242,244,232,231,198,199,205,238,252,212,243,241
300 NATURAL RESOURCES AND ENVIRONMENT,Payments to States in Lieu of Coal Fee Receipts,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,46,37,118,156,68,161,78,34
300 NATURAL RESOURCES AND ENVIRONMENT,Water and Related Resources,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Bureau of Reclamation Loan Program Account,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,2,5,6,13,10,19,9,10,13,4,2,3,21,2,11,19,6,5,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,"Colorado River Dam Fund, Boulder Canyon Project",,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Miscellaneous permanent appropriations,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,*,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
300 NATURAL RESOURCES AND ENVIRONMENT,Water resources and research,,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,..........,8,11,8,7,9,10,2,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,5,6,5,6,6,7,3,6,6,6
300 NATURAL RESOURCES AND ENVIRONMENT,Fish and Wildlife Service,,..........,1,1,2,1,1,1,2,2,5,8,8,10,12,15,16,16,16,19,20,22,21,20,20,21,20,22,22,31,34,43,45,54,58,54,72,73,17,90,91,96,124,141,149,155,155,155,161,119,134,106,141,156,170,181,190,199,228,232,225,224,248,296,271,335,381,405,422,476,515,537,604,627,639,761,802,883,921
300 NATURAL RESOURCES AND ENVIRONMENT,Fish and Wildlife Service (Sport fish restoration),TF,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,39,85,122,146,179,200,227,231,218,237,219,230,251,257,285,291,291,320,318,331,365,372,420,446,437,456,427,454,433,465,475
