Year,GDP,Receipts_Total,Outlays_Total,Surplus_or_Deficit_Total,Receipts_On_Budget,Outlays_On_Budget,Surplus_or_Deficit_On_Budget,Receipts_Off_Budget,Outlays_Off_Budget,Surplus_or_Deficit_Off_Budget
1998,"8,954.8",19.2,18.5,0.8,14.6,14.9,-0.3,4.6,3.5,1.1
1999,"9,510.5",19.2,17.9,1.3,14.5,14.5,*,4.7,3.4,1.3
2000,"10,148.2",20.0,17.6,2.3,15.2,14.4,0.9,4.7,3.3,1.5
2001,"10,564.6",18.8,17.6,1.2,14.0,14.3,-0.3,4.8,3.3,1.5
2002,"10,876.9",17.0,18.5,-1.5,12.3,15.2,-2.9,4.7,3.3,1.5
2003,"11,332.4",15.7,19.1,-3.3,11.1,15.9,-4.8,4.6,3.2,1.4
2004,"12,088.6",15.6,19.0,-3.4,11.1,15.8,-4.7,4.4,3.1,1.3
2005,"12,888.9",16.7,19.2,-2.5,12.2,16.1,-3.8,4.5,3.1,1.4
2006,"13,684.7",17.6,19.4,-1.8,13.1,16.3,-3.2,4.4,3.1,1.4
2007,"14,322.9",17.9,19.1,-1.1,13.5,15.9,-2.4,4.4,3.2,1.3
2008,"14,752.4",17.1,20.2,-3.1,12.6,17.0,-4.4,4.5,3.2,1.2
2009,"14,414.6",14.6,24.4,-9.8,10.1,20.8,-10.8,4.5,3.6,1.0
2010,"14,798.5",14.6,23.4,-8.7,10.3,19.6,-9.3,4.3,3.7,0.5
2011,"15,379.2",15.0,23.4,-8.5,11.3,20.2,-8.9,3.7,3.2,0.4
2012,"16,026.4",15.3,22.1,-6.8,11.7,18.9,-7.2,3.6,3.2,0.4
2013,"16,581.6",16.7,20.8,-4.1,12.7,17.0,-4.3,4.1,3.8,0.2
2014,"17,244.0",17.5,20.3,-2.8,13.3,16.2,-3.0,4.3,4.1,0.2
2015 estimate,"17,985.0",17.7,20.9,-3.2,13.4,16.7,-3.3,4.3,4.2,0.1
2016 estimate,"18,818.6",18.7,21.3,-2.5,14.5,17.0,-2.5,4.3,4.2,*
2017 estimate,"19,708.6",19.1,21.4,-2.3,14.8,17.1,-2.3,4.3,4.3,−*
2018 estimate,"20,616.8",19.1,21.5,-2.3,14.8,17.0,-2.2,4.3,4.4,-0.1
2019 estimate,"21,539.9",19.2,21.6,-2.4,14.9,17.1,-2.2,4.3,4.5,-0.2
2020 estimate,"22,476.4",19.3,21.7,-2.5,15.0,17.1,-2.2,4.3,4.6,-0.3
