Category_and_Program,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Agriculture,369,454,492,521,596,662,761,764,827,884,912,936,945,"1,047","1,059",271,"1,193","1,304","1,519","1,533","1,682","1,693","1,618","1,824","1,981","1,905","1,974","2,035","2,244","2,349","2,513","3,892","3,972","4,147","3,889","4,009","3,943","4,197","4,431","4,515","4,958","5,165","5,642","5,754","5,974","5,958","6,030","8,419","6,249","6,771","6,395","6,002","5,659","5,540","7,028","6,585","6,561","6,772","6,799","6,876"
Commerce and housing credit,"1,342","1,364","1,177","1,634","1,850","2,243","2,102","1,039","2,100","2,687","1,907","1,969","2,418","2,851","2,764","1,154","3,455","3,369","3,801","5,079","4,273","3,582","3,516","3,674","3,681","2,869","2,409","2,368","3,334","3,834","3,346","2,625","2,103",853,"2,847","1,680","1,572",407,412,"4,408","1,390",971,-619,141,"2,074","1,828","1,741","3,046","7,706","6,520","-2,048",-192,"-13,974","-6,832","-4,891","-2,362","-2,847","-2,542","-1,573","1,565"
Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ground transportation,70,65,64,67,86,121,154,287,288,495,615,836,948,"2,128","9,106","2,202","9,467","9,943","11,650","14,761","14,765","13,163","13,883","14,603","17,076","17,899","16,199","17,391","16,950","17,611","18,028","18,869","19,862","22,283","23,451","23,591","24,955","24,525","26,626","30,602","34,595","39,031","35,813","39,930","41,583","44,212","45,877","49,165","53,575","59,984","60,180","60,490","59,384","59,975","3,178","2,836","2,431","2,277","1,950","1,774"
Air transportation,737,772,801,864,890,983,"1,033","1,176","1,386","2,390","2,764","2,179","2,162","2,345","2,485",569,"2,736","3,200","3,320","3,673","3,731","3,480","3,911","4,436","4,934","5,341","5,556","5,888","6,621","7,233","8,187","9,316","10,049","10,146","10,020","10,135","10,138","10,594","10,720","10,571","11,617","14,147","23,086","17,123","18,937","18,803","18,589","19,816","20,893","21,656","21,707","22,039","21,707","21,425","21,480","22,141","21,810","21,785","21,460","21,600"
Water and other transportation,617,633,620,698,671,743,826,847,887,"1,033","1,086","1,220","1,339","1,443","1,523",417,"1,716","1,692","1,923","2,281","2,334","2,592","2,754","2,792","2,829","2,609","2,747","2,801","2,806","3,011","3,045","3,281","3,322","3,568","3,563","3,319","3,294","3,134","3,217","3,580","3,929","4,101","5,283","5,734","5,555","5,848","6,695","7,066","7,827","8,260","9,063","8,575","8,594","8,585","8,835","9,818","9,003","8,805","8,858","8,951"
Total transportation,"1,425","1,469","1,485","1,628","1,647","1,847","2,013","2,310","2,561","3,918","4,465","4,235","4,450","5,916","13,114","3,189","13,919","14,835","16,894","20,715","20,831","19,235","20,548","21,830","24,839","25,849","24,502","26,079","26,377","27,855","29,260","31,465","33,233","35,997","37,034","37,045","38,387","38,253","40,563","44,753","50,141","57,279","64,182","62,787","66,075","68,863","71,161","76,047","82,295","89,900","90,950","91,104","89,685","89,985","33,493","34,795","33,244","32,867","32,268","32,325"
Community and regional development,432,527,894,"1,045","1,009","1,001","1,280","1,476","2,291","2,651","3,047","3,565","3,458","3,678","4,649","1,342","6,058","10,845","9,247","9,437","9,058","6,677","6,087","6,316","6,668","6,132","5,509","5,282","5,190","7,333","6,161","6,403","8,462","10,866","10,198","10,433","10,768","10,195","11,962","11,463","12,329","14,056","19,498","15,664","24,919","38,328","29,610","24,112","25,150","23,345","23,945","24,223","26,939","22,044","25,471","20,436","20,276","19,755","16,054","12,869"
"Education, training, employment and social services:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,640,749,803,"1,002","2,143","3,253","3,778","3,654","4,317","4,877","5,357","5,470","5,469","7,098","7,554","1,878","8,549","9,170","10,876","12,366","12,784","11,257","12,062","12,147","13,651","14,262","14,811","15,657","17,446","18,352","20,364","22,528","24,722","24,642","25,164","25,162","25,708","27,977","30,306","33,663","37,689","43,333","50,920","54,822","59,410","60,655","59,821","61,759","80,604","109,253","91,917","73,456","66,784","71,834","70,872","73,247","75,048","74,575","75,821","76,400"
"Training, employment and social services",291,327,418,781,"1,716","2,318","2,840","2,951","3,037","3,552","4,636","5,078","4,747","5,969","8,196","2,456","9,112","13,237","14,067","13,421","12,543","8,286","8,265","7,726","8,152","8,530","8,430","8,930","9,667","9,519","10,233","11,488","11,741","12,926","13,775","13,309","13,964","14,592","14,857","15,313","16,607","19,448","20,343","20,397","19,715","20,057","19,984","20,204","20,910","25,080","24,460","21,955","21,132","20,266","22,346","22,461","24,576","25,310","25,747","25,975"
"Total education, training, employment and social services",931,"1,075","1,221","1,784","3,858","5,571","6,618","6,605","7,354","8,429","9,993","10,548","10,216","13,067","15,751","4,334","17,660","22,408","24,943","25,787","25,326","19,542","20,327","19,873","21,803","22,792","23,242","24,587","27,113","27,870","30,597","34,016","36,463","37,568","38,939","38,471","39,672","42,569","45,163","48,976","54,296","62,781","71,263","75,219","79,125","80,712","79,805","81,963","101,514","134,333","116,377","95,411","87,916","92,100","93,218","95,708","99,624","99,885","101,568","102,375"
Health,"1,087","1,283","1,563","1,495","1,735","2,152","2,560","2,843","3,143","3,417","3,997","4,567","4,749","5,821","6,715","1,581","6,935","7,294","7,513","8,471","9,102","8,983","8,537","8,930","9,602","10,231","10,653","12,151","13,055","14,863","16,164","17,966","19,652","20,512","22,025","22,592","22,959","24,894","26,977","29,922","33,157","39,414","44,243","47,736","50,481","51,347","52,380","54,049","56,601","65,386","62,746","60,313","57,070","55,727","59,822","59,975","60,008","60,044","60,479","61,195"
Medicare,..........,..........,..........,..........,64,223,221,299,366,397,455,439,667,661,836,220,770,936,988,"1,080","1,222","1,256","1,342","1,531","1,735","1,718","1,727","1,972","2,254","2,299","2,444","2,846","2,650","2,914","2,971","2,953","2,575","2,589","2,753","2,998","3,323","3,156","3,724","4,470","4,304","4,989","4,632","4,941","4,998","5,159","5,730","5,775","6,017","6,385","6,427","6,739","7,026","7,155","7,280","7,373"
Income security:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing assistance,167,182,193,219,239,257,299,362,504,766,"1,156","1,652","1,825","2,128","2,504",656,"3,007","3,683","4,309","5,488","6,867","8,067","9,452","10,052","11,406","11,444","11,281","12,730","13,982","15,483","16,961","18,780","21,401","23,809","27,445","26,670","27,696","28,686","27,645","28,788","30,067","33,046","35,306","36,574","37,710","38,002","39,436","40,245","41,405","46,628","47,743","43,801","42,376","43,020","44,319","46,260","47,489","48,399","48,855","49,172"
Other,336,295,335,307,327,365,383,427,455,627,672,762,"1,022","1,368","2,270",474,"2,529","2,808","3,159","5,325","6,328","6,786","7,514","7,438","7,803","7,894","7,635","7,516","7,722","8,203","8,966","9,617","10,123","12,060","11,772","11,340","11,749","12,224","12,313","12,638","13,894","14,942","15,674","15,689","16,524","16,358","16,929","18,008","22,081","22,976","23,344","21,616","21,491","21,190","23,024","22,917","22,667","23,181","23,494","23,723"
Total income security,503,476,528,526,566,623,682,789,959,"1,393","1,829","2,414","2,847","3,496","4,774","1,130","5,536","6,491","7,468","10,813","13,195","14,852","16,966","17,489","19,209","19,338","18,916","20,246","21,703","23,687","25,927","28,397","31,525","35,869","39,217","38,010","39,445","40,910","39,958","41,426","43,961","47,988","50,980","52,263","54,234","54,360","56,365","58,253","63,486","69,604","71,087","65,417","63,867","64,210","67,343","69,177","70,156","71,580","72,349","72,895"
Social security,318,332,373,382,437,433,561,599,623,742,794,914,878,"1,101","1,200",304,"1,370","1,413","1,479","1,494","1,703","2,048","2,211","2,171","2,191","2,209","2,280","2,533","2,147","2,127","2,250","2,417","2,600","2,651","2,573","2,620","2,955","3,096","3,046","3,375","3,590","3,907","4,227","4,011","4,593","4,638","4,711","4,917","5,237","5,985","5,888","5,576","5,710","5,657","5,536","5,928","5,453","5,550","5,596","5,651"
Veterans benefits and services,"1,256","1,316","1,404","1,445","1,493","1,584","1,677","1,790","2,057","2,314","2,734","3,050","3,358","4,121","4,535","1,157","5,243","5,857","6,234","7,165","7,605","8,179","8,957","9,594","10,352","10,653","11,037","11,677","12,145","12,996","13,759","15,112","15,823","16,720","17,432","17,607","18,596","18,482","19,372","20,740","22,392","24,085","25,726","28,589","30,482","32,404","35,301","41,189","46,810","50,918","56,710","57,020","58,961","63,131","64,693","68,509","73,703","75,336","76,753","78,385"
Administration of justice,426,461,486,532,560,614,654,653,823,"1,156","1,507","1,978","2,371","2,877","3,411",913,"3,713","3,899","4,254","4,671","4,865","4,797","5,202","5,765","6,385","6,674","7,470","9,046","9,647","10,276","12,129","14,208","14,903","15,288","16,429","17,929","20,534","22,663","25,733","27,559","29,853","33,807","34,151","38,129","39,412","40,309","41,756","47,689","50,895","52,681","54,294","54,072","51,350","49,413","51,935","46,662","53,307","56,758","59,052","59,666"
General government,"1,266","1,356","1,647","1,596","1,702","1,863","1,898","1,940","2,292","2,447","2,961","3,284","3,773","3,720","3,545","2,090","5,896","4,637","4,724","5,213","5,286","5,659","5,951","6,435","6,643","7,177","7,230","7,979","8,219","8,916","10,237","10,908","11,759","11,550","12,190","11,511","11,730","11,524","11,987","11,859","12,639","14,113","15,304","16,063","16,496","16,027","15,855","16,857","17,748","19,450","19,780","19,535","17,604","15,762","17,079","18,755","19,915","20,133","21,289","21,896"
Allowances 1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"2,115","3,286","4,011","1,418"
Total nondefense 1,"19,525","21,575","24,098","26,771","31,145","34,483","35,826","34,602","38,342","43,522","49,206","53,300","57,487","70,349","85,701","25,744","99,556","114,061","123,221","141,694","149,949","140,019","143,428","151,402","162,683","164,688","161,644","173,499","184,798","200,437","213,574","231,202","247,323","259,074","271,199","266,772","275,363","281,745","296,650","319,661","342,966","384,998","419,397","441,008","474,938","496,657","493,722","522,450","580,812","658,312","647,736","615,564","576,378","582,221","557,520","563,189","581,176","586,252","591,582","593,995"
Total outlays for discretionary programs,"72,075","75,294","79,136","77,793","90,143","106,473","117,978","117,318","120,254","122,531","128,544","130,394","138,207","157,965","175,577","48,056","197,073","218,710","239,998","276,324","307,913","325,952","353,310","379,447","415,793","438,520","444,161","464,418","488,832","500,578","533,278","533,803","539,753","541,340","544,761","532,733","547,037","551,995","572,113","614,626","649,041","733,950","824,339","895,065","968,541","1,016,624","1,041,590","1,134,884","1,237,536","1,347,166","1,347,128","1,286,087","1,202,128","1,178,670","1,146,137","1,168,191","1,175,025","1,168,641","1,172,474","1,182,452"
