Fiscal_Year,Total_Outlays_1,Total_ Discretionary,National_Defense_2_ Discretionary,Non-defense_2_ Discretionary,Total_ Mandatory_and_Net_Interest,Total_ Mandatory,Total_Programmatic,Social_Security_Programmatic,Deposit_Insurance_Programmatic,Means_Tested_Entitlements_3_Programmatic,Other_Programmatic,Undistributed_Offsetting_Receipts_4_ Mandatory,Net_Interest_ Mandatory_and_Net_Interest
1978,100.0,47.7,22.8,24.9,52.3,44.6,48.0,20.2,-0.2,7.7,20.4,-3.4,7.7
1979,100.0,47.6,23.2,24.4,52.4,43.9,47.4,20.4,-0.3,7.6,19.8,-3.5,8.5
1980,100.0,46.8,22.8,24.0,53.2,44.4,47.7,19.8,-0.1,7.6,20.4,-3.4,8.9
1981,100.0,45.4,23.3,22.1,54.6,44.5,48.6,20.3,-0.2,7.7,20.8,-4.1,10.1
1982,100.0,43.7,24.9,18.8,56.3,44.9,48.4,20.6,-0.3,7.0,21.0,-3.5,11.4
1983,100.0,43.7,26.0,17.7,56.3,45.2,49.4,20.8,-0.1,7.1,21.6,-4.2,11.1
1984,100.0,44.5,26.8,17.8,55.5,42.4,46.2,20.7,-0.1,6.9,18.7,-3.8,13.0
1985,100.0,43.9,26.7,17.2,56.1,42.4,45.8,19.7,-0.2,6.6,19.7,-3.5,13.7
1986,100.0,44.3,27.6,16.6,55.7,42.0,45.3,19.8,0.2,6.8,18.6,-3.3,13.7
1987,100.0,44.2,28.1,16.1,55.8,42.0,46.2,20.4,0.3,7.0,18.4,-4.2,13.8
1988,100.0,43.6,27.3,16.3,56.4,42.1,46.3,20.4,0.9,7.3,17.7,-4.2,14.3
1989,100.0,42.7,26.6,16.2,57.3,42.5,46.4,20.1,1.9,7.5,16.8,-3.9,14.8
1990,100.0,40.0,24.0,16.0,60.0,45.3,48.3,19.7,4.6,7.6,16.3,-2.9,14.7
1991,100.0,40.3,24.1,16.1,59.7,45.0,48.0,20.1,5.0,8.9,14.0,-3.0,14.7
1992,100.0,38.6,21.9,16.7,61.4,46.9,49.8,20.6,0.2,10.4,18.6,-2.8,14.4
1993,100.0,38.3,20.7,17.5,61.7,47.6,50.3,21.4,-2.0,11.3,19.5,-2.7,14.1
1994,100.0,37.0,19.3,17.7,63.0,49.1,51.7,21.7,-0.5,11.9,18.6,-2.6,13.9
1995,100.0,35.9,18.0,17.9,64.1,48.7,51.7,22.0,-1.2,12.2,18.7,-2.9,15.3
1996,100.0,34.1,17.0,17.1,65.9,50.4,52.8,22.2,-0.5,12.3,18.9,-2.4,15.4
1997,100.0,34.2,17.0,17.2,65.8,50.6,53.7,22.6,-0.9,12.4,19.6,-3.1,15.2
1998,100.0,33.4,16.4,17.1,66.6,52.0,54.9,22.8,-0.3,12.4,20.0,-2.9,14.6
1999,100.0,33.6,16.2,17.4,66.4,52.9,55.3,22.7,-0.3,12.8,20.1,-2.4,13.5
2000,100.0,34.4,16.5,17.9,65.6,53.2,55.6,22.7,-0.2,13.0,20.0,-2.4,12.5
2001,100.0,34.8,16.4,18.4,65.2,54.1,56.6,23.0,-0.1,13.3,20.3,-2.5,11.1
2002,100.0,36.5,17.4,19.1,63.5,55.0,57.4,22.5,-0.1,14.0,21.0,-2.4,8.5
2003,100.0,38.2,18.7,19.4,61.8,54.7,57.3,21.8,-0.1,14.2,21.3,-2.5,7.1
2004,100.0,39.0,19.8,19.2,61.0,54.0,56.5,21.4,-0.1,14.3,20.8,-2.6,7.0
2005,100.0,39.2,20.0,19.2,60.8,53.4,56.0,21.0,-0.1,14.2,20.9,-2.6,7.4
2006,100.0,38.3,19.6,18.7,61.7,53.2,55.7,20.5,−*,13.4,21.9,-2.6,8.5
2007,100.0,38.2,20.1,18.1,61.8,53.1,56.2,21.3,-0.1,13.4,21.5,-3.0,8.7
2008,100.0,38.1,20.5,17.5,61.9,53.5,56.4,20.5,0.6,14.3,20.9,-2.9,8.5
2009,100.0,35.2,18.7,16.5,64.8,59.5,62.1,19.3,0.6,13.9,28.3,-2.6,5.3
2010,100.0,39.0,19.9,19.0,61.0,55.4,57.7,20.3,-0.9,16.3,22.1,-2.4,5.7
2011,100.0,37.4,19.4,18.0,62.6,56.2,58.7,20.1,-0.2,16.2,22.6,-2.5,6.4
2012,100.0,36.4,19.0,17.4,63.6,57.4,60.3,21.7,0.2,15.1,23.3,-2.9,6.2
2013,100.0,34.8,18.1,16.7,65.2,58.8,61.5,23.4,0.1,16.3,21.7,-2.7,6.4
2014,100.0,33.6,17.0,16.6,66.4,59.9,62.4,24.1,-0.4,17.2,21.5,-2.5,6.5
2015 estimate,100.0,30.5,15.7,14.8,69.5,63.4,67.0,23.7,-0.2,17.5,25.9,-3.6,6.1
2016 estimate,100.0,29.2,15.1,14.1,70.7,63.6,66.2,23.5,-0.2,17.6,25.3,-2.6,7.1
2017 estimate,100.0,27.9,14.1,13.8,72.0,63.4,65.9,23.5,-0.2,17.4,25.2,-2.5,8.6
2018 estimate,100.0,26.4,13.2,13.3,73.4,63.8,66.1,23.8,-0.2,17.6,24.9,-2.3,9.6
2019 estimate,100.0,25.2,12.5,12.7,74.6,64.2,66.4,24.0,-0.1,17.7,24.8,-2.2,10.4
2020 estimate,100.0,24.2,12.0,12.2,75.6,64.5,66.6,24.2,-0.1,17.4,25.1,-2.1,11.1
