LocAddState,MktName,LocAddSt,LocAddCity,LocAddZip,x1,y1
Alabama,Clay County Farmers Market,Highway 9,Ashland,36251,-85.8491,33.2472
Alabama,Cleburne County Farmers Market,Heflin Recreational Center,Heflin,36264,-85.5512,33.5822
Alabama,Clio Market,Old Barbour County High School,Clio,36017,0,0
Alabama,Colbert County Farmers Market,South Raleigh Avenue,Sheffield,35660,-87.6946,34.7597
Alabama,Columbinana Farmers Market,West College Street,Columbiana,35051,0,0
Alabama,Crenshaw County Farmers Market,Highway 331 in Midtown,Luverne,36049,-86.2846,31.7433
Alabama,Dauphin Island Market,East Bienville Blvd at Cadillac Square Park,Dauphin Island,36528,0,0
Alabama,Decatur/Morgan County Farmers Market,211 1st Ave. SE,Decatur,35602,-87.0233,34.6113
Alabama,Decatur/Morgan Farmers Market,211 1St Avenue Southeast,Decatur,35602,-86.9866,34.6029
Alabama,Dekalb County Farmers Market,VFW Fairgrounds,Fort Payne,35967,-85.7107,34.4256
Alabama,Demopolis Farmers Market,Hwy 80 East,Dempolis,36732,0,0
Alabama,DFA 84 West Famer's Market,3615 West Main Street,Dothan,36305,-85.4466,31.2311
Alabama,Downtown Farmers Market,14th & Gurnee Avenue,Anniston,36202,-85.9532,32.9452
Alabama,East Chase Farmers Market,7274 East Chase Parkway,Montgomery,36117,-86.1648,32.3608
Alabama,East Lake Farmers Market,"7753 First Avenue, South",Birmingham,35206,-86.7246,33.5615
Alabama,Elberta Farmer's Market,Highway 98,Elberta,36530,-87.5991,30.414
Alabama,Enterprise Downtown Market,College Street,Enterprise,36331,-85.8663,31.4123
Alabama,Enterprise Farmers Market,Main Street,Enterprise,36330,-85.8592,31.3207
Alabama,Fairhope Outdoor Farm Market,Church Street,Fairhope,36532,0,0
Alabama,Fairview Farmers Market,Fairview Avenue,Montgomery,36108,-86.363,32.3465
Alabama,Fayette County Farmers Market,650 McConnell Loop,Fayette,35555,-87.8079,33.7322
Alabama,Festhalle Farmers Market,Corner of Arnold Street and 1st Avenue Northeast,Cullman,35056,-86.8443,34.1793
Alabama,Flomaton Farmers Market,435 Palafox Street,Flomaton,36441,-87.26,31.0015
Alabama,Florala Farmers Market,Behind Train Depot,Florala,36442,-86.3252,31.0063
Alabama,Florence/Lauderdale County Farmers Market,Corner of Chisholm Road & Cox Creek Parkway,Florence,35631,-87.6375,34.8933
Alabama,Franklin County Farmers Market,202 Green Avenue SW,Russellville,35653,-87.7328,34.5045
Alabama,Fresh Market at Ross Bridge,4000 Grand Avenue,Hoover,35226,-86.881,33.3927
Alabama,Frisco City Farmers Market,Highway 21,Frisco City,36445,-87.4002,31.435
Alabama,Gadsden Farmers Market,100 Moragne Ave. ÊMoragne Park,Gadsden,35902,-86.004,34.0029
Alabama,Gardendale Farmers Market,901 Decatur Highway,Gardendale,35071,-86.8089,33.6509
Alabama,Gordo Farmers Market,201 Main Street,Gordo,35466,-87.9028,33.3185
Alabama,Greene County Farmers Market,Eutaw Activity Center,Eutaw,35462,-87.89,32.8388
Alabama,Gulf Coast Green Market,Gulf State Park,Gulf Shores,36542,-87.6507,30.262
Alabama,Guntersville Farmer's Market,Sunset Dr.,guntersville,35976,-86.3377,34.3652
Alabama,Halls Mill Road Farmers Market,2245 Halls Mill Road,Mobile,36606,-88.0961,30.6609
Alabama,Hamilton Farmers Market,2151 Bexar Avenue West,Hamilton,35570,-88.0161,34.1554
Alabama,Hampstead Farmers Market,5251 Hampstead High Street,Montgomery,36116,-86.3022,32.3719
Alabama,Hartselle Farmers Market,Sparkman Street Southwest,Hartselle,35640,-86.9333,34.4339
Alabama,Helena Market Days,4151 Helena Road,Helena,35080,-86.8436,33.2947
Alabama,Homegrown Alabama Farmers Market,812 5th Avenue,Tuscaloosa,35401,-87.5427,33.2074
Alabama,Irondale Farmers Market,1906 1st Ave N,Irondale,35210,-86.7083,33.5388
Alabama,Jack-O-Lantern Farmers Market,430 Garage rd.,Muscle Shoals,35661,-87.6613,34.7621
Alabama,Jefferson County Truck Growers Association,"344 Finley Ave., West",Birmingham,35204,-86.8363,33.5406
Alabama,Lamar County Farmers Market,Large Pavilion at Vernon City Park,Vernon,33592,-88.1059,33.7568
Alabama,Lawrence County Farmers Market,Al Hwy 157 north,Moulton,35650,-87.3203,34.5539
Alabama,Lee County Main Street Farmers Market,South Railroad Avenue,Opelika,36801,-85.3764,32.6485
Alabama,Leeds Farmer's Market,6th Street,Leeds,35094,-86.5451,33.5451
Alabama,Livingston Farmers Market,115 Franklin Street,Livingston,35470,0,0
Alabama,Lowndes County Farmers Market,Highway 21 South,Hayneville,36040,-86.6811,32.1887
Alabama,Macon County Farmers Market,Intersection of Elm & Spring Streets,Tuskegee,36083,-85.702,32.42
Alabama,Madison City Farmers Market,1282 Hughes Road,Madison,35758,-86.7415,34.7399
Alabama,Madison County Farmers Market,1022 Cook Avenue,Huntsville,35804,-86.5996,34.7434
Alabama,MainStreet's Dowtown Farmers Market,8 Broad Street,Alexander City,35010,-85.9547,32.9446
Alabama,Marion Farmers Market,Highway 14 East,Marion,36756,-87.3188,32.6155
Alabama,Market in the Park,Mobile Museum of Art,Mobile,36606,0,0
Alabama,Market on the Square,Cathedral Square,Mobile,36633,0,0
Alabama,Monroe County Farmers Market,Highway 21,Monroeville,36461,-87.4075,31.5119
Alabama,Montgomery Curb Market,1004 Madison Avenue,Montgomery,36104,-86.2952,32.3803
Alabama,Montgomery State Farmers Market,1655 Federal Drive,Montgomery,36107,-86.2627,32.4072
Alabama,Mt Laurel Farmers Market,5 Mt Laurel Avenue,Birmingham,35242,-86.6303,33.4077
Alabama,North Sand Mountain Farmers Market,24474 AL Hwy 75,Sylvania,35988,-85.8124,34.5434
Alabama,Opelika Main Street Farmers Market,1032 South Railroad Avenue,Opelika,36801,-85.3824,32.6456
Alabama,Opp Farmers Market,Highway 331,Opp,36467,-86.2571,31.2807
Alabama,Ozark Farmers Market,Downtown Ozark Êon North Union,Ozark,36360,-85.6402,31.4587
Alabama,Pell City Farmers Market,Highway 231 North,Pell City,35125,0,0
Alabama,Pepper Place Saturday Market,"2829 2nd Avenue, South",Birmingham,35233,-86.7912,33.5163
Alabama,Pickens County Farmers Market,25661 Highway 17 N,Carollton,35447,-88.1493,33.1274
Alabama,Pineapple Farmers Market,12 Waters Street,Pineapple,36726,-87.0229,31.9312
Alabama,Pioneer Farmers MArket,Oak & Academy,Troy,36081,-85.9714,31.8092
Alabama,Poplar Head Farmers Market,126 Museum Ave.,Dothan,36303,-85.3885,31.2235
Alabama,Prattville ÊAutauga Farmers Market,157 North Memorial Drive,Prattville,36067,-86.4523,32.4693
Alabama,Prattville Farmers Market,Prattville Square Shopping Center parking lot,Prattville,36067,-86.5013,32.4801
Alabama,Prattville Town Center Farmers Market,Home Depot & Cobbs-Ford Rd.,Prattville,36066,0,0
Alabama,Randolph County Farmers Market,US Highway 431,"Roanoke, AL",36274,-85.3631,33.1542
Alabama,RiverchaseUMC Farmer's Market,1953 Old Hwy 31,Hoover,35244,-86.9144,33.3732
Alabama,Russell County Farmers Market,1700 14th Street,Phenix City,36867,-85.0164,32.4733
Alabama,S & W Produce,"4807 Highway 51, South",Ariton,36311,-85.6823,31.628
Alabama,Scottsboro Farmers Market,Bob Jones Road,Scottsboro,35768,-86.0641,34.6932
Alabama,Selma Farmers Market,Dallas Avenue,Selma,36702,-87.0393,32.4059
Alabama,Spring Park Farmers Market,400 South Main Street,Tuscumbia,35674,-87.7036,34.7312
Alabama,Spring Park Market,Downtown Tuscumbia,Tuscumbia,35674,-87.7036,34.7314
Alabama,St. Clair County Farmers Market,2404 Forrest Lane,Pell City,35128,-86.2723,33.5756
Alabama,Tallassee Farmers' Market,3 Freeman Avenue,Tallassee,36078,-85.8846,32.5332
Alabama,The Historic Langdale Mill Farmers Market,6000 20th Avenue (Hwy 29),Valley,36854,-85.1699,32.8082
Alabama,Thomaston Farmers Market,Intersection of Highways 25 & 28,Thomaston,36783,-87.6255,32.2666
Alabama,Trussville Fresh ÊMarket,North Mall in Trussville,Trussville,35173,-86.6077,33.6297
Alabama,Trussville Springs Farmers Market,200 Spring St,Trussville,35173,-86.5708,33.6024
Alabama,Tuscaloosa ÊCounty Truck Growers Association,2407 Jack Warner Parkway,Tuscaloosa,35403,-87.5711,33.2118
Alabama,Tuskegee Farmers Market,"402 N. Elm Street, across from Tuskegee Post Office",Tuskegee,36083,-85.692,32.4237
Alabama,Uniontown Farmers Market,Next to City Hall,Uniontown,36786,-87.5299,32.4235
Alabama,United Farmers Market,Intersection of County Roads 41 & 18,Forkland,36740,-87.8294,32.6128
Alabama,Valleydale Farmers Market,4601 Valleydale Rd.,Birmingham,35242,-86.7319,33.3822
Alabama,Walker County Farmers Market,1501 North Airport Road,Jasper,35504,-87.2658,33.8637
Alabama,Washington County Farmers Market,Corner of Central St. & Pelham Ave.,Chatom,36518,-88.2596,31.4649
Alabama,Winston County Farmers Market,"Rocky Ravine Park, Hwy 195",Haleyville,35565,0,0
Alabama,Wiregrass Farmers Market,Farm Center,Dothan,36302,-85.3731,31.1933
Alaska,Anchorage Downtown Market & Festival,3rd Avenue,Anchorage,99501,-149.803,61.2206
Alaska,Anchorage Farmers Market,1420 Cordova Street,Anchorage,99645,-149.88,61.2079
Alaska,Anchorage Market & Festival,3rd Avenue and E Street,Anchorage,99501,-149.891,61.2195
Alaska,Center Market,University Center (Old Seward Highway & 36 Avenue,Anchorage,,-149.868,61.1881
Alaska,Central Kenai Peninsula Farmers Market,Intersection of E. Corral Avenue & Soldotna,Soldotna,99669,-151.068,60.4928
Alaska,Christmas Creek Market,101 St. Nicholas Dr,North Pole,99705,-147.345,64.7552
Alaska,Copper Valley Community Market,MM 101 Richardson Hwy Loop Road,Copper Valley,99737,0,0
Alaska,Denali Farmers Market,Intersection of the Parks Highway and Susitna River Road,Anchorage,,-150.234,62.3163
Alaska,Dillingham Farmers Market,by the Hockey Rink,Dillingham,99576,0,0
Alaska,Eagle River Farmers Market,Eagle River VFW Post parking lot,Eagle River,99577,-149.574,61.3145
Alaska,Ester Community Market,"Ester Community Park, Old Nenana Highway",Anchorage,,0,0
Alaska,Fairbanks Downtown Market,,none,,0,0
Alaska,Friday Fling,S. Valley Way,Palmer,99645,-149.114,61.5984
Alaska,Haines Farmer Market,Located in Payson's Pavilion in the Fair Grounds,Haines,99827,-135.466,59.2331
Alaska,Highway's End Farmers' Market,Corner of Alaska Highway and Richardson Higheay,Delta Junction,99737,-145.731,64.0366
Alaska,Homer Farmers Market,Ocean Drive,Homer,99603,-151.522,59.6339
Alaska,Homer Farmers' Market,Ocean Drive,Homer,99603,0,0
Alaska,Juneau Farmers Market,350 Whittier,Juneau,99801,-134.414,58.2995
Alaska,Kasilof Flea and Farmers Market,Corner of Mile 111 1/2 Sterling Highway and North Cohoe Loop,Anchorage,,0,0
Alaska,Kenai's Saturday Market,11475 Kenai Spur Highway,"Kenai, Alaska",99611,-151.26,60.5549
Alaska,Kenny Lake Harvest I,Rogue's Garden parking lot,Valdez,99686,0,0
Alaska,Kenny Lake Harvest II,Corner of Glenn and Richardson Highways,Valdez,99686,0,0
Alaska,Nenana Open Air Market,Corner of Parks Highway & Main Street,Nenana,99704,-149.096,64.5566
Alaska,Northway Mall Wednesday Farmers Market,3101 Penland Parkway,Anchorage,99508,-149.82,61.2168
Alaska,Palmer Friday Fling,Pavillion across from Visitor's Center,Palmer,99645,-149.116,61.602
Alaska,Sitka Farmers Market,235 Katlian Street,Sitka,99835,-135.34,57.0503
Alaska,Soldotna Wednesday Market,"Soldotna Creek Park, behind Don Joses",Soldotna,99669,-151.058,60.4843
Alaska,South Anchorage Farmers Market I,Subway Sports Centre/Cellular One Sports Centre,Anchorage,99501,0,0
Alaska,South Anchorage Farmers Market II,"Behind Dimond Mall, in front of Dimond Hotel",Anchorage,99501,0,0
Alaska,Spenard Farmers Market,Spenard Road,Anchorage,99503,-149.905,61.1973
Alaska,Tanana Valley Farmers Market,2600 College Road,Fairbanks,99709,-147.781,64.8628
Alaska,Trapper Creek Farmers Market,Post Office parking lot,Trapper Creek,99683,0,0
Alaska,Wasilla City Market,300 North Willow St.,Wasilla,99654,-149.448,61.5823
Alaska,Wasilla Farmers Market,Behind Wasilla Public Library,Wasilla,99654,-149.421,61.5905
Alaska,Willow Farmers Market,Mile 69 Parks Highway; Across from Newman's Tesoro,Willow,99688,-150.038,61.7315
Arizona,Agritopia Farm Stand,3000 E. Ray Road (Higley & Ray),Gilbert,85233,-111.726,33.3219
Arizona,Ahwatukee Farmers' Market,4700 E. Warner Rd.,Phoenix,85044,-111.981,33.3308
Arizona,Anthem Farmers Market,Outlets of Anthem (NW corner of I-17 and Anthem Way Exit 229),Anthem,85086,-112.145,33.8675
Arizona,Bisbee Farmers Market,Vista Park,Bisbee,85603,-109.88,31.4114
Arizona,Borgata of Scottsdale,6166 N Scottsdale Rd,scottsdale,85250,-111.927,33.5278
Arizona,Carefree Farmers Market,101 Easy Street,Carefree,85377,-111.923,33.8249
Arizona,Case Grande Farmers Market,The Christian Church of Casa Grande (parking lot),Casa Grande,85222,-111.754,32.8796
Arizona,Cave Creek Farmers & Crafts Market,6900 E Cave Creek Road,Cave Creek,,-111.933,33.8308
Arizona,Chandler Farmers Market,Dr. A.J. Chandler Park,Chandler,85225,-111.842,33.3022
Arizona,Chino Valley Farmers Market,1667 S. Highway 89,Chino Valley,86323,-112.454,34.7214
Arizona,Clinica Adelante Farmers Market,16560 N. Dysart Rd.,Surprise,85374,-112.342,33.6349
Arizona,Community Food Bank Farmers' Market,3003 S. Country Club Road,Tucson,85713,-110.925,32.1886
Arizona,Community Food Bank Mini-Farmers' Market,1660 W. Ruthrauff Road,"Tucson, AZ",85705,-111.001,32.2878
Arizona,Concho Farmers Market,Corner of Highway 61 and 180A,Concho,85924,-109.603,34.4751
Arizona,Cornville Farmers Market,Windmill Park 9950 East Cornville Road,Cornville,86325,-111.918,34.7182
Arizona,Cottonwood Farmers Market and Jamboree,791 N.Main St. in Old Town Historic District,Cottonwood,86326,-112.027,34.7456
Arizona,Craftsman Court Go Green Street Market,"Southeast corner, 5th Ave. and Craftsman Court",Scottsdale,85251,0,0
Arizona,Desert Canyon Center Farmers Market,10405 McDowell Mountain Rd.,Scottsdale,85250,-111.855,33.6283
Arizona,Dewey Humboldt Farmers Market,2581 South Highway 69 (N of Main St),Humboldt,86329,-112.252,34.4864
Arizona,Douglas Mercado,10th Street at Castro Park between F and E street,Douglas,85607,-109.55,31.3443
Arizona,Downtown Farmers Market Arts & Crafts Mercado,South Lawn of the Main Library,Tucson,85719,-110.972,32.2235
Arizona,Downtown Glendale Farmers Market,5734 W. Glendale Ave. (Mad Hatters parking lot),Glendale,,-112.183,33.5386
Arizona,El Presidio Mercado,Corner of Church and Alameda,Tucson,,-110.973,32.2239
Arizona,El Pueblo Farmers' Market,100 West Irvington Road,Tucson,85714,-110.969,32.1633
Arizona,Elgin Farmers Market,"Kief-Joshua Vineyards, 370 Elgin Road",Elgin,85611,-110.543,31.659
Arizona,Farm at South Mountain,6106 S. 32nd Street,Phoenix,85063,-112.012,33.391
Arizona,Fountain Hills Nocturnal Farmer & Crafts Market,Avenue of the Fountains,Fountain Hills,85268,-111.718,33.6044
Arizona,Friday Farmers Market at Broadway Village,2836 E.Broadway,Tucson,85701,-110.929,32.2207
Arizona,Green Valley Village Farmers Market,Esperanza and I-19,Green Valley,85614,0,0
Arizona,Huning Street Farmers and Artisan Market,1020 E. Huning,Show Low,85901,-110.031,34.2503
Arizona,K & B Farms,"NW Corner 1-17 and Orme Dugas Rd. (6 miles n. of Cordes Jct., 18 miles s. of Camp Verde)",Camp Verde,,0,0
Arizona,Marana Farm Stand,12375 N. Heritage Park Drive,Marana,85653,-111.225,32.428
Arizona,Marana Farm Stand,12375 N. Heritage Park Drive,Marana,85653,-111.216,32.4297
Arizona,Market at DC Ranch,Southeast corner of Pima & Thompson Peak roads,Scottsdale,85250,-111.89,33.6734
Arizona,Market in Downtown Yuma,Downtown Main Street,Yuma,85365,-114.594,32.6854
Arizona,McClintock Fountains Farmers Market,1840 E Warner Rd,Tempe,85284,-111.908,33.3355
Arizona,Mesa Community Farmers' Market,263 No. Center St.,Mesa,85201,-111.831,33.4205
Arizona,Mountain Market and Art Walk,1500 E. Woolford Road,Show Low,85901,0,0
Arizona,Mountain Park - Baseline Market,635 E. Baseline Rd.,Phoenix,,-112.068,33.3768
Arizona,North Scottsdale Farmers Market,9375 E Shea Blvd,Scottsdale,85260,-111.879,33.581
Arizona,Oracle Farmers Market,2805 N. Triangle L Ranch Rd.,Oracle,85623,-110.789,32.6181
Arizona,Oro Valley Farmers' Martke,11000 N. La Canada Blvd.,Oro Valley,85737,-110.995,32.4073
Arizona,Payson Farmer's Market,816 S Beeline Hwy,Payson,85541,-111.326,34.23
Arizona,Phoenix Public Market,721 N. Central,Phoenix,85004,-112.074,33.4558
Arizona,Plaza Palomino Food Faire,2970 N. Swan,Tucson,85705,-110.892,32.261
Arizona,Power Ranch @ Trilogy,4369 E Village Parkway,Gilbert,85298,-112.491,33.3488
Arizona,Prescott Farmers Market,1100 E. Sheldon Street,Prescott,86301,-112.457,34.5454
Arizona,Prescott Valley Farmers Market,Glassford Hill Rd. and Park Ave.,Prescott Valley,86314,-112.339,34.5871
Arizona,Rincon Valley Farmers & Artisans Market,12500 E. Old Spanish Trail,Tucson,85747,-110.725,32.1284
Arizona,Roadrunner Park Farmers' Market,3502 E. Cactus Rd,Phoenix,85032,-112.007,33.599
Arizona,Safford Farmers' Market,"Firth Park in Safford, AZ",Safford,85546,-109.72,32.8345
Arizona,Sahuarita Summer Nights Farmers Market,375 W. Sahuarita Center Way.,Sahuarita,85629,-110.976,31.9561
Arizona,San Tan Village Farmers' Market,2218 E. Williams Field Rd. (Williams Field & San Tan Fwy Loop 202),Gilbert,,-111.743,33.3079
Arizona,Santa Cruz River Farmers' Market,,none,,0,0
Arizona,Santa Cruz River Farmers' Market at Mercado San Agustin,1352 W. Speedway,Tucson,85745,-110.994,32.2359
Arizona,Santa Cruz River Farmers' Market at Mercado San Agustin,100 S. Avenida del Convento,Tucson,85745,-110.986,32.2199
Arizona,Scottsdale's Old Town Farmers' Market,E. 1st Street & N. Brown Ave.,Scottsdale,85251,-111.926,33.4916
Arizona,Sedona Community Farmers' Market,235 Air Terminal Dr ÊSedona Airport by the Overlook,Sedona,86336,-111.791,34.8502
Arizona,Show Low main Street Farmers' Market & Art Walk,1001 E. Duece of Clubs,Show Low,85901,-110.031,34.2534
Arizona,"Sierra Vista Farmers Market, Sierra Vista, AZ",NW Corner of Carmichael and Wilcox Streets,Sierra Vista,85635,-110.301,31.5525
Arizona,Sonoita Growers Market,Diamond JK Nursery,Sonoita,85637,-110.656,31.6844
Arizona,St David Farmers' Market,70 E. Patton St,St David,85630,-110.22,31.9066
Arizona,St. Jude Food Bank Farmers Market,100 Aspen Drive,Tuba City,86045,-111.665,34.2917
Arizona,St. Mary's Food Bank,2831 N. 31st Ave. (by the WIC clinic),Phoenix,,-112.125,33.4791
Arizona,St. Philip's Plaza Saturday Farmer's Market,"4300 N. Campbell Ave., Campbell & River Rd.",Tucson,85718,-110.22,31.9066
Arizona,Sunnyside Community Market,2257 E. Cedar Ave,Flagstaff,86004,-111.614,35.2172
Arizona,Superstition Ranch Market,4755 East Main Street,Mesa,85205-7907,-111.729,33.4152
Arizona,Tonopah Valley Farmers' Market,35838 W. Buckeye Rd,Tonopah,,-112.824,33.4364
Arizona,Town & Country Farmers Market,20th Street & Camelback Road,Phoenix,85016,-112.038,33.5091
Arizona,Trilogy at Vistancia County Club Farmers Market,12902 W Yellow Bird Lane,Peoria,,-112.333,33.7367
Arizona,Tubac Farmers Market,"Tubac Plaza, Exit 34 - I-19",Tubac,85646,0,0
Arizona,Tucson Farmers Market,St. Philip's Plaza,Tucson,85745,-111.665,34.2917
Arizona,Tucson Farmers Market,"St. Philip's Plaza, 4300 N. Campbell Ave.",Tucson,85745,-110.944,32.2851
Arizona,Tucson Farmers Market,St. Philip's Plaza,Tucson,85745,-110.943,32.2867
Arizona,Tucson Farmers' Market at St. Philip's Plaza,4380 North Campbell Avenue,Tucson,85718,-110.942,32.2856
Arizona,Twilight Farmers' Market at the Citadelle,"19420 N. 59th Ave.,(59th Ave. and Utopia, Arrowhead Ranch)",Glendale,,-112.188,33.6623
Arizona,Udall Park Farmers' Market,7200 East Tanque Verde Road,Tucson,85710,-110.838,32.2459
Arizona,Value Food Store Farmers Market,3003 S. Country Club (Country Club and 36th),Tucson,85713,-110.925,32.1886
Arizona,Verde Valley Farmers' Market,No physical address,Camp Verde,86322,-111.854,34.5636
Arizona,Westgate Farmers Market,"Fountain Park, 6770 N. Sunset Blvd.",Glendale,,-112.262,33.5317
Arkansas,Arkansas County/North Farmers Market,Main and Sixth,Stuttgart,72160,-91.5488,34.4851
Arkansas,Arkansas County/South Farmers Market,The Triangle,DeWitt,72042,-91.3401,34.2823
Arkansas,Arkansas Home Grown Market I,Corner of Cantrell and Pleasant Valley,Little Rock,72206,-92.3709,34.7568
Arkansas,Arkansas Home Grown Market II,Lakewood Village Mall,Little Rock,72206,-92.2329,34.7955
Arkansas,Arkansas Home Grown Market III,YMCA - 12th & Cleveland,Little Rock,72206,-92.3452,34.7404
Arkansas,Ashdown Farmers Market,Block of East Main St.,Ashdown,71822,-94.131,33.6747
Arkansas,Ashley County Farmers Market,Highway 82,Crossett,71635,-91.9664,33.1353
Arkansas,ASN Local Food Club,509 Scott St.,Little Rock,72201,-92.2695,34.7443
Arkansas,ASU Regional Farmers Market,Aggie Road,Jonesboro,72401,-90.6671,35.8409
Arkansas,Bella Vista Farmers Market,1451 Bella Vista Way,Bella Vista,72714,-94.241,36.4714
Arkansas,Benton Farmers Market,Market Street side of Courthouse,Benton,72018,-92.5884,34.5612
Arkansas,Bentonville Farmers Market,Corner of Main Street and Central Avenue,Bentonville,72712,-94.2086,36.3727
Arkansas,Bentonville Farmers Market,214 NE A Street,Bentonville,72712,-94.2077,36.3748
Arkansas,berryville farmers' market,,berryville,72616,-93.5675,36.3645
Arkansas,Boone County Farmers Market,Courthouse Square in Harrison,Harrison,72602,-93.1079,36.2304
Arkansas,Booneville Farmers Market,E. State Hwy. 10,Booneville,72927,-93.8518,35.1477
Arkansas,Botanical Gardens of the Ozarks Farmers Market,4703 N Crossover Rd. ÊFayetteville AR 72764,Fayetteville,72764,-94.1201,36.1361
Arkansas,Brunwick Place Farmers Market,North 10th Street,Fort Smith,72901,-94.4144,35.3677
Arkansas,Camden Farmers Market,Washington St.,Camden,71711,-92.8495,33.5848
Arkansas,Certified Arkansas Farmers Market Argenta,520 Main St.,North Little Rock,72114,-92.2674,34.7589
Arkansas,Certified Arkansas Farmers Market Searcy,124 E. Woodruff,Searcy,72143,-91.7376,35.2464
Arkansas,Clark County Farmers Market,First Methodist Church parking lot,Arkadelphia,71923,-93.0711,34.1189
Arkansas,Clarksville Farmers Market,West Main St.,Clarksville,72830,-93.4704,35.4703
Arkansas,Clay County Farmer's Market,South Main St.,Piggott,72454,-90.1796,36.382
Arkansas,Cleburne County Growers Market,Spring Park,Heber Springs,72543,-92.0195,35.4779
Arkansas,Clover Fields,356 Clover Street,Edmontin,34567,0,0
Arkansas,Columbia County Homegrown Market Association,Corner of Stadium & Vine,Magnolia,71753,-93.2273,33.2598
Arkansas,Conway County Farmers Market,Old Train Station,Morrilton,72110,-92.7431,35.1588
Arkansas,Cotter Farmers Market,Courthouse Square,Cotter,72626,0,0
Arkansas,Cross County Farmers Market,705 E. Union Ave.,Wynne,72396,-90.7862,35.2233
Arkansas,Downtown Fayetteville Farmers Market,4703 N. Crossover Road,Fayetteville,72764,-94.1201,36.1361
Arkansas,Downtown Newport Farmers Market,201 Malcolm,Newport,72112,-91.2767,35.6067
Arkansas,Eureka Springs Farmers Market,2075 E. Van Buren,Eureka Springs,72632,-93.7292,36.3927
Arkansas,Farmington Farmers' Market,Highway 62,Farmington,72730,0,0
Arkansas,Faulkner County Farmers Market,Robbins St.,Conway,72034,-92.4441,35.0771
Arkansas,Fayetteville Farmers Market,525 S. School St.,Fayetteville,72701,-94.1651,36.0569
Arkansas,Fayetteville Farmers Market,101 W. Mountain,Fayetteville,72701,-94.1603,36.062
Arkansas,Fayetteville Farmers Market,4703 N Crossover Rd.,Fayetteville,72764,-94.1193,36.1365
Arkansas,Forrest City Farmers Market,Highway 1,Forrest City,72335,-90.7874,35.0204
Arkansas,Fort Smith Downtown Farmers Market,Located at 2nd & Garrison parking lot,Fort Smith,72901,-94.4282,35.3896
Arkansas,Gateway Farmers Market,Jefferson and East 9th Streets,Texarkana,71854,-94.0292,33.4304
Arkansas,Gentry Farmers' Market,500 East Main Street,Gentry,72734,-94.48,36.2662
Arkansas,Grant County Farmers Market,West side of County Courthouse,Sheridan,72150,-92.3821,34.321
Arkansas,Gravette Farmers' Market,110 Park Drive,Gravette,72736,-94.4445,36.4218
Arkansas,Harrison Farmers Market,,none,,0,0
Arkansas,Hillcrest Farmers Market,2200 Kavanaugh Blvd,Little Rock,72205,-92.3177,34.7568
Arkansas,Historic Downtown Hot Springs Farmers Market,Broadway,Hot Springs,71901,-93.0536,34.5116
Arkansas,Holiday Island Farmers Market,2 Country Club Drive,Holiday Island,72631,-93.7252,36.4616
Arkansas,Howard County Farmers Market,110 South Washington Street,Nashville,71852,-93.8451,33.9426
