Fiscal_Year,Individual_Income_Taxes,Corporation_Income_Taxes,Total_Social_Insurance_and_Retirement_Receipts,On_Budget_Social_Insurance_and_Retirement_Receipts,Off_Budget_Social_Insurance_and_Retirement_Receipts,Excise_Taxes,Other,Total_Total_Receipts,On_Budget_Total_Receipts,Off_Budget_Total_Receipts
1996,8.2,2.2,6.4,1.8,4.6,0.7,0.8,18.2,13.6,4.6
1997,8.7,2.1,6.4,1.7,4.6,0.7,0.7,18.6,14.0,4.6
1998,9.3,2.1,6.4,1.7,4.6,0.6,0.8,19.2,14.6,4.6
1999,9.2,1.9,6.4,1.8,4.7,0.7,0.9,19.2,14.5,4.7
2000,9.9,2.0,6.4,1.7,4.7,0.7,0.9,20.0,15.2,4.7
2001,9.4,1.4,6.6,1.8,4.8,0.6,0.8,18.8,14.0,4.8
2002,7.9,1.4,6.4,1.7,4.7,0.6,0.7,17.0,12.3,4.7
2003,7.0,1.2,6.3,1.7,4.6,0.6,0.7,15.7,11.1,4.6
2004,6.7,1.6,6.1,1.6,4.4,0.6,0.6,15.6,11.1,4.4
2005,7.2,2.2,6.2,1.7,4.5,0.6,0.6,16.7,12.2,4.5
2006,7.6,2.6,6.1,1.7,4.4,0.5,0.7,17.6,13.1,4.4
2007,8.1,2.6,6.1,1.6,4.4,0.5,0.7,17.9,13.5,4.4
2008,7.8,2.1,6.1,1.6,4.5,0.5,0.7,17.1,12.6,4.5
2009,6.3,1.0,6.2,1.6,4.5,0.4,0.7,14.6,10.1,4.5
2010,6.1,1.3,5.8,1.6,4.3,0.5,1.0,14.6,10.3,4.3
2011,7.1,1.2,5.3,1.6,3.7,0.5,0.9,15.0,11.3,3.7
2012,7.1,1.5,5.3,1.7,3.6,0.5,0.9,15.3,11.7,3.6
2013,7.9,1.6,5.7,1.7,4.1,0.5,0.9,16.7,12.7,4.1
2014,8.1,1.9,5.9,1.7,4.3,0.5,1.1,17.5,13.3,4.3
2015 estimate,8.2,1.9,5.9,1.7,4.3,0.5,1.1,17.7,13.4,4.3
2016 estimate,8.7,2.5,5.9,1.7,4.3,0.6,1.0,18.7,14.5,4.3
2017 estimate,9.0,2.5,6.0,1.7,4.3,0.6,1.0,19.1,14.8,4.3
2018 estimate,9.2,2.4,6.0,1.7,4.3,0.6,1.0,19.1,14.8,4.3
2019 estimate,9.3,2.4,5.9,1.6,4.3,0.6,1.0,19.2,14.9,4.3
2020 estimate,9.4,2.3,5.9,1.6,4.3,0.6,1.1,19.3,15.0,4.3
