Category_and_Program,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Income security:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General retirement and disability,3.6,3.4,3.7,3.4,3.7,3.6,4.5,4.8,4.5,6.9,7.4,10.3,10.1,15.8,9.5,3.6,9.7,8.6,10.3,11.0,10.7,10.1,9.2,8.9,8.4,7.7,7.8,7.0,7.0,5.5,4.9,5.8,4.2,6.2,5.6,6.0,5.2,5.0,1.6,5.6,6.2,6.0,6.7,6.9,7.2,4.4,7.8,8.6,7.9,6.1,6.1,7.0,6.2,7.8,6.5,5.1,5.4,3.9,4.1,4.5
Federal employee retirement and disability,10.8,12.3,13.8,15.3,17.5,19.4,21.3,22.6,25.1,28.6,32.2,36.0,40.3,44.7,49.2,13.2,52.4,55.0,58.0,61.6,66.0,68.2,69.3,69.6,68.2,71.1,73.5,75.8,76.1,77.3,80.3,80.3,81.8,83.3,86.1,87.2,89.9,91.4,92.4,92.7,95.3,96.9,97.1,99.1,101.4,103.7,107.4,108.7,117.9,117.7,119.8,115.4,122.5,123.3,125.8,130.5,126.9,123.6,128.3,129.1
Unemployment compensation,19.6,16.3,15.3,12.3,10.2,10.2,11.3,11.0,14.0,25.1,27.9,19.8,21.0,43.6,59.3,11.9,42.6,30.3,25.0,39.2,38.6,44.4,56.1,29.0,26.4,26.8,25.2,21.3,20.9,25.5,36.0,51.7,48.4,35.3,27.9,29.0,25.9,24.4,26.3,25.0,32.9,59.1,62.2,47.4,35.2,32.8,33.6,42.7,119.1,154.5,113.0,85.6,62.6,39.1,34.6,36.3,34.9,34.7,36.3,37.7
Food and nutrition assistance,1.5,1.6,1.7,1.6,1.9,2.2,2.5,2.8,4.4,9.5,13.5,14.8,16.6,22.6,24.9,5.5,24.5,23.5,26.0,30.5,32.0,28.8,31.5,30.0,29.6,28.8,28.4,29.0,29.5,32.0,37.0,41.4,43.5,44.3,44.0,43.5,40.0,36.6,35.5,33.9,34.8,38.8,42.9,45.6,49.4,51.2,50.4,54.0,71.8,86.4,92.2,93.9,95.6,88.3,90.8,90.2,89.1,87.8,86.0,82.8
Supplemental Security Income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,7.3,14.7,14.6,3.6,14.2,14.7,12.5,13.3,13.7,13.7,15.1,14.0,15.4,16.1,16.7,18.5,17.9,17.2,21.1,24.2,27.8,31.7,30.9,29.5,32.0,32.6,33.0,35.6,30.5,34.3,34.8,34.9,38.4,36.3,34.0,38.0,41.4,43.2,47.8,41.6,46.7,47.1,47.8,51.8,49.3,45.6,49.4,49.6
Family and Other Support Assistance,13.0,14.2,14.9,15.0,14.6,14.0,15.8,17.3,18.9,24.0,27.6,24.0,20.4,17.4,18.7,5.0,18.9,18.5,17.0,17.0,17.3,16.0,16.0,16.3,16.4,17.1,17.8,17.5,17.4,18.4,19.5,21.3,21.5,22.2,22.6,21.6,20.9,21.9,23.8,25.0,28.7,29.4,29.8,27.2,26.4,25.4,25.0,25.1,26.2,27.1,25.4,22.3,23.0,21.9,22.2,24.7,25.3,25.5,25.6,25.9
Earned Income Tax Credit,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,2.6,0.3,2.7,2.5,2.0,3.0,2.8,2.4,2.3,2.2,2.0,2.4,2.4,4.4,6.2,6.5,7.0,10.3,12.0,14.7,20.0,24.6,27.6,29.0,31.7,31.5,30.8,32.5,36.5,37.1,37.6,38.2,39.6,40.6,42.4,53.8,53.7,51.8,53.6,55.1,54.4,53.7,59.1,58.5,58.8,59.0
Child Tax Credit,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,0.5,1.0,1.2,5.9,7.4,9.9,15.9,16.4,16.7,34.0,24.3,22.3,21.9,20.9,20.1,19.7,19.5,19.9,20.3,20.0,19.6,19.2
Making Work Pay Tax Credit,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,0.7,13.5,13.4,0.2,−*,..........,..........,..........,..........,..........,..........,..........
Payments to States for foster care/adoption assistance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1.2,0.8,0.8,1.2,1.3,1.4,1.4,1.6,2.1,2.4,3.1,3.5,3.6,4.0,4.3,4.8,5.1,5.6,5.8,6.6,6.8,6.9,7.0,7.1,7.0,6.7,6.8,6.8,6.9,6.9,6.6,6.5,6.3,6.3,6.4,6.7,6.8,6.8,6.7,6.6
Housing Assistance and Other (including offsetting receipts),−*,−*,-0.2,0.1,−*,0.1,0.1,0.1,−*,−*,-0.1,-0.1,*,-0.2,−*,*,-0.1,−*,0.2,0.4,1.9,1.3,1.0,2.2,24.6,1.6,2.3,1.9,1.1,0.6,0.3,0.2,0.2,0.2,0.2,0.2,-0.2,-1.2,-0.9,-1.0,-0.8,-1.2,-1.0,-1.0,-1.1,−*,-0.7,14.6,11.3,12.2,7.4,4.1,3.6,3.7,4.2,5.1,4.9,3.4,2.8,1.5
Total income security,48.5,47.8,49.1,47.8,47.9,49.4,55.4,58.6,66.9,94.1,108.6,104.8,115.8,158.6,178.7,43.1,164.8,152.9,150.9,175.8,184.1,185.8,201.3,173.4,192.2,173.1,175.4,177.0,178.2,185.2,209.3,238.8,243.1,242.0,241.5,246.3,246.3,245.3,249.7,255.7,266.3,308.5,323.4,314.3,317.5,315.1,320.6,373.1,469.7,543.8,507.3,449.4,440.1,412.3,412.2,424.0,421.9,409.6,417.7,415.8
Social Security,78.5,85.4,88.5,91.7,106.9,109.4,116.1,127.7,135.3,153.5,165.6,195.4,206.4,216.2,232.1,60.2,248.6,257.2,263.5,272.0,292.1,307.2,321.5,323.4,330.8,339.8,345.8,352.2,358.7,368.8,384.2,400.3,413.2,424.6,437.1,446.2,456.7,469.9,478.0,489.9,506.8,527.3,538.0,550.2,564.9,574.9,602.0,612.1,677.7,689.5,698.9,725.0,752.4,775.3,806.9,834.2,863.4,895.5,928.4,962.3
Veterans benefits and services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income security for veterans,21.3,22.5,21.9,22.0,21.5,22.7,22.6,23.6,24.9,25.8,26.5,26.4,25.3,26.5,26.5,6.4,27.2,27.0,27.5,27.0,27.2,27.2,27.0,26.3,26.0,25.8,25.1,25.8,25.6,22.6,24.3,24.2,24.2,26.3,24.9,23.4,25.7,26.6,27.4,30.0,26.5,31.2,33.3,34.5,38.9,37.8,36.9,41.3,45.9,48.3,56.6,52.8,61.4,65.1,70.7,79.5,75.9,73.2,81.9,84.7
Other,2.2,-0.1,0.7,0.3,1.2,3.1,3.4,3.8,4.8,6.5,6.9,9.8,12.1,15.6,17.6,2.2,10.5,9.3,7.4,5.3,5.2,4.0,2.9,2.8,1.9,0.8,0.9,2.6,1.8,0.9,0.6,2.2,2.7,1.5,1.8,1.4,0.1,2.3,1.8,1.4,-0.1,−*,2.4,0.3,4.2,1.7,1.9,2.1,2.7,8.3,11.3,11.0,13.1,14.3,17.0,19.9,17.8,14.5,15.0,15.5
Total veterans benefits and services,23.5,22.4,22.6,22.3,22.7,25.9,26.1,27.4,29.7,32.3,33.4,36.1,37.4,42.1,44.2,8.6,37.8,36.2,34.9,32.3,32.3,31.2,29.9,29.1,27.9,26.7,26.0,28.4,27.4,23.6,24.9,26.3,27.0,27.8,26.7,24.8,25.8,29.0,29.2,31.5,26.4,31.1,35.7,34.8,43.1,39.5,38.8,43.4,48.6,56.5,67.9,63.8,74.5,79.4,87.7,99.5,93.7,87.7,96.9,100.2
Total mandatory human resource programs,153.5,159.3,163.8,165.8,185.2,209.3,235.0,256.0,278.6,329.8,371.1,398.8,426.7,495.6,544.8,135.0,550.4,553.5,564.9,602.8,645.4,666.5,700.5,681.6,719.1,714.1,730.2,744.4,757.5,795.3,857.1,939.3,981.1,"1,006.6","1,048.7","1,074.2","1,103.6","1,123.4","1,135.1","1,166.4","1,218.8","1,324.4","1,391.3","1,425.4","1,484.0","1,525.8","1,579.2","1,649.8","1,877.1","2,022.0","2,020.0","1,942.6","1,989.5","2,052.3","2,206.6","2,290.5","2,319.9","2,355.5","2,469.2","2,537.4"
Other mandatory programs:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National defense,-1.6,-2.3,-2.0,-2.9,-6.1,-3.8,-1.4,-1.3,-1.3,-0.7,-0.8,-1.9,-5.9,-4.4,-1.0,-0.2,-1.0,-0.5,-1.3,-1.7,-1.1,-1.4,*,-1.3,-0.7,-0.9,-1.0,-1.0,-0.8,-1.4,-75.4,-6.8,-2.1,-1.0,-2.3,-0.3,-1.7,-3.0,-1.0,-0.8,-1.8,-0.6,-0.3,2.1,1.9,2.0,3.5,3.6,4.3,4.6,6.0,7.1,7.4,6.7,8.3,9.7,9.1,8.6,8.3,8.2
International affairs,1.0,0.4,2.3,3.7,3.3,1.4,2.6,3.0,2.0,1.9,0.9,-3.0,-2.0,-4.1,-3.6,-3.0,-5.5,-3.3,-4.9,-0.2,-1.3,-1.4,-4.0,-0.9,-2.6,-7.4,-3.4,-2.9,-2.0,-10.0,-7.0,-5.2,-6.8,-5.8,-5.4,-6.9,-5.2,-7.2,-5.8,-5.3,-7.7,-4.8,-7.9,-7.9,-4.9,-6.8,-6.7,-8.6,-5.5,-0.4,-3.0,-2.6,-0.7,-2.7,-0.2,-0.4,-0.8,-0.6,-0.3,0.3
Energy,-0.4,-0.8,-0.8,-0.8,-0.8,-0.3,*,−*,0.1,0.8,1.0,0.7,2.6,4.6,5.8,1.4,6.6,8.5,9.0,10.9,12.0,11.7,6.6,0.2,-1.8,-0.7,-0.7,-1.3,-4.2,-2.8,-3.6,-1.5,-1.9,-1.8,-2.6,-4.4,-4.7,-3.4,-3.0,-4.9,-3.7,-3.1,-4.5,-4.1,-3.7,-2.6,-4.6,-3.3,-1.0,1.5,-1.9,1.9,3.5,-0.2,2.3,0.4,-0.2,-1.9,-1.8,*
Agriculture,24.6,28.5,28.7,23.0,12.2,15.1,23.8,29.8,24.0,17.3,20.3,17.3,5.4,7.7,7.4,2.5,18.4,31.4,28.2,19.7,23.8,33.6,48.8,25.7,49.4,61.5,50.2,29.7,28.0,17.9,22.5,18.7,25.4,16.5,8.5,7.1,6.9,11.1,25.3,42.3,27.2,20.8,20.1,11.2,22.9,21.5,12.1,10.1,16.0,14.4,13.9,11.3,22.8,17.5,13.7,14.3,17.8,15.7,11.2,10.0
Deposit insurance,-3.0,-3.0,-3.0,-2.6,-3.1,-2.5,-3.2,-3.5,-2.7,-1.9,-2.8,-3.5,-2.5,2.0,-2.0,-0.2,-9.2,-3.1,-5.1,-1.0,-3.4,-4.9,-2.6,-1.8,-4.5,3.2,6.3,19.7,42.6,111.7,120.5,4.4,-44.0,-11.8,-26.1,-11.9,-20.0,-6.2,-7.2,-4.0,-2.0,-1.3,-1.7,-2.3,-1.5,-1.2,-1.5,18.9,22.5,-31.7,-8.5,6.4,4.0,-12.9,-7.3,-7.7,-8.7,-7.3,-5.7,-3.1
Universal service fund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,0.1,0.2,0.4,0.5,0.7,1.0,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.5,4.6,5.5,6.4,6.5,10.2,14.8,8.7,8.2,7.8,8.0,8.1,8.8,8.7,9.0,8.6,8.6,8.8,9.9,9.5,9.0,8.6,8.5
Other commerce and housing credit,3.6,-6.3,-2.2,-0.6,12.0,13.4,16.6,-3.2,2.8,0.3,4.2,-1.0,12.0,25.5,19.3,-0.6,8.0,12.1,7.7,12.7,13.2,11.2,9.9,8.9,5.6,1.1,4.9,12.9,7.5,10.0,10.9,8.2,5.0,2.5,-5.4,-6.7,-3.9,4.5,5.8,-2.9,1.2,-6.8,-6.7,-6.5,-1.0,-2.2,-7.5,-1.8,253.2,-65.0,-10.4,23.9,-78.3,-77.7,-23.4,-20.7,-20.5,-19.1,-17.9,-17.0
Community and regional development,0.3,0.3,0.3,0.4,0.6,0.7,0.6,0.4,0.5,1.3,1.8,4.6,3.2,2.5,2.9,0.8,3.2,3.2,3.6,5.0,3.8,4.0,3.4,3.0,2.1,2.3,1.3,2.7,2.4,2.3,1.2,0.7,1.1,-0.4,0.8,0.4,0.4,-0.6,-0.1,-1.1,-0.7,-1.3,-0.8,0.2,1.5,17.3,−*,-0.2,2.5,0.6,-0.1,0.9,5.1,-1.3,1.6,1.2,0.9,0.8,1.3,1.3
General government,-1.6,-0.8,-0.7,-0.4,-0.3,-0.6,-0.5,0.4,0.6,0.4,0.5,38.4,33.6,31.9,28.0,7.8,28.9,28.8,27.0,25.0,17.6,14.0,13.3,12.9,11.5,12.0,0.6,2.9,2.2,2.9,2.2,3.3,1.9,-0.5,2.5,0.5,1.3,5.8,4.8,1.7,2.3,3.7,10.1,7.9,0.8,2.5,1.7,3.5,4.3,3.6,7.5,8.1,9.5,10.3,5.2,7.4,4.8,4.7,4.5,4.9
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-26.9,9.8,48.7,20.6,23.6
Spectrum auctions and major asset sales,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-16.2,-15.2,-13.7,-0.2,..........,..........,..........,..........,-12.7,-0.5,-17.1,-11.8,-2.6,-0.2,-1.4,−*,..........,..........,-0.2,-0.1,-14.3,-1.8,-16.7,-0.2,-2.4,-12.5,-2.5,-1.1,-42.3,-8.8,-8.5,-2.5,-1.0,-1.0
Other undistributed offsetting receipts,-45.3,-48.2,-46.0,-45.1,-48.2,-52.5,-55.8,-51.8,-51.8,-55.0,-48.4,-64.0,-75.4,-56.9,-55.6,-15.8,-53.3,-53.0,-55.4,-58.4,-74.8,-66.4,-83.3,-76.6,-75.3,-74.9,-78.1,-81.0,-79.7,-76.3,-76.8,-74.7,-67.2,-65.0,-61.3,-59.3,-60.6,-59.8,-57.1,-59.8,-62.9,-61.5,-67.5,-69.1,-73.4,-73.8,-71.7,-85.5,-75.9,-81.1,-84.3,-87.3,-86.2,-81.8,-83.9,-85.4,-85.3,-85.4,-86.2,-86.8
All other,22.1,23.3,27.9,30.0,29.8,29.5,30.0,27.8,28.0,25.5,22.7,25.7,22.1,21.3,0.1,-0.5,-0.7,-0.7,-0.4,-2.5,2.1,-0.9,-1.5,0.2,-1.4,1.0,0.1,0.5,0.5,1.3,3.7,3.9,3.7,4.1,3.8,4.6,3.6,4.5,4.4,4.3,5.6,8.6,5.3,11.4,0.2,1.1,2.8,0.8,4.3,5.0,5.6,6.0,4.6,3.3,63.1,71.4,74.2,71.5,68.4,68.6
Total other mandatory programs,-0.3,-8.9,4.5,4.8,-0.7,0.3,12.7,1.6,2.1,-10.2,-0.6,13.3,-6.9,30.1,1.2,-7.7,-4.5,23.4,8.4,9.6,-8.1,-0.5,-9.4,-29.7,-17.4,-2.5,-35.6,-32.3,-16.2,56.5,-0.5,-47.6,-83.8,-61.7,-99.0,-76.0,-99.7,-63.6,-32.0,-25.4,-37.3,-39.9,-43.6,-42.3,-48.8,-34.4,-78.5,-56.2,216.1,-139.9,-68.8,-27.9,-102.0,-131.2,-54.1,-35.6,2.1,42.0,10.0,17.4
Total mandatory programs,153.3,150.4,168.3,170.6,184.5,209.7,247.8,257.6,280.8,319.6,370.5,412.1,419.8,525.7,545.9,127.3,545.9,576.9,573.3,612.5,637.3,666.0,691.1,652.0,701.7,711.6,694.6,712.1,741.2,851.9,856.6,891.7,897.3,944.9,949.7,998.2,"1,003.9","1,059.8","1,103.1","1,141.0","1,181.5","1,284.6","1,347.7","1,383.1","1,435.1","1,491.4","1,500.7","1,593.6","2,093.2","1,882.1","1,951.2","1,914.8","1,887.5","1,921.2","2,152.5","2,254.9","2,322.0","2,397.5","2,479.2","2,554.8"
Net interest:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest on Treasury debt securities (gross),51.1,54.8,58.4,61.0,63.3,68.4,72.0,78.4,86.5,89.4,89.0,94.3,106.8,107.9,114.5,24.3,120.8,131.5,149.6,172.0,200.1,229.7,241.5,278.9,313.9,326.4,327.6,348.0,376.6,399.4,415.9,415.7,406.3,402.8,442.5,449.5,456.9,461.5,442.8,444.2,430.8,392.2,368.2,363.3,385.8,430.4,444.0,456.4,383.1,410.4,441.4,343.3,390.4,397.4,394.0,436.5,488.1,535.9,585.4,629.7
Interest received by:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On-budget trust funds,-4.6,-5.0,-5.5,-6.0,-6.6,-7.6,-8.3,-9.2,-10.6,-12.0,-12.1,-12.3,-14.8,-16.1,-15.4,-0.5,-15.8,-16.5,-19.3,-22.3,-24.1,-27.4,-28.6,-30.9,-38.3,-45.7,-49.7,-55.9,-63.3,-69.9,-73.5,-77.1,-77.2,-76.8,-79.7,-79.6,-81.9,-85.3,-83.3,-85.0,-90.2,-90.2,-83.9,-76.5,-75.7,-75.9,-74.3,-78.7,-63.6,-66.7,-70.0,-14.1,-47.9,-53.5,-50.1,-49.6,-49.5,-49.8,-53.6,-56.2
Off-budget trust funds,-3.4,-3.2,-3.3,-3.5,-3.4,-4.0,-4.8,-5.4,-7.0,-8.3,-8.6,-8.9,-9.2,-9.3,-8.7,-0.3,-7.6,-6.5,-5.6,-5.4,-4.8,-4.1,-3.5,-6.0,-7.2,-7.4,-8.9,-12.1,-17.8,-24.1,-29.5,-33.6,-37.2,-39.7,-44.3,-47.7,-52.9,-59.2,-65.2,-73.4,-82.5,-90.6,-96.7,-97.4,-100.6,-103.6,-109.5,-115.1,-118.0,-117.5,-112.8,-107.4,-99.2,-92.8,-87.6,-82.4,-78.9,-75.2,-73.8,-69.5
Other,-4.5,-3.8,-4.7,-5.3,-3.8,-4.3,-4.0,-3.7,-4.4,-5.8,-5.2,-5.4,-4.7,-5.8,-7.9,-2.7,-11.2,-12.8,-18.2,-23.5,-27.1,-31.6,-40.8,-40.6,-41.1,-40.0,-36.5,-33.2,-31.3,-27.2,-29.6,-21.5,-15.9,-10.4,-9.4,-7.2,-8.7,-11.2,-6.4,-12.1,-11.0,-9.8,-10.4,-8.4,-8.1,-10.6,-15.4,-6.9,-14.6,-31.7,-35.0,-11.1,-35.8,-39.3,-47.0,-50.2,-40.7,-43.4,-47.5,-51.3
Total net interest,38.6,42.9,44.9,46.2,49.4,52.5,54.8,60.0,64.5,63.3,63.0,67.7,78.2,76.8,82.6,20.8,86.2,95.7,106.6,120.8,144.0,166.6,168.6,201.4,227.2,233.3,232.6,246.8,264.2,278.1,283.3,283.5,276.1,275.9,309.1,315.1,313.4,305.9,287.8,273.7,247.1,201.6,177.2,181.0,201.5,240.3,244.8,255.7,186.9,194.5,223.6,210.6,207.5,211.8,209.2,254.4,318.9,367.4,410.5,452.6
Total outlays for mandatory and related programs,191.9,193.3,213.2,216.8,233.9,262.1,302.6,317.6,345.2,382.9,433.5,479.9,498.0,602.5,628.5,148.1,632.1,672.7,679.9,733.2,781.3,832.7,859.6,853.4,928.9,945.0,927.2,958.9,"1,005.4","1,130.0","1,139.9","1,175.2","1,173.3","1,220.8","1,258.7","1,313.3","1,317.3","1,365.7","1,390.9","1,414.7","1,428.6","1,486.2","1,524.8","1,564.1","1,636.6","1,731.8","1,745.5","1,849.3","2,280.1","2,076.6","2,174.8","2,125.4","2,095.0","2,133.0","2,361.7","2,509.3","2,640.9","2,764.9","2,889.7","3,007.4"
