Fiscal_Year,Federal_Debt,Federal_Accounts,Total_Equals_Held_by_the_Public,Federal_Reserve_System_Equals_Held_by_the_Public,Other_Equals_Held_by_the_Public,Gross_Federal_Debt,Less_Held_by_Federal_Government_Accounts,Total_Equals_Held_by_the_Public,Federal_Reserve_System_Equals_Held_by_the_Public,Other_Equals_Held_by_the_Public
2004,"7,354,657","3,059,113","4,295,544","700,341","3,595,203",60.8,25.3,35.5,5.8,29.7
2005,"7,905,300","3,313,088","4,592,212","736,360","3,855,852",61.3,25.7,35.6,5.7,29.9
2006,"8,451,350","3,622,378","4,828,972","768,924","4,060,048",61.8,26.5,35.3,5.6,29.7
2007,"8,950,744","3,915,615","5,035,129","779,632","4,255,497",62.5,27.3,35.2,5.4,29.7
2008,"9,986,082","4,183,032","5,803,050","491,127","5,311,923",67.7,28.4,39.3,3.3,36
2009,"11,875,851","4,331,144","7,544,707","769,160","6,775,547",82.4,30,52.3,5.3,47
2010,"13,528,807","4,509,926","9,018,882","811,669","8,207,213",91.4,30.5,60.9,5.5,55.5
2011,"14,764,222","4,636,035","10,128,187","1,664,660","8,463,527",96,30.1,65.9,10.8,55
2012,"16,050,921","4,769,790","11,281,131","1,645,285","9,635,846",100.2,29.8,70.4,10.3,60.1
2013,"16,719,434","4,736,721","11,982,713","2,072,283","9,910,430",100.8,28.6,72.3,12.5,59.8
2014,"17,794,483","5,014,605","12,779,877","2,451,743","10,328,134",103.2,29.1,74.1,14.2,59.9
2015,"18,627,577","5,121,246","13,506,331",,,103.6,28.5,75.1,,
2016,"19,333,800","5,225,309","14,108,492",,,102.7,27.8,75,,
2017,"20,095,062","5,390,150","14,704,912",,,102,27.3,74.6,,
2018,"20,870,355","5,555,400","15,314,954",,,101.2,26.9,74.3,,
2019,"21,640,282","5,681,108","15,959,174",,,100.5,26.4,74.1,,
2020,"22,413,109","5,778,414","16,634,696",,,99.7,25.7,74,,
