Fiscal_Year,Total_Receipts,Federal_Funds_Receipts,Trust_Funds_Receipts,Interfund_Transactions_Receipts,Total_Outlays,Federal_Funds_Outlays,Trust_Funds_Outlays,Interfund_Transactions_Outlays,Total_Surplus_or_Deficit,Federal_Funds_Surplus_or_Deficit,Trust_Funds_Surplus_or_Deficit
1960,"92,492","75,647","19,232","-2,387","92,191","74,856","19,722","-2,387",301,791,-490
1961,"94,388","75,175","22,320","-3,107","97,723","79,368","21,462","-3,107","-3,335","-4,193",858
1962,"99,676","79,700","22,981","-3,005","106,821","86,546","23,280","-3,005","-7,146","-6,847",-299
1963,"106,560","84,013","25,792","-3,245","111,316","90,643","23,918","-3,245","-4,756","-6,630","1,874"
1964,"112,613","87,511","28,461","-3,358","118,528","96,098","25,788","-3,358","-5,915","-8,588","2,673"
1965,"116,817","90,943","29,202","-3,328","118,228","94,853","26,703","-3,328","-1,411","-3,910","2,499"
1966,"130,835","101,428","32,959","-3,552","134,532","106,592","31,492","-3,552","-3,698","-5,165","1,467"
1967,"148,822","111,835","42,213","-5,227","157,464","127,544","35,147","-5,227","-8,643","-15,709","7,066"
1968,"152,973","114,726","44,011","-5,764","178,134","143,100","40,799","-5,764","-25,161","-28,373","3,212"
1969,"186,882","143,322","51,108","-7,549","183,640","148,192","42,996","-7,549","3,242","-4,871","8,112"
1970,"192,807","143,159","58,425","-8,777","195,649","156,327","48,099","-8,777","-2,842","-13,168","10,326"
1971,"187,139","133,785","64,937","-11,583","210,172","163,681","58,074","-11,583","-23,033","-29,896","6,863"
1972,"207,309","148,846","71,619","-13,156","230,681","178,142","65,695","-13,156","-23,373","-29,296","5,924"
1973,"230,799","161,357","90,767","-21,325","245,707","187,040","79,993","-21,325","-14,908","-25,683","10,774"
1974,"263,224","181,228","103,789","-21,793","269,359","201,372","89,780","-21,793","-6,135","-20,144","14,009"
1975,"279,090","187,505","117,647","-26,061","332,332","248,169","110,225","-26,061","-53,242","-60,664","7,422"
1976,"298,060","201,099","132,509","-35,548","371,792","277,236","130,104","-35,548","-73,732","-76,138","2,405"
TQ,"81,232","54,085","31,625","-4,478","95,975","66,878","33,576","-4,478","-14,744","-12,793","-1,951"
1977,"355,559","241,312","151,503","-37,256","409,218","304,467","142,007","-37,256","-53,659","-63,155","9,495"
1978,"399,561","270,490","166,468","-37,397","458,746","342,366","153,777","-37,397","-59,185","-71,876","12,691"
1979,"463,302","316,366","188,072","-41,136","504,028","375,427","169,737","-41,136","-40,726","-59,061","18,335"
1980,"517,112","350,856","212,106","-45,850","590,941","433,487","203,304","-45,850","-73,830","-82,632","8,802"
1981,"599,272","410,422","240,601","-51,751","678,241","496,213","233,778","-51,751","-78,968","-85,791","6,823"
1982,"617,766","409,253","270,138","-61,625","745,743","543,473","263,894","-61,625","-127,977","-134,221","6,244"
1983,"600,562","382,432","319,363","-101,233","808,364","613,306","296,291","-101,233","-207,802","-230,874","23,072"
1984,"666,438","420,391","338,621","-92,574","851,805","638,663","305,716","-92,574","-185,367","-218,272","32,905"
1985,"734,037","460,307","397,452","-123,723","946,344","726,764","343,304","-123,723","-212,308","-266,457","54,149"
1986,"769,155","474,123","423,319","-128,287","990,382","757,243","361,426","-128,287","-221,227","-283,120","61,893"
1987,"854,287","538,705","444,141","-128,559","1,004,017","761,053","371,523","-128,559","-149,730","-222,348","72,618"
1988,"909,238","561,446","491,138","-143,346","1,064,416","814,348","393,414","-143,346","-155,178","-252,902","97,724"
1989,"991,104","615,320","535,858","-160,073","1,143,743","891,441","412,375","-160,073","-152,639","-276,122","123,483"
1990,"1,031,958","635,937","566,820","-170,799","1,252,993","977,118","446,674","-170,799","-221,036","-341,181","120,145"
1991,"1,054,988","641,618","603,813","-190,443","1,324,226","1,022,590","492,079","-190,443","-269,238","-380,971","111,733"
1992,"1,091,208","656,339","636,010","-201,141","1,381,529","1,042,678","539,992","-201,141","-290,321","-386,338","96,018"
1993,"1,154,334","705,523","671,382","-222,571","1,409,386","1,060,960","570,997","-222,571","-255,051","-355,436","100,385"
1994,"1,258,566","775,095","693,888","-210,416","1,461,752","1,073,602","598,566","-210,416","-203,186","-298,508","95,322"
1995,"1,351,790","838,922","728,897","-216,029","1,515,742","1,102,133","629,638","-216,029","-163,952","-263,211","99,259"
1996,"1,453,053","917,242","775,631","-239,820","1,560,484","1,139,294","661,010","-239,820","-107,431","-222,052","114,621"
1997,"1,579,232","1,010,435","818,167","-249,370","1,601,116","1,158,261","692,225","-249,370","-21,884","-147,826","125,942"
1998,"1,721,728","1,113,614","870,750","-262,636","1,652,458","1,205,541","709,553","-262,636","69,270","-91,927","161,197"
1999,"1,827,452","1,164,569","937,411","-274,528","1,701,842","1,251,689","724,681","-274,528","125,610","-87,120","212,730"
2000,"2,025,191","1,325,979","994,930","-295,718","1,788,950","1,324,350","760,318","-295,718","236,241","1,629","234,612"
2001,"1,991,082","1,256,733","1,049,170","-314,821","1,862,846","1,357,246","820,421","-314,821","128,236","-100,513","228,749"
2002,"1,853,136","1,109,164","1,087,208","-343,236","2,010,894","1,469,320","884,810","-343,236","-157,758","-360,156","202,398"
2003,"1,782,314","1,025,357","1,101,632","-344,675","2,159,899","1,581,334","923,240","-344,675","-377,585","-555,977","178,392"
2004,"1,880,114","1,101,077","1,146,806","-367,769","2,292,841","1,706,442","954,168","-367,769","-412,727","-605,365","192,638"
2005,"2,153,611","1,310,397","1,248,093","-404,879","2,471,957","1,865,490","1,011,346","-404,879","-318,346","-555,093","236,747"
2006,"2,406,869","1,517,766","1,361,411","-472,308","2,655,050","2,055,037","1,072,321","-472,308","-248,181","-537,271","289,090"
2007,"2,567,985","1,661,404","1,424,386","-517,805","2,728,686","2,070,799","1,175,692","-517,805","-160,701","-409,395","248,694"
2008,"2,523,991","1,571,828","1,500,077","-547,914","2,982,544","2,296,449","1,234,009","-547,914","-458,553","-724,621","266,068"
2009,"2,104,989","1,166,960","1,531,434","-593,405","3,517,677","2,706,938","1,404,144","-593,405","-1,412,688","-1,539,978","127,290"
2010,"2,162,706","1,248,560","1,610,887","-696,741","3,457,079","2,666,265","1,487,555","-696,741","-1,294,373","-1,417,705","123,332"
2011,"2,303,466","1,431,513","1,623,196","-751,243","3,603,059","2,828,253","1,526,049","-751,243","-1,299,593","-1,396,740","97,147"
2012,"2,449,988","1,545,684","1,621,949","-717,645","3,536,951","2,722,511","1,532,085","-717,645","-1,086,963","-1,176,827","89,864"
2013,"2,775,103","1,769,331","1,672,939","-667,167","3,454,647","2,535,262","1,586,552","-667,167","-679,544","-765,931","86,387"
2014,"3,021,487","1,937,310","1,745,463","-661,286","3,506,089","2,550,460","1,616,915","-661,286","-484,602","-613,150","128,548"
2015 estimate,"3,176,072","2,050,602","1,777,847","-652,377","3,758,577","2,742,209","1,668,745","-652,377","-582,505","-691,607","109,102"
2016 estimate,"3,525,179","2,349,576","1,911,616","-736,013","3,999,467","2,928,434","1,807,046","-736,013","-474,288","-578,858","104,570"
2017 estimate,"3,754,980","2,514,818","1,992,946","-752,784","4,217,798","3,106,119","1,864,463","-752,784","-462,818","-591,301","128,483"
2018 estimate,"3,944,415","2,647,930","2,068,845","-772,360","4,423,296","3,257,099","1,938,557","-772,360","-478,881","-609,169","130,288"
2019 estimate,"4,134,973","2,787,567","2,166,142","-818,736","4,652,637","3,391,709","2,079,664","-818,736","-517,664","-604,142","86,478"
2020 estimate,"4,332,242","2,932,402","2,260,695","-860,855","4,886,367","3,546,378","2,200,844","-860,855","-554,125","-613,976","59,851"
