Fiscal_Year,National_Defense_In_Millions_of_Dollars,Nondefense_In_Millions_of_Dollars,Total_In_Millions_of_Dollars,National_Defense_In_Billions_of_Constant_FY_2009_Dollars,Nondefense_In_Billions_of_Constant_FY_2009_Dollars,Total_In_Billions_of_Constant_FY_2009_Dollars,National_Defense_As_Percentages_of_Total_Outlays,Nondefense_As_Percentages_of_Total_Outlays,Total_As_Percentages_of_Total_Outlays,National_Defense_As_Percentages_of_GDP,Nondefense_As_Percentages_of_GDP,Total_As_Percentages_of_GDP
1977,"10,874","10,569","21,443",31.3,30.5,61.8,2.7,2.6,5.2,0.5,0.5,1.1
1978,"12,077","12,455","24,532",32.6,33.6,66.2,2.6,2.7,5.3,0.5,0.5,1.1
1979,"12,129","14,196","26,325",30.3,35.5,65.8,2.4,2.8,5.2,0.5,0.6,1.0
1980,"14,643","15,592","30,235",33.7,35.8,69.5,2.5,2.6,5.1,0.5,0.6,1.1
1981,"16,937","17,231","34,168",35.5,36.1,71.6,2.5,2.5,5.0,0.5,0.5,1.1
1982,"19,809","14,850","34,660",38.8,29.1,67.9,2.7,2.0,4.6,0.6,0.4,1.0
1983,"22,298","13,602","35,900",41.9,25.5,67.4,2.8,1.7,4.4,0.6,0.4,1.0
1984,"25,765","15,221","40,986",46.7,27.6,74.3,3.0,1.8,4.8,0.7,0.4,1.0
1985,"30,360","16,856","47,216",53.3,29.6,82.8,3.2,1.8,5.0,0.7,0.4,1.1
1986,"35,656","16,485","52,141",61.2,28.3,89.5,3.6,1.7,5.3,0.8,0.4,1.1
1987,"37,097","16,159","53,256",62.3,27.1,89.4,3.7,1.6,5.3,0.8,0.3,1.1
1988,"38,032","18,068","56,100",61.8,29.4,91.2,3.6,1.7,5.3,0.7,0.4,1.1
1989,"40,366","20,394","60,760",63.1,31.9,95.0,3.5,1.8,5.3,0.7,0.4,1.1
1990,"41,078","22,732","63,810",62.0,34.3,96.3,3.3,1.8,5.1,0.7,0.4,1.1
1991,"37,887","24,296","62,183",55.2,35.4,90.6,2.9,1.8,4.7,0.6,0.4,1.0
1992,"38,170","26,558","64,728",54.3,37.8,92.1,2.8,1.9,4.7,0.6,0.4,1.0
1993,"40,396","27,982","68,378",56.1,38.9,95.0,2.9,2.0,4.9,0.6,0.4,1.0
1994,"38,055","28,397","66,453",51.7,38.6,90.4,2.6,1.9,4.5,0.5,0.4,0.9
1995,"37,699","30,733","68,432",50.2,40.9,91.1,2.5,2.0,4.5,0.5,0.4,0.9
1996,"39,428","29,011","68,439",51.5,37.9,89.5,2.5,1.9,4.4,0.5,0.4,0.9
1997,"40,177","30,896","71,073",51.6,39.7,91.3,2.5,1.9,4.4,0.5,0.4,0.8
1998,"40,141","32,662","72,803",50.9,41.4,92.4,2.4,2.0,4.4,0.4,0.4,0.8
1999,"40,276","33,860","74,136",50.5,42.4,92.9,2.4,2.0,4.4,0.4,0.4,0.8
2000,"41,050","32,897","73,947",50.4,40.4,90.8,2.3,1.8,4.1,0.4,0.3,0.7
2001,"44,147","35,942","80,089",52.9,43.1,96.0,2.4,1.9,4.3,0.4,0.3,0.8
2002,"48,238","39,673","87,911",56.9,46.8,103.7,2.4,2.0,4.4,0.4,0.4,0.8
2003,"57,328","44,112","101,440",66.4,51.1,117.4,2.7,2.0,4.7,0.5,0.4,0.9
2004,"65,345","48,034","113,379",73.8,54.3,128.1,2.8,2.1,4.9,0.5,0.4,0.9
2005,"70,646","49,200","119,846",77.4,53.9,131.2,2.9,2.0,4.8,0.5,0.4,0.9
2006,"73,043","49,752","122,795",77.5,52.8,130.2,2.8,1.9,4.6,0.5,0.4,0.9
2007,"77,078","52,611","129,689",79.6,54.3,133.9,2.8,1.9,4.8,0.5,0.4,0.9
2008,"79,601","55,346","134,947",80.5,56.0,136.5,2.7,1.9,4.5,0.5,0.4,0.9
2009,"82,918","56,911","139,829",82.9,56.9,139.8,2.4,1.6,4.0,0.6,0.4,1.0
2010,"81,090","59,836","140,926",80.4,59.3,139.7,2.3,1.7,4.1,0.5,0.4,1.0
2011,"79,675","63,950","143,625",77.5,62.2,139.7,2.2,1.8,4.0,0.5,0.4,0.9
2012,"75,121","63,654","138,775",71.8,60.8,132.6,2.1,1.8,3.9,0.5,0.4,0.9
2013,"71,115","61,365","132,480",66.8,57.6,124.4,2.1,1.8,3.8,0.4,0.4,0.8
2014,"70,576","60,730","131,306",65.3,56.2,121.5,2.0,1.7,3.7,0.4,0.4,0.8
2015 estimate,"72,618","61,619","134,237",66.3,56.3,122.5,1.9,1.6,3.6,0.4,0.3,0.7
2016 estimate,"76,946","63,142","140,088",69.1,56.7,125.9,1.9,1.6,3.5,0.4,0.3,0.7
