Fiscal Year,Individual_Income_Taxes,Corporate_Income_Taxes_1,Total_Social_Insurance_and_Retirement_Receipts_2,On_Budget_Social_Insurance_and_Retirement_Receipts_2,Off_Budget_Social_Insurance_and_Retirement_Receipts_2,Excise_Taxes_2_Total_Receipts,Other_3_Total_Receipts,Total_Total_Receipts,On_Budget_Total_Receipts,Off_Budget_Total_Receipts
1969,"87,249","36,678","39,015","10,062","28,953","15,222","8,718","186,882","157,928","28,953"
1970,"90,412","32,829","44,362","10,903","33,459","15,705","9,499","192,807","159,348","33,459"
1971,"86,230","26,785","47,325","11,481","35,845","16,614","10,185","187,139","151,294","35,845"
1972,"94,737","32,166","52,574","12,667","39,907","15,477","12,355","207,309","167,402","39,907"
1973,"103,246","36,153","63,115","17,031","46,084","16,260","12,026","230,799","184,715","46,084"
1974,"118,952","38,620","75,071","21,146","53,925","16,844","13,737","263,224","209,299","53,925"
1975,"122,386","40,621","84,534","22,077","62,458","16,551","14,998","279,090","216,633","62,458"
1976,"131,603","41,409","90,769","24,381","66,389","16,963","17,317","298,060","231,671","66,389"
TQ,"38,801","8,460","25,219","7,203","18,016","4,473","4,279","81,232","63,216","18,016"
1977,"157,626","54,892","106,485","29,668","76,817","17,548","19,008","355,559","278,741","76,817"
1978,"180,988","59,952","120,967","35,576","85,391","18,376","19,278","399,561","314,169","85,391"
1979,"217,841","65,677","138,939","40,945","97,994","18,745","22,101","463,302","365,309","97,994"
1980,"244,069","64,600","157,803","44,594","113,209","24,329","26,311","517,112","403,903","113,209"
1981,"285,917","61,137","182,720","52,545","130,176","40,839","28,659","599,272","469,097","130,176"
1982,"297,744","49,207","201,498","58,031","143,467","36,311","33,006","617,766","474,299","143,467"
1983,"288,938","37,022","208,994","61,674","147,320","35,300","30,309","600,562","453,242","147,320"
1984,"298,415","56,893","239,376","73,301","166,075","37,361","34,392","666,438","500,363","166,075"
1985,"334,531","61,331","265,163","78,992","186,170","35,992","37,020","734,037","547,866","186,170"
1986,"348,959","63,143","283,901","83,673","200,228","32,919","40,233","769,155","568,927","200,228"
1987,"392,557","83,926","303,318","89,916","213,401","32,457","42,029","854,287","640,886","213,401"
1988,"401,181","94,508","334,335","92,845","241,491","35,227","43,987","909,238","667,747","241,491"
1989,"445,690","103,291","359,416","95,751","263,665","34,386","48,321","991,104","727,439","263,665"
1990,"466,884","93,507","380,047","98,392","281,655","35,345","56,174","1,031,958","750,302","281,655"
1991,"467,827","98,086","396,015","102,131","293,884","42,402","50,657","1,054,988","761,103","293,884"
1992,"475,964","100,270","413,688","111,263","302,426","45,569","55,717","1,091,208","788,783","302,426"
1993,"509,680","117,520","428,299","116,366","311,934","48,057","50,778","1,154,334","842,401","311,934"
1994,"543,055","140,385","461,475","126,450","335,026","55,225","58,427","1,258,566","923,541","335,026"
1995,"590,244","157,004","484,473","133,394","351,079","57,484","62,585","1,351,790","1,000,711","351,079"
1996,"656,417","171,824","509,414","141,922","367,492","54,014","61,384","1,453,053","1,085,561","367,492"
1997,"737,466","182,293","539,371","147,381","391,990","56,924","63,178","1,579,232","1,187,242","391,990"
1998,"828,586","188,677","571,831","156,032","415,799","57,673","74,961","1,721,728","1,305,929","415,799"
1999,"879,480","184,680","611,833","167,365","444,468","70,414","81,045","1,827,452","1,382,984","444,468"
2000,"1,004,462","207,289","652,852","172,268","480,584","68,865","91,723","2,025,191","1,544,607","480,584"
2001,"994,339","151,075","693,967","186,448","507,519","66,232","85,469","1,991,082","1,483,563","507,519"
2002,"858,345","148,044","700,760","185,439","515,321","66,989","78,998","1,853,136","1,337,815","515,321"
2003,"793,699","131,778","712,978","189,136","523,842","67,524","76,335","1,782,314","1,258,472","523,842"
2004,"808,959","189,371","733,407","198,662","534,745","69,855","78,522","1,880,114","1,345,369","534,745"
2005,"927,222","278,282","794,125","216,649","577,476","73,094","80,888","2,153,611","1,576,135","577,476"
2006,"1,043,908","353,915","837,821","229,439","608,382","73,961","97,264","2,406,869","1,798,487","608,382"
2007,"1,163,472","370,243","869,607","234,518","635,089","65,069","99,594","2,567,985","1,932,896","635,089"
2008,"1,145,747","304,346","900,155","242,109","658,046","67,334","106,409","2,523,991","1,865,945","658,046"
2009,"915,308","138,229","890,917","236,908","654,009","62,483","98,052","2,104,989","1,450,980","654,009"
2010,"898,549","191,437","864,814","233,127","631,687","66,909","140,997","2,162,706","1,531,019","631,687"
2011,"1,091,473","181,085","818,792","253,004","565,788","72,381","139,735","2,303,466","1,737,678","565,788"
2012,"1,132,206","242,289","845,314","275,813","569,501","79,061","151,118","2,449,988","1,880,487","569,501"
2013,"1,316,405","273,506","947,820","274,546","673,274","84,007","153,365","2,775,103","2,101,829","673,274"
2014,"1,394,568","320,731","1,023,458","287,893","735,565","93,368","189,362","3,021,487","2,285,922","735,565"
2015 estimate,"1,478,076","341,688","1,065,012","299,442","765,570","95,898","195,398","3,176,072","2,410,502","765,570"
2016 estimate,"1,645,628","473,304","1,111,926","310,961","800,965","112,084","182,237","3,525,179","2,724,214","800,965"
2017 estimate,"1,770,347","499,763","1,173,288","329,310","843,978","120,296","191,286","3,754,980","2,911,002","843,978"
2018 estimate,"1,886,884","503,027","1,228,575","343,433","885,142","122,379","203,550","3,944,415","3,059,273","885,142"
2019 estimate,"1,999,800","507,206","1,280,398","354,425","925,973","124,346","223,223","4,134,973","3,209,000","925,973"
2020 estimate,"2,118,406","512,535","1,332,212","367,812","964,400","126,354","242,735","4,332,242","3,367,842","964,400"
