Fiscal_Year,Debt_Limit
1982,"1,142,913"
1983,"1,377,953"
1984,"1,572,975"
1985,"1,823,775"
1986,"2,110,975"
1987,"2,336,014"
1988,"2,586,869"
1989,"2,829,770"
1990,"3,161,223"
1991,"3,569,300"
1992,"3,972,578"
1993,"4,315,571"
1994,"4,605,338"
1995,"4,884,605"
1996,"5,137,195"
1998,"5,439,447"
1999,"5,567,694"
2000,"5,591,625"
1981,"998,818"
1982,"1,142,913"
1983,"1,377,953"
1984,"1,572,975"
1985,"1,823,775"
1986,"2,110,975"
1987,"2,336,014"
1988,"2,586,869"
1989,"2,829,770"
1990,"3,161,223"
1991,"3,569,300"
1992,"3,972,578"
1993,"4,315,571"
1994,"4,605,338"
1995,"4,884,605"
1996,"5,137,195"
1998,"5,439,447"
1999,"5,567,694"
2000,"5,591,625"
1981,"998,818"
1982,"1,142,913"
1983,"1,377,953"
1984,"1,572,975"
1985,"1,823,775"
1986,"2,110,975"
1987,"2,336,014"
1988,"2,586,869"
1989,"2,829,770"
1990,"3,161,223"
1991,"3,569,300"
1992,"3,972,578"
1993,"4,315,571"
1994,"4,605,338"
1995,"4,884,605"
1996,"5,137,195"
1998,"5,439,447"
1999,"5,567,694"
2000,"5,591,625"
2001,"5,732,802"
2002,"6,161,431"
2003,"6,737,642"
2004,"7,333,350"
2005,"7,871,040"
2006,"8,420,278"
2007,"8,921,343"
2008,"9,959,850"
2009,"11,853,142"
2010,"13,510,840"
2011,"14,746,553"
2012,"16,027,021"
2013,"16,699,396"
2014,"17,781,107"
2015,"18,614,969"
2016,"19,323,376"
2018,"20,864,278"
2019,"21,637,042"
2020,"22,411,671"
2001,"5,732,802"
2002,"6,161,431"
2003,"6,737,642"
2004,"7,333,350"
2005,"7,871,040"
2006,"8,420,278"
2007,"8,921,343"
2008,"9,959,850"
2009,"11,853,142"
2010,"13,510,840"
2011,"14,746,553"
2012,"16,027,021"
2013,"16,699,396"
2014,"17,781,107"
2015,"18,614,969"
2016,"19,323,376"
2018,"20,864,278"
2019,"21,637,042"
2020,"22,411,671"
2001,"5,732,802"
2002,"6,161,431"
2003,"6,737,642"
2004,"7,333,350"
2005,"7,871,040"
2006,"8,420,278"
2007,"8,921,343"
2008,"9,959,850"
2009,"11,853,142"
2010,"13,510,840"
2011,"14,746,553"
2012,"16,027,021"
2013,"16,699,396"
2014,"17,781,107"
2015,"18,614,969"
2016,"19,323,376"
2018,"20,864,278"
2019,"21,637,042"
2020,"22,411,671"
2001,"5,732,802"
2002,"6,161,431"
2003,"6,737,642"
2004,"7,333,350"
2005,"7,871,040"
2006,"8,420,278"
2007,"8,921,343"
2008,"9,959,850"
2009,"11,853,142"
2010,"13,510,840"
2011,"14,746,553"
2012,"16,027,021"
2013,"16,699,396"
2014,"17,781,107"
2015,"18,614,969"
2016,"19,323,376"
2018,"20,864,278"
2019,"21,637,042"
2020,"22,411,671"
2001,"5,732,802"
2002,"6,161,431"
2003,"6,737,642"
2004,"7,333,350"
2005,"7,871,040"
2006,"8,420,278"
2007,"8,921,343"
2008,"9,959,850"
2009,"11,853,142"
2010,"13,510,840"
2011,"14,746,553"
2012,"16,027,021"
2013,"16,699,396"
2014,"17,781,107"
2015,"18,614,969"
2016,"19,323,376"
2018,"20,864,278"
2019,"21,637,042"
2020,"22,411,671"
2001,"5,732,802"
2002,"6,161,431"
2003,"6,737,642"
2004,"7,333,350"
2005,"7,871,040"
2006,"8,420,278"
2007,"8,921,343"
2008,"9,959,850"
2009,"11,853,142"
2010,"13,510,840"
2011,"14,746,553"
2012,"16,027,021"
2013,"16,699,396"
2014,"17,781,107"
2015,"18,614,969"
2016,"19,323,376"
2018,"20,864,278"
2019,"21,637,042"
2020,"22,411,671"
2001,"5,732,802"
2002,"6,161,431"
2003,"6,737,642"
2004,"7,333,350"
2005,"7,871,040"
2006,"8,420,278"
2007,"8,921,343"
2008,"9,959,850"
2009,"11,853,142"
2010,"13,510,840"
2011,"14,746,553"
2012,"16,027,021"
2013,"16,699,396"
2014,"17,781,107"
2015,"18,614,969"
2016,"19,323,376"
2018,"20,864,278"
2019,"21,637,042"
2020,"22,411,671"
