Fiscal_Year,Total_In_Millions_of_Dollars,Payments_for_Individuals_In_Millions_of_Dollars,Capital_Investment_In_Millions_of_Dollars,Remainder_In_Millions_of_Dollars,Total_In_Billions_of_Constant_FY_2009_Dollars,Payments_for_Individuals_In_Billions_of_Constant_FY_2009_Dollars,Capital_Investment_In_Billions_of_Constant_FY_2009_Dollars,Remainder_In_Billions_of_Constant_FY_2009_Dollars,Total_As_Percentages_of_Federal_Outlays,Payments_for_Individuals_As_Percentages_of_Federal_Outlays,Capital_Investment_As_Percentages_of_Federal_Outlays,Remainder_As_Percentages_of_Federal_Outlays,Total_As_Percentages_of_GDP,Payments_for_Individuals_As_Percentages_of_GDP,Capital_Investment_As_Percentages_of_GDP,Remainder_As_Percentages_of_GDP
1985,"105,852","50,692","24,901","30,259",217.0,90.0,48.1,79.0,11.2,5.4,2.6,3.2,2.5,1.2,0.6,0.7
1986,"112,331","55,033","26,268","31,029",222.6,95.2,49.5,77.9,11.3,5.6,2.7,3.1,2.5,1.2,0.6,0.7
1987,"108,400","58,533","23,849","26,018",204.3,98.7,43.4,62.1,10.8,5.8,2.4,2.6,2.3,1.2,0.5,0.5
1988,"115,342","63,177","24,888","27,277",209.2,102.7,44.1,62.3,10.8,5.9,2.3,2.6,2.2,1.2,0.5,0.5
1989,"121,928","68,025","25,296","28,607",211.5,106.1,43.7,61.8,10.7,5.9,2.2,2.5,2.2,1.2,0.5,0.5
1990,"135,325","77,431","27,185","30,708",224.3,116.1,45.7,62.5,10.8,6.2,2.2,2.5,2.3,1.3,0.5,0.5
1991,"154,519","93,033","28,237","33,249",244.7,134.3,46.5,63.9,11.7,7.0,2.1,2.5,2.5,1.5,0.5,0.5
1992,"178,065","112,691","29,297","36,078",272.6,158.7,48.0,65.9,12.9,8.2,2.1,2.6,2.8,1.8,0.5,0.6
1993,"193,612","124,533","31,170","37,909",287.7,171.1,50.2,66.4,13.7,8.8,2.2,2.7,2.8,1.8,0.5,0.6
1994,"210,596","135,067","35,274","40,256",306.1,181.9,55.7,68.5,14.4,9.2,2.4,2.8,2.9,1.9,0.5,0.6
1995,"224,991","145,652","39,579","39,760",318.3,192.1,60.7,65.5,14.8,9.6,2.6,2.6,3.0,1.9,0.5,0.5
1996,"227,811","147,927","40,355","39,529",315.0,191.2,60.7,63.0,14.6,9.5,2.6,2.5,2.9,1.9,0.5,0.5
1997,"234,160","151,425","41,485","41,250",317.8,191.9,61.7,64.2,14.6,9.5,2.6,2.6,2.8,1.8,0.5,0.5
1998,"246,128","163,579","41,105","41,444",329.0,205.2,60.4,63.5,14.9,9.9,2.5,2.5,2.7,1.8,0.5,0.5
1999,"267,886","175,983","43,938","47,965",352.6,218.1,63.6,71.0,15.7,10.3,2.6,2.8,2.8,1.9,0.5,0.5
2000,"285,874","186,534","48,655","50,685",366.1,225.9,68.6,71.5,16.0,10.4,2.7,2.8,2.8,1.8,0.5,0.5
2001,"318,542","208,008","53,403","57,131",397.4,246.4,73.6,77.4,17.1,11.2,2.9,3.1,3.0,2.0,0.5,0.5
2002,"352,895","231,854","58,661","62,380",433.5,271.3,79.7,82.5,17.5,11.5,2.9,3.1,3.2,2.1,0.5,0.6
2003,"388,542","251,235","59,843","77,464",466.7,288.1,80.3,98.2,18.0,11.6,2.8,3.6,3.4,2.2,0.5,0.7
2004,"407,512","267,046","59,411","81,055",475.3,299.6,77.7,97.9,17.8,11.6,2.6,3.5,3.4,2.2,0.5,0.7
2005,"428,018","278,764","60,848","88,406",480.1,304.1,74.2,101.8,17.3,11.3,2.5,3.6,3.3,2.2,0.5,0.7
2006,"434,099","277,559","64,114","92,426",469.4,293.8,73.9,101.7,16.3,10.5,2.4,3.5,3.2,2.0,0.5,0.7
2007,"443,797","289,460","70,762","83,575",464.4,299.8,76.2,88.4,16.3,10.6,2.6,3.1,3.1,2.0,0.5,0.6
2008,"461,317","306,123","72,718","82,476",464.1,306.2,75.0,82.8,15.5,10.3,2.4,2.8,3.1,2.1,0.5,0.6
2009,"537,991","362,031","75,212","100,748",538.0,362.0,75.2,100.7,15.3,10.3,2.1,2.9,3.7,2.5,0.5,0.7
2010,"608,390","391,427","93,274","123,689",602.9,385.3,93.7,123.9,17.6,11.3,2.7,3.6,4.1,2.6,0.6,0.8
2011,"606,766","392,713","96,546","117,507",588.8,378.7,94.9,115.2,16.8,10.9,2.7,3.3,3.9,2.6,0.6,0.8
2012,"544,569","364,095","85,212","95,262",515.1,343.9,81.1,90.1,15.4,10.3,2.4,2.7,3.4,2.3,0.5,0.6
2013,"546,171","379,008","78,431","88,732",508.7,353.0,73.3,82.4,15.8,11.0,2.3,2.6,3.3,2.3,0.5,0.5
2014,"576,965","412,466","78,938","85,561",529.9,378.5,72.9,78.5,16.5,11.8,2.3,2.4,3.3,2.4,0.5,0.5
2015 estimate,"628,153","450,416","81,994","95,743",568.2,408.0,74.2,86.1,16.7,12.0,2.2,2.5,3.5,2.5,0.5,0.5
2016 estimate,"651,719","479,875","84,645","87,199",577.3,426.5,74.5,76.3,16.3,12.0,2.1,2.2,3.5,2.6,0.4,0.5
2017 estimate,"678,122","498,445","89,693","89,984",586.9,433.9,76.6,76.4,16.1,11.8,2.1,2.1,3.4,2.5,0.5,0.5
2018 estimate,"709,341","520,951","92,713","95,677",599.2,443.7,76.8,78.7,16.0,11.8,2.1,2.2,3.4,2.5,0.4,0.5
2019 estimate,"736,301","546,487","92,741","97,073",606.8,455.0,74.4,77.4,15.8,11.7,2.0,2.1,3.4,2.5,0.4,0.5
2020 estimate,"749,796","560,525","92,902","96,369",602.8,456.1,72.2,74.5,15.3,11.5,1.9,2.0,3.3,2.5,0.4,0.4
