Category_and_Program,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Commerce and housing credit,"3,581","1,109","4,543","4,178","4,325","6,162","4,324","3,259","3,556","3,775","4,023","2,937","2,937","2,912","3,125","3,914","2,825","3,429","2,482","1,442","3,061","2,248","1,395",446,774,"5,112","1,413",603,-299,-13,"2,620","1,863","1,832","3,200","15,714","7,050","-5,661","-2,050","-15,065","-6,340","-5,649","-2,599","-2,644","-2,412","-1,390","2,140"
Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ground transportation,"2,970","1,277","2,110","2,886","5,164","6,250","8,716","8,450","5,466","4,267","4,056","3,385","3,417","3,020","3,001","4,051","3,443","3,703","2,575","3,883","3,067","2,453","2,899","2,051","2,340","2,011","4,928","4,810","2,958","2,894","4,450","6,673","4,188","4,681","50,976","8,584","3,825","6,295","16,819","4,629",569,582,593,605,611,616
Air transportation,"2,270",524,"2,454","2,692","3,048","3,181","3,397","3,223","3,939","4,316","5,063","4,565","4,685","5,209","5,792","6,609","7,332","8,104","8,307","8,430","5,985","7,987","8,328","8,687","9,046","9,207","10,922","14,106","17,790","14,890","15,194","15,645","15,833","16,314","19,556","18,522","18,346","18,598","17,316","18,139","17,334","18,324","17,876","18,052","18,128","18,319"
Water and other transportation,"1,304",301,"1,306","1,564","1,689","1,766","2,099","2,432","2,380","2,679","2,471","2,165","2,432","2,362","2,769","2,874","2,890","3,154","3,077","3,384","3,433","3,157","3,276","3,238","3,761","3,953","3,813","4,483","5,836","5,770","5,823","6,485","7,328","7,759","8,662","8,950","9,208","8,881","8,772","8,587","8,381","8,466","8,627","8,799","8,897","8,991"
Total transportation,"6,545","2,102","5,869","7,141","9,900","11,197","14,212","14,105","11,785","11,262","11,591","10,115","10,534","10,590","11,563","13,533","13,665","14,962","13,959","15,697","12,485","13,597","14,503","13,976","15,147","15,171","19,663","23,399","26,584","23,554","25,467","28,803","27,349","28,754","79,194","36,056","31,379","33,774","42,907","31,355","26,284","27,372","27,096","27,456","27,636","27,926"
Community and regional development,"4,166",460,"12,245","9,838","8,967","9,804","7,715","6,267","7,602","6,611","6,232","5,766","5,657","5,451","6,063","7,311","5,892","11,384","9,655","15,394","12,090","11,707","13,114","10,366","11,122","12,202","14,342","22,721","16,402","17,435","82,402","14,048","17,866","37,773","23,398","21,458","14,915","18,548","44,593","16,808","17,313","17,994","11,631","11,805","11,927","12,049"
"Education, training, employment and social services:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,"8,835","3,317","10,508","11,030","12,607","12,660","12,421","11,698","12,338","13,092","15,167","14,438","16,717","17,397","18,355","19,939","22,861","24,446","25,485","26,355","26,413","23,234","28,193","31,350","30,511","31,104","42,168","51,550","55,309","57,965","59,594","60,898","60,253","59,824","157,576","67,163","71,143","70,195","68,396","70,106","69,984","74,117","75,147","76,198","76,722","77,204"
"Training, employment and social services","9,260","1,339","16,328","7,428","15,039","12,632","12,155","7,305","8,580","11,864","8,805","8,147","8,823","9,320","9,505","10,088","10,945","11,906","12,652","14,254","13,465","13,284","14,660","15,382","16,172","13,307","19,169","19,764","19,809","20,214","20,622","20,057","20,221","20,205","30,331","22,318","20,655","21,425","20,271","21,624","21,794","24,759","25,218","25,691","25,927","26,166"
"Total education, training, employment and social services","18,096","4,656","26,836","18,458","27,646","25,292","24,576","19,003","20,918","24,956","23,972","22,586","25,540","26,717","27,860","30,027","33,806","36,352","38,137","40,608","39,878","36,518","42,853","46,732","46,683","44,411","61,337","71,314","75,118","78,179","80,216","80,955","80,474","80,029","187,907","89,481","91,798","91,620","88,667","91,730","91,778","98,876","100,365","101,889","102,649","103,370"
Health,"6,220","1,230","6,856","7,703","8,317","8,812","8,729","8,205","8,795","9,343","10,310","10,344","12,141","12,958","14,262","16,078","18,169","19,560","20,697","22,193","22,814","23,303","25,086","26,386","30,209","33,823","38,891","45,787","49,395","51,713","54,516","56,489","52,434","53,403","83,148","58,537","54,593","56,153","53,249","56,455","59,474","53,552","59,422","60,609","61,222","61,832"
Medicare,775,222,836,914,985,"1,078","1,207","1,221","1,369","1,553","1,656","1,719","1,724","2,206","2,276","2,361","2,566","2,860","2,829","2,962","3,028","2,939","2,623","2,723","2,803","2,998","3,323","3,805","3,795","5,350","4,000","4,912","4,869","4,939","5,680","6,246","6,003","6,312","5,983","6,200","6,554","7,014","7,162","7,308","7,392","7,482"
Income security:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Housing assistance,"18,621",111,"28,632","32,305","24,789","27,663","26,078","13,879","10,028","11,401","12,617","10,751","8,568","8,650","9,012","10,788","19,603","19,702","21,122","21,100","15,314","16,410","11,661","17,449","20,377","18,077","25,100","26,945","28,771","29,576","29,108","31,170","34,329","35,040","48,570","42,271","41,647","39,769","39,177","42,556","42,485","46,437","47,278","48,132","48,575","49,016"
Other,"2,169",529,"2,518","2,755","3,363","5,680","6,537","6,822","7,915","8,083","7,712","7,840","7,772","7,679","7,702","8,327","10,155","10,900","11,036","12,098","12,200","11,347","11,026","12,312","12,377","13,489","14,626","15,748","15,484","15,634","16,666","16,526","16,560","18,194","26,324","23,409","21,883","22,104","20,743","23,106","22,582","23,042","22,896","23,363","23,585","23,821"
Total income security,"20,790",641,"31,150","35,060","28,152","33,344","32,615","20,701","17,943","19,484","20,329","18,591","16,339","16,329","16,714","19,115","29,758","30,602","32,158","33,198","27,514","27,757","22,687","29,761","32,754","31,566","39,726","42,692","44,256","45,210","45,774","47,696","50,888","53,234","74,894","65,680","63,530","61,873","59,920","65,662","65,067","69,479","70,174","71,495","72,160","72,837"
Social security,"1,086",279,"1,181","1,292","1,365","1,451","1,635","1,905","2,120","2,080","2,110","2,193","2,147","2,257","2,121","2,223","2,399","2,540","2,640","2,828","2,325","3,135","3,451","3,195","3,144","3,195","3,430","3,504","3,797","4,133","4,436","4,633","4,683","5,015","6,387","5,764","5,638","5,815","5,385","4,871","5,422","5,833","5,439","5,549","5,603","5,659"
Veterans benefits and services,"4,931","1,216","5,612","6,249","6,756","7,043","7,583","8,479","9,526","9,946","10,783","10,742","11,313","11,631","12,363","13,037","14,124","15,298","16,235","17,193","17,618","17,801","18,908","18,943","19,261","20,904","22,459","24,043","26,614","29,231","32,324","34,205","38,270","43,778","49,381","53,274","56,633","58,865","61,610","63,547","65,319","70,457","74,974","76,607","78,183","79,754"
Administration of justice,"3,389",879,"3,714","3,971","4,337","4,493","4,518","4,844","5,468","6,152","6,781","6,828","8,657","9,180","10,055","12,555","12,906","14,499","14,852","15,454","18,650","21,056","23,395","25,385","27,137","27,710","31,078","35,434","35,741","37,882","39,417","41,118","44,551","47,737","54,731","52,975","51,063","51,424","48,862","52,213","51,779","41,302","57,316","58,516","59,156","59,812"
General government,"6,363","2,363","6,071","6,614","4,834","5,347","5,648","5,884","6,644","6,915","7,072","7,305","7,981","8,469","9,025","11,431","12,079","11,197","11,836","11,999","11,688","11,292","11,473","11,672","13,171","11,906","14,107","15,075","17,071","16,866","15,908","16,710","16,629","17,351","24,529","18,838","17,232","16,867","15,367","19,189","16,740","19,916","20,019","20,738","21,369","22,016"
Allowances 1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"3,759","2,923","4,541",-332
Total nondefense 1,"100,199","21,127","136,457","142,591","149,136","166,736","160,515","138,388","143,306","158,061","161,739","148,278","157,804","160,754","171,013","192,758","213,872","232,277","247,189","250,346","238,485","235,773","244,960","257,220","293,529","283,581","332,100","373,956","394,466","422,798","487,684","440,200","449,924","493,752","797,254","550,205","510,579","528,047","539,850","527,507","528,260","542,992","564,626","574,931","584,229","589,535"
Total discretionary budget authority 2 ,"197,766","44,583","246,819","259,940","276,016","311,237","340,959","355,567","388,278","423,645","456,592","437,903","445,764","453,251","471,081","496,704","546,099","531,392","523,297","512,592","501,422","500,959","511,208","529,636","581,839","584,348","663,820","734,780","849,448","908,454","987,504","996,694","1,072,278","1,179,648","1,492,030","1,264,263","1,220,715","1,197,636","1,140,221","1,133,697","1,114,266","1,154,933","1,137,626","1,158,931","1,176,229","1,187,535"
