Type,Category,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Direct Payments for Individuals,700 Veterans benefits and services,574,568,556,565,656,"1,014","3,140","6,161","5,928","6,108","8,610","5,420","5,295","4,453","4,434","4,630","4,889","4,988","5,260","5,338","5,295","5,602","5,892","5,821","5,978","6,044","6,328","7,061","7,360","7,996","8,935","10,010","10,967","12,180","13,526","16,650","18,341","3,997","17,972","18,922","19,795","21,043","22,860","23,969","24,965","25,615","26,243","26,589","27,147","29,520","30,306","29,201","31,397","34,077","35,771","37,454","37,722","36,798","40,104","41,888","43,612","47,841","46,315","53,053","58,395","62,393","71,258","70,678","73,295","84,744","94,663","106,593","123,104","120,243","134,595","144,548","152,991","170,867","172,205","171,837","186,980","195,208"
Direct Payments for Individuals,750 Administration of justice,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,1,1,1,1,1,2,1,4,88,53,128,162,259,326,332,267,244,279,311,316,329,323,325,329,399,384,451,457,495,348,385,402,404,451,518,652,"1,247","6,859",581,586,608,685,482,709,731,694,671,722,"1,125","1,229","2,718",818,824,828
Direct Payments for Individuals,800 General government,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,..........,*,*,*,*,500,500,500,87,10,6,7,35,6,..........,232,146,21,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Direct Payments for Individuals,920 Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Direct Payments for Individuals,Total direct payments for individuals,"1,774","2,104","2,046","1,984","1,822","1,894","5,309","8,560","8,101","8,851","12,192","8,979","9,648","9,454","10,557","12,465","13,485","15,215","18,728","20,332","21,632","24,862","26,311","28,128","29,072","29,527","33,126","38,817","44,152","50,318","56,299","70,083","79,022","90,726","105,891","137,568","161,231","40,569","174,700","187,738","208,059","247,320","289,497","321,718","358,076","366,793","401,304","403,205","420,493","446,524","476,898","513,503","564,614","623,708","668,106","695,732","738,185","767,721","808,024","825,250","833,948","876,647","929,325","1,022,378","1,110,941","1,149,475","1,229,681","1,330,798","1,408,753","1,532,439","1,746,996","1,907,827","1,967,785","1,949,084","2,024,888","2,091,993","2,213,308","2,342,910","2,432,789","2,527,493","2,712,005","2,864,305"
Grants to States for Payments for Individuals,050 National Defense,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,150 International affairs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,300 Natural resources and environment,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,350 Agriculture,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,50,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,400 Transportation,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,"500 Education, training, employment, and social services",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,22,35,6,62,56,62,78,78,57,51,70,76,82,66,68,68,73,60,73,656,940,"1,033",897,871,881,902,925,"1,008","1,184","1,391","1,402","1,465","1,459","1,432","1,484","1,531","1,571","1,595","1,520","1,446","1,459","1,674","1,875","2,017","2,297","3,185","4,171"
Grants to States for Payments for Individuals,550 Health,18,20,22,23,68,82,60,46,33,45,96,152,172,157,133,116,107,129,172,212,201,245,351,433,518,617,"1,154","1,638","2,393","2,975","3,533","4,150","5,617","5,720","6,928","8,378","10,397","2,612","11,508","12,314","14,130","15,558","18,614","18,638","19,921","21,587","24,193","26,567","29,186","32,287","36,358","43,485","55,389","70,964","79,207","85,630","92,949","96,835","98,254","105,066","112,269","123,100","137,047","155,878","169,844","185,894","193,279","192,599","202,986","214,283","264,419","286,495","289,444","265,136","280,509","316,332","349,844","371,381","385,997","405,423","428,008","439,219"
Grants to States for Payments for Individuals,570 Medicare,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,600 Income security,279,334,386,405,440,410,428,726,804,999,"1,214","1,275","1,274","1,439","1,566","1,576","1,619","1,741","2,054","2,294","2,418","2,523","2,756","3,024","3,222","3,290","3,340","3,379","3,940","4,535","5,523","6,672","8,624","8,421","8,175","8,716","10,080","2,582","11,699","12,843","13,788","17,357","20,253","20,910","23,455","24,822","26,364","28,338","29,239","31,037","32,304","35,189","39,198","43,668","47,255","52,408","56,030","54,727","56,687","60,984","65,958","66,285","73,683","78,682","83,832","83,307","87,663","87,127","88,422","93,534","99,237","110,319","108,249","100,046","98,448","97,885","101,517","109,134","112,633","115,486","117,605","119,432"
Grants to States for Payments for Individuals,650 Social security,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,2,3,2,9,16,23,45,28,27,29,22,16,12,9,9,10,10,10
Grants to States for Payments for Individuals,700 Veterans benefits and services,1,1,1,1,1,1,30,359,44,8,6,4,4,4,4,5,6,6,6,6,6,8,7,7,8,8,9,10,13,14,18,19,19,20,26,32,52,13,79,76,86,90,73,62,64,65,91,87,94,106,125,131,138,155,185,197,250,264,271,285,313,422,388,360,403,454,531,588,613,664,779,800,946,"1,053","1,032","1,183","1,216","1,306","1,425","1,449","1,472","1,501"
Grants to States for Payments for Individuals,750 Administration of justice,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,800 General government,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,920 Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Grants to States for Payments for Individuals,Total grants for payments for individuals,298,356,410,430,509,493,518,"1,131",881,"1,052","1,316","1,432","1,450","1,600","1,702","1,698","1,731","1,876","2,232","2,512","2,625","2,775","3,114","3,464","3,748","3,914","4,503","5,028","6,346","7,524","9,074","10,841","14,259","14,161","15,129","17,149","20,563","5,212","23,348","25,288","28,066","33,084","39,019","39,666","43,491","46,544","50,723","55,075","58,585","63,498","68,855","78,878","94,786","114,860","127,303","139,176","150,262","152,723","156,083","167,216","179,442","190,732","212,126","236,105","255,472","271,060","282,940","281,782","293,469","309,988","366,061","399,213","400,261","367,784","381,457","416,875","454,263","483,705","502,081","524,665","550,280","564,333"
Total Payments for Individuals:,050 National Defense,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,44,89,91,44,30,22,21,19,18,52,549,481,432,720,913,"1,034","1,123","1,095","1,134","1,309","1,246","1,328","1,142","1,319","1,278","1,227","1,187","1,152","1,118"
Total Payments for Individuals:,150 International affairs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,46,102,125,138,137,143,145,150,169,212,239,302,280,248,252,273,304,300,362,371,405,402,420,449,502,504,582,642,643,633,606,700,808,626,640,651,657
Total Payments for Individuals:,300 Natural resources and environment,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,5,11,8,7,6,5,2,1,1,1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Total Payments for Individuals:,350 Agriculture,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,7,2,1,..........,..........,..........,1,1,..........,"2,316",166,266,22,2,2,2,2,2,..........,..........,..........,..........
Total Payments for Individuals:,400 Transportation,3,3,4,4,4,5,5,9,11,12,13,16,16,18,18,20,24,25,26,28,29,30,31,32,34,37,41,45,48,53,59,65,71,76,86,105,122,33,140,156,174,207,239,258,292,311,299,336,350,360,386,402,457,461,505,512,547,569,623,647,669,713,770,808,812,862,939,985,"1,076","1,153","1,263","1,287","1,399","1,301","1,441","1,493","1,433","1,734","1,685","1,734","1,806","1,958"
Total Payments for Individuals:,"500 Education, training, employment, and social services",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,45,226,460,570,503,904,"1,067","1,199","1,054","1,604","2,384",595,"2,699","3,059","3,767","5,089","6,166","5,758","6,601","6,990","7,699","7,910","7,331","8,003","9,763","10,297","11,121","10,331","13,818","7,852","14,036","11,947","12,063","11,921","10,621","9,826","8,995","15,943","21,656","24,272","29,867","49,326","28,444","28,370","27,214","47,703","48,387","49,937","45,674","57,197","70,624","39,089","42,006","45,218","46,572","48,090"
Total Payments for Individuals:,550 Health,27,30,33,38,86,102,82,68,58,82,141,202,226,218,198,182,181,218,274,326,320,372,503,594,707,822,"1,403","1,948","2,649","3,307","3,953","4,706","6,188","6,379","7,614","9,393","11,495","2,901","12,797","13,730","15,705","17,633","20,689","21,383","22,737","24,125","26,862","28,625","31,867","35,712","40,180","47,801","60,482","77,094","86,393","93,498","100,390","103,991","107,018","113,447","121,489","133,567","149,025","168,536","188,073","205,671","213,857","214,682","225,857","238,369","290,528","318,304","324,387","299,527","313,322","362,788","417,813","457,201","483,609","525,360","560,585","582,316"
Total Payments for Individuals:,570 Medicare,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"3,172","5,126","6,299","6,784","7,478","8,364","9,040","10,680","14,121","16,942","4,584","20,779","24,275","28,160","33,954","41,267","49,167","55,499","60,951","69,649","74,184","79,913","85,704","94,299","107,410","114,219","129,411","143,147","159,542","177,074","191,265","207,308","210,327","208,470","215,145","236,882","252,674","273,060","295,920","331,280","372,375","426,893","445,830","488,349","510,467","548,466","537,624","567,947","584,999","612,842","672,073","685,515","701,203","774,455","832,049"
Total Payments for Individuals:,600 Income security,"1,450","1,792","1,751","1,657","1,399","1,026","2,250","2,668","2,429","3,086","4,010","3,270","3,574","3,734","4,330","4,993","4,756","5,339","7,350","7,637","7,213","9,423","8,943","9,679","9,844","9,449","9,538","10,089","11,542","12,897","15,468","22,610","27,241","27,814","33,043","49,251","59,669","14,146","59,757","60,198","65,584","84,996","99,007","106,604","122,652","118,901","134,341","123,558","126,804","133,350","140,087","150,316","174,054","201,026","212,696","218,303","224,592","228,126","234,000","237,403","240,810","253,215","268,785","313,507","351,696","331,999","345,076","353,136","363,125","427,299","531,111","619,117","594,475","537,500","532,429","509,830","517,240","543,344","552,771","552,072","573,553","583,384"
Total Payments for Individuals:,650 Social security,16,64,110,149,185,240,321,426,512,607,727,"1,498","1,982","2,627","3,275","4,333","5,361","6,515","8,043","9,510","11,395","12,203","14,050","15,459","16,250","17,081","20,264","21,293","23,299","26,705","29,651","35,132","39,364","48,176","54,990","63,558","72,702","19,458","83,698","92,447","102,594","117,065","137,881","153,917","168,513","176,053","186,432","196,547","205,105","216,808","230,138","246,350","266,482","284,918","301,643","316,676","332,985","346,820","362,058","375,830","386,686","405,867","429,181","451,887","470,193","491,266","518,108","548,889","580,827","611,372","676,903","700,078","724,178","767,098","807,271","844,358","890,266","937,684","991,083","1,050,640","1,114,235","1,181,529"
Total Payments for Individuals:,700 Veterans benefits and services,575,569,558,566,657,"1,015","3,171","6,520","5,972","6,116","8,616","5,425","5,300","4,457","4,437","4,635","4,895","4,994","5,266","5,344","5,301","5,610","5,899","5,829","5,986","6,052","6,337","7,071","7,373","8,010","8,953","10,029","10,986","12,201","13,552","16,683","18,393","4,010","18,050","18,997","19,882","21,134","22,934","24,031","25,030","25,680","26,333","26,676","27,241","29,626","30,431","29,331","31,535","34,231","35,955","37,652","37,972","37,062","40,375","42,173","43,925","48,263","46,703","53,413","58,798","62,847","71,789","71,266","73,908","85,408","95,442","107,393","124,050","121,296","135,627","145,731","154,207","172,173","173,630","173,286","188,452","196,709"
Total Payments for Individuals:,750 Administration of justice,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,1,1,1,1,1,2,1,4,88,53,128,162,259,326,332,267,244,279,311,316,329,323,325,329,399,384,451,457,495,348,385,402,404,451,518,652,"1,247","6,859",581,586,608,685,482,709,731,694,671,722,"1,125","1,229","2,718",818,824,828
Total Payments for Individuals:,800 General government,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,..........,*,*,*,*,500,500,500,87,10,6,7,35,6,..........,232,146,21,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Total Payments for Individuals:,920 Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Total Payments for Individuals:,Total payments for individuals,"2,071","2,460","2,456","2,414","2,331","2,387","5,828","9,691","8,982","9,903","13,508","10,411","11,098","11,054","12,259","14,163","15,216","17,091","20,959","22,844","24,258","27,638","29,426","31,592","32,821","33,441","37,629","43,845","50,498","57,842","65,372","80,925","93,281","104,887","121,020","154,717","181,795","45,781","198,048","213,026","236,125","280,404","328,516","361,384","401,567","413,337","452,028","458,280","479,078","510,022","545,753","592,381","659,399","738,568","795,409","834,908","888,447","920,444","964,107","992,466","1,013,390","1,067,379","1,141,451","1,258,483","1,366,413","1,420,535","1,512,621","1,612,580","1,702,222","1,842,427","2,113,057","2,307,040","2,368,046","2,316,868","2,406,345","2,508,868","2,667,571","2,826,615","2,934,870","3,052,158","3,262,285","3,428,638"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
