Fiscal_Year,Total_Outlays_1,Total_ Discretionary,National_Defense_2_ Discretionary,Nondefense_2_ Discretionary,Total_ Mandatory_and_Net_Interest,Total_ Mandatory,Total_Programmatic,Social_Security_Programmatic,Deposit_Insurance_Programmatic,Means_Tested_Entitlements_3_Programmatic,Other_Programmatic,Undistributed_Offsetting_Receipts_4_ Mandatory,Net_Interest_ Mandatory_and_Net_Interest
1988,"1,064.4",464.4,290.9,173.5,600.0,448.2,492.9,216.8,10.0,78.1,188.0,-44.7,151.8
1989,"1,143.7",488.8,304.0,184.8,654.9,485.9,530.2,230.4,22.0,85.4,192.4,-44.3,169.0
1990,"1,253.0",500.6,300.1,200.4,752.4,568.1,604.8,246.5,57.9,95.7,204.7,-36.7,184.3
1991,"1,324.2",533.3,319.7,213.6,790.9,596.5,635.9,266.8,66.2,117.3,185.6,-39.4,194.4
1992,"1,381.5",533.8,302.6,231.2,847.7,648.4,687.7,285.2,2.6,143.6,256.3,-39.3,199.3
1993,"1,409.4",539.8,292.4,247.3,869.6,670.9,708.3,302.0,-28.0,159.1,275.2,-37.4,198.7
1994,"1,461.8",541.3,282.3,259.1,920.4,717.5,755.3,316.9,-7.6,173.4,272.6,-37.8,202.9
1995,"1,515.7",544.8,273.6,271.2,971.0,738.8,783.3,333.3,-17.9,184.9,283.0,-44.5,232.1
1996,"1,560.5",532.7,266.0,266.8,"1,027.8",786.7,824.3,347.1,-8.4,191.2,294.5,-37.6,241.1
1997,"1,601.1",547.0,271.7,275.4,"1,054.1",810.1,860.1,362.3,-14.4,198.2,314.0,-50.0,244.0
1998,"1,652.5",552.0,270.2,281.7,"1,100.5",859.3,906.5,376.1,-4.4,204.9,329.9,-47.2,241.1
1999,"1,701.8",572.1,275.5,296.6,"1,129.7",900.0,940.4,387.0,-5.3,217.2,341.5,-40.4,229.8
2000,"1,789.0",614.6,295.0,319.7,"1,174.3",951.4,994.0,406.0,-3.1,232.8,358.2,-42.6,222.9
2001,"1,862.8",649.0,306.1,343.0,"1,213.8","1,007.6","1,054.6",429.4,-1.6,248.3,378.5,-47.0,206.2
2002,"2,010.9",734.0,349.0,385.0,"1,276.9","1,106.0","1,153.4",452.1,-1.0,281.0,421.3,-47.4,170.9
2003,"2,159.9",824.3,404.9,419.4,"1,335.6","1,182.5","1,236.9",470.5,-1.4,306.8,461.0,-54.4,153.1
2004,"2,292.8",895.1,454.1,441.0,"1,397.8","1,237.5","1,296.1",491.5,-2.0,328.8,477.7,-58.5,160.2
2005,"2,472.0",968.5,493.6,474.9,"1,503.4","1,319.4","1,384.7",518.7,-1.4,351.1,516.2,-65.2,184.0
2006,"2,655.0","1,016.6",520.0,496.7,"1,638.4","1,411.8","1,480.1",543.9,-1.1,354.5,582.8,-68.2,226.6
2007,"2,728.7","1,041.6",547.9,493.7,"1,687.1","1,450.0","1,532.2",581.4,-1.5,366.7,585.5,-82.2,237.1
2008,"2,982.5","1,134.9",612.4,522.4,"1,847.7","1,594.9","1,681.1",612.1,18.7,426.5,623.8,-86.2,252.8
2009,"3,517.7","1,237.5",656.7,580.8,"2,280.1","2,093.2","2,185.9",677.7,22.5,490.6,995.1,-92.6,186.9
2010,"3,457.1","1,347.2",688.9,658.3,"2,109.9","1,913.7","1,995.8",700.8,-32.1,562.6,764.5,-82.1,196.2
2011,"3,603.1","1,347.1",699.4,647.7,"2,255.9","2,026.0","2,114.4",724.9,-8.7,583.8,814.5,-88.5,230.0
2012,"3,537.0","1,286.1",670.5,615.6,"2,250.9","2,030.5","2,134.0",767.7,6.6,534.0,825.6,-103.5,220.4
2013,"3,454.6","1,202.1",625.8,576.4,"2,252.5","2,031.6","2,124.4",807.8,4.3,563.6,748.8,-92.8,220.9
2014,"3,506.1","1,178.7",596.4,582.2,"2,327.4","2,098.5","2,186.5",844.9,-13.9,601.7,753.8,-88.0,229.0
2015 estimate,"3,758.6","1,146.1",588.6,557.5,"2,610.6","2,381.4","2,517.2",890.8,-7.9,659.3,975.1,-135.8,229.2
2016 estimate,"3,999.5","1,168.2",605.0,563.2,"2,825.8","2,542.7","2,645.8",938.4,-8.5,705.0,"1,010.8",-103.0,283.0
2017 estimate,"4,217.8","1,175.0",593.8,581.2,"3,035.1","2,673.9","2,778.3",991.6,-9.8,735.5,"1,060.9",-104.4,361.3
2018 estimate,"4,423.3","1,168.6",582.4,586.3,"3,246.3","2,822.0","2,921.8","1,051.1",-8.4,779.8,"1,099.2",-99.8,424.2
2019 estimate,"4,652.6","1,172.5",580.9,591.6,"3,471.3","2,987.8","3,088.7","1,114.8",-6.6,824.8,"1,155.8",-100.9,483.5
2020 estimate,"4,886.4","1,182.5",588.5,594.0,"3,694.5","3,150.8","3,254.4","1,182.0",-3.7,849.9,"1,226.1",-103.6,543.8
