Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Department of the Interior,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.9,0.8,0.8,0.8,0.8,0.7,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3
Department of Justice,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.7,0.7,0.8,0.8,1.0,0.9,1.0,1.1,1.0,1.3,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.8,1.0,0.8,0.8,0.8,0.7,0.7
Department of Labor,3.7,3.2,2.9,2.6,2.4,2.3,2.3,2.3,2.5,4.0,4.5,3.9,3.7,5.6,7.1,6.4,5.7,5.2,4.7,5.2,4.6,4.2,4.8,3.0,2.6,2.5,2.4,2.1,2.0,2.1,2.6,3.5,3.2,2.6,2.2,2.1,1.9,1.9,1.9,1.8,2.1,3.2,3.2,2.5,1.9,1.6,1.7,2.0,3.9,5.0,3.7,3.0,2.3,1.6,1.4,1.4,1.4,1.3,1.3,1.2
Department of State,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6
Department of Transportation,3.6,3.7,4.0,4.4,3.8,3.3,3.1,3.1,3.1,3.3,3.1,3.2,2.9,2.8,3.1,3.0,2.9,2.8,2.9,3.1,3.1,2.4,2.3,2.4,2.4,2.5,2.3,2.2,2.1,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.2,2.2,2.3,2.6,2.8,2.4,2.4,2.3,2.3,2.3,2.2,2.1,2.2,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0
Department of the Treasury,7.9,8.6,8.7,9.1,8.7,8.1,8.0,9.0,9.7,9.7,9.3,12.3,13.1,12.6,11.7,10.7,11.7,11.8,12.7,12.8,13.5,14.7,14.3,16.4,17.3,18.0,17.8,18.8,20.1,20.3,20.7,21.1,21.1,20.9,22.9,23.3,23.6,23.5,22.6,21.8,20.8,18.5,17.0,16.4,16.6,17.5,18.0,18.4,19.9,12.9,15.0,13.1,11.6,12.7,13.5,14.5,16.1,17.2,18.2,18.9
Department of Veterans Affairs,5.2,4.9,4.8,4.8,4.4,4.2,3.9,4.2,4.4,4.6,4.6,4.9,5.0,5.0,5.0,4.1,4.4,4.1,3.9,3.6,3.4,3.2,3.1,3.0,2.8,2.7,2.7,2.7,2.6,2.3,2.4,2.5,2.5,2.6,2.5,2.4,2.5,2.5,2.5,2.6,2.4,2.5,2.6,2.6,2.8,2.6,2.7,2.8,2.7,3.1,3.5,3.5,4.0,4.3,4.3,4.5,4.3,4.0,4.1,4.1
Corps of Engineers--Civil Works,0.9,1.0,0.9,1.0,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
Other Defense Civil Programs,0.9,1.0,1.1,1.2,1.2,1.2,1.2,1.4,1.5,1.7,1.7,1.8,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.7,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.8,1.8,1.8,1.7,1.7,1.5,1.6,1.6,1.5,2.2,1.6,1.6,1.6,1.6,1.5,1.3,1.4,1.4
Environmental Protection Agency,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.8,0.8,0.8,1.2,1.1,0.9,1.0,0.9,0.8,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Executive Office of the President,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.1,0.3,0.2,0.1,*,*,*,*,*,*,*,*,*,*,*,*,*
General Services Administration,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,−*,*,*,*,*,0.1,0.1,0.1,0.1,0.1,*,0.1,*,−*,−*,−*,*,*,0.1,*,*,*,0.1,*,−*,*,−*,−*,*,−*,*,*,*,*,*,*,0.1,*,−*,−*,−*,−*,−*,−*,*,*
International Assistance Programs,3.0,2.8,2.7,2.7,2.4,2.1,1.6,1.5,1.4,1.4,1.3,0.9,1.1,1.1,1.0,1.4,0.9,1.1,0.7,1.3,1.2,1.1,1.0,1.3,1.3,1.1,1.0,0.7,0.4,0.8,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5
National Aeronautics and Space Administration,1.2,2.3,3.5,4.3,4.4,3.4,2.7,2.3,1.9,1.6,1.5,1.3,1.2,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
National Science Foundation,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Office of Personnel Management,1.0,1.1,1.1,1.2,1.3,1.2,1.2,1.2,1.4,1.5,1.6,1.9,2.1,2.1,2.2,2.5,2.4,2.4,2.5,2.5,2.7,2.7,2.6,2.7,2.5,2.4,2.7,2.7,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.6,2.5,2.5,2.4,2.4,2.1,2.2,2.1,2.0,2.1,2.2,2.4,2.5,2.5,2.4,2.3,2.2,2.2,2.2
Small Business Administration,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.5,0.3,0.2,0.2,0.1,0.2,0.6,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,−*,−*,*,0.1,*,*,0.1,0.1,*,0.1,*,−*,*,−*,−*,*,0.1,0.2,0.1,*,*,*,0.1,0.2,0.2,0.1,*,*,−*,*,*,*,*,*
Social Security Administration (On-Budget),..........,..........,..........,..........,..........,0.1,0.1,0.2,0.2,0.2,0.2,0.2,1.0,1.6,1.5,1.3,1.5,1.4,1.2,1.2,1.2,1.1,3.7,2.1,1.8,2.0,1.6,1.7,1.6,1.4,1.4,1.8,2.0,2.1,2.0,2.0,2.1,2.3,2.4,2.5,2.1,2.3,2.1,2.1,2.2,2.0,2.0,2.0,2.2,2.0,4.3,5.3,3.2,2.3,2.4,2.5,2.4,2.3,2.4,2.4
Social Security Administration (Off-Budget),13.4,14.2,14.0,14.8,15.4,13.7,13.3,14.6,15.2,16.8,17.2,19.8,20.6,19.3,19.7,20.6,20.6,20.3,20.5,19.9,20.5,20.8,18.6,20.1,19.4,19.3,20.2,20.2,19.9,19.6,20.1,20.4,21.2,21.5,21.8,22.0,22.4,22.4,22.3,22.1,22.6,22.0,21.4,21.0,20.5,20.1,20.8,20.1,18.4,19.8,17.5,17.9,21.9,23.5,23.0,22.7,22.7,22.9,23.1,23.3
Other Independent Agencies (On-Budget),2.1,1.5,1.0,1.5,1.9,2.3,2.4,1.6,2.2,2.5,2.2,2.2,2.6,2.6,2.3,3.4,2.3,2.0,2.0,2.4,1.7,1.2,1.1,1.0,0.7,0.9,1.0,1.8,2.7,5.5,5.8,1.0,-1.2,0.2,-0.4,0.2,-0.2,0.7,0.4,0.5,0.6,0.8,0.7,0.4,0.7,0.5,0.5,1.6,1.4,-0.2,0.5,0.8,0.8,0.3,0.5,0.5,0.5,0.4,0.5,0.5
Other Independent Agencies (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,0.2,0.1,0.3,0.3,0.3,-0.8,−*,-0.1,-0.2,-0.1,*,-0.1,*,*,*,*,0.1,0.2,−*,0.1,0.1,*,0.1,0.1,-0.1,−*,−*,*,0.1,0.1,0.1,−*,-0.2,-0.2,-0.1,−*,0.2,0.1,*,0.1,*,0.1,-0.1,-0.1,−*,−*,*,*,*,*
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,-0.6,0.5,1.5,0.8,0.8
Undistributed Offsetting Receipts,-6.3,-6.5,-6.2,-6.5,-6.3,-6.1,-6.0,-6.0,-6.4,-7.1,-6.4,-7.7,-8.7,-6.4,-6.0,-4.7,-5.6,-5.3,-5.4,-5.4,-6.2,-5.7,-6.3,-6.1,-6.2,-6.6,-7.2,-7.4,-7.8,-7.9,-8.3,-8.5,-8.5,-8.4,-9.1,-8.7,-9.7,-9.7,-9.3,-9.7,-10.3,-10.0,-9.7,-9.3,-9.2,-8.9,-9.5,-9.3,-7.8,-7.7,-7.7,-6.5,-7.2,-7.0,-7.6,-6.2,-5.9,-5.5,-5.4,-5.2
(On-budget),-5.5,-5.8,-5.4,-5.7,-5.5,-5.3,-5.2,-5.1,-5.3,-5.8,-5.2,-6.5,-7.4,-5.3,-5.0,-4.3,-4.7,-4.5,-4.8,-4.8,-5.6,-5.2,-5.9,-5.5,-5.5,-5.8,-6.3,-6.3,-6.4,-6.2,-6.3,-6.3,-6.1,-6.0,-6.5,-5.9,-6.7,-6.5,-5.9,-5.9,-6.1,-5.7,-5.4,-5.0,-5.0,-4.8,-5.2,-5.1,-4.0,-3.9,-4.0,-2.9,-3.7,-3.7,-4.6,-3.5,-3.4,-3.2,-3.1,-3.1
(Off-budget),-0.8,-0.7,-0.7,-0.8,-0.7,-0.8,-0.8,-0.9,-1.1,-1.2,-1.2,-1.2,-1.2,-1.1,-1.0,-0.4,-0.9,-0.8,-0.7,-0.6,-0.5,-0.5,-0.4,-0.6,-0.7,-0.7,-0.9,-1.1,-1.4,-1.7,-2.0,-2.2,-2.4,-2.4,-2.6,-2.7,-3.0,-3.2,-3.5,-3.8,-4.1,-4.3,-4.3,-4.3,-4.2,-4.1,-4.3,-4.3,-3.8,-3.9,-3.6,-3.6,-3.5,-3.3,-3.0,-2.7,-2.5,-2.4,-2.3,-2.1
Total outlays,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
