Fiscal_Year,Total_Investments_in_Physical_Capital,Total_Construction_and_Rehabilitation_of_Physical_Assets,Total_ Water_and_Power_Projects,Corps_of_Engineers_ Water_and_Power_Projects,Bureau_of_Reclamation_ Water_and_Power_Projects,Bonneville_and_Other_Power_Marketing_Agencies_ Water_and_Power_Projects,Tennessee_Valley_Authority_ Water_and_Power_Projects,Nuclear_and_Other,Other_Investments_in_Physical_Capital,Acquisition_of_Major_Equipment
1999,"20,825","13,559","3,748","2,389",301,156,793,109,"9,811","7,266"
2000,"25,488","16,445","4,729","3,104",364,151,997,113,"11,716","9,043"
2001,"27,765","17,885","5,912","3,744",636,164,"1,269",99,"11,973","9,880"
2002,"29,527","18,264","5,227","3,233",451,135,"1,322",86,"13,037","11,263"
2003,"29,515","18,046","4,788","2,568",488,77,"1,605",50,"13,258","11,469"
2004,"27,396","14,693","4,346","2,238",522,77,"1,451",58,"10,347","12,703"
2005,"27,349","15,316","4,056","2,389",260,74,"1,221",112,"11,260","12,033"
2006,"29,044","16,306","4,515","2,500",515,76,"1,247",177,"11,791","12,738"
2007,"30,835","16,618","4,649","2,613",569,107,"1,195",165,"11,969","14,217"
2008,"34,776","19,203","5,101","2,330",478,104,"1,996",193,"14,102","15,573"
2009,"46,893","29,613","6,610","2,816",690,101,"1,789","1,214","23,003","17,280"
2010,"48,065","31,650","10,722","4,437",746,189,"2,015","3,335","20,928","16,415"
2011,"49,071","32,472","13,896","4,583",538,512,"2,554","5,709","18,576","16,599"
2012,"44,396","28,420","13,745","3,298",850,416,"2,028","7,153","14,675","15,976"
2013,"46,136","30,294","11,819","2,551",509,680,"2,051","6,028","18,475","15,842"
2014,"37,496","21,725","9,958","2,632",573,674,"2,496","3,583","11,767","15,771"
2015 estimate,"43,207","25,565","10,151","3,141",769,642,"3,336","2,263","15,414","17,642"
2016 estimate,"39,801","21,210","8,598","3,167",603,"1,105","2,287","1,436","12,612","18,591"
