Fiscal_Year,Total_Government_In_Billions_of_Current_Dollars,Total_Federal_Government,On-Budget_Federal_Government,Off-Budget_Federal_Government,State_and_Local_NIPA_Basis_In_Billions_of_Current_Dollars,Total_Government_ As_Percentages_of_GDP,Total_Federal_ As_Percentages_of_GDP,State_and_Local_ As_Percentages_of_GDP
1969,-13.5,3.2,-0.5,3.7,-16.7,-1.4,0.3,-1.7
1970,-16.0,-2.8,-8.7,5.9,-13.2,-1.5,-0.3,-1.3
1971,-42.3,-23.0,-26.1,3.0,-19.3,-3.8,-2.1,-1.7
1972,-37.3,-23.4,-26.1,2.7,-13.9,-3.1,-1.9,-1.1
1973,-23.8,-14.9,-15.2,0.3,-8.9,-1.8,-1.1,-0.7
1974,-20.6,-6.1,-7.2,1.1,-14.5,-1.4,-0.4,-1.0
1975,-79.1,-53.2,-54.1,0.9,-25.9,-4.9,-3.3,-1.6
1976,-99.9,-73.7,-69.4,-4.3,-26.2,-5.6,-4.1,-1.5
TQ,-25.6,-14.7,-14.1,-0.7,-10.8,-5.4,-3.1,-2.3
1977,-67.0,-53.7,-49.9,-3.7,-13.3,-3.3,-2.6,-0.7
1978,-67.4,-59.2,-55.4,-3.8,-8.2,-3.0,-2.6,-0.4
1979,-60.5,-40.7,-39.6,-1.1,-19.8,-2.4,-1.6,-0.8
1980,-101.1,-73.8,-73.1,-0.7,-27.3,-3.6,-2.6,-1.0
1981,-104.6,-79.0,-73.9,-5.1,-25.6,-3.3,-2.5,-0.8
1982,-156.7,-128.0,-120.6,-7.4,-28.7,-4.7,-3.9,-0.9
1983,-236.5,-207.8,-207.7,-0.1,-28.7,-6.7,-5.9,-0.8
1984,-197.7,-185.4,-185.3,-0.1,-12.3,-5.0,-4.7,-0.3
1985,-232.4,-212.3,-221.5,9.2,-20.1,-5.4,-5.0,-0.5
1986,-247.8,-221.2,-237.9,16.7,-26.5,-5.5,-4.9,-0.6
1987,-182.4,-149.7,-168.4,18.6,-32.7,-3.8,-3.1,-0.7
1988,-189.3,-155.2,-192.3,37.1,-34.2,-3.7,-3.0,-0.7
1989,-197.9,-152.6,-205.4,52.8,-45.2,-3.6,-2.7,-0.8
1990,-291.6,-221.0,-277.6,56.6,-70.6,-4.9,-3.7,-1.2
1991,-359.8,-269.2,-321.4,52.2,-90.5,-5.9,-4.4,-1.5
1992,-400.0,-290.3,-340.4,50.1,-109.7,-6.2,-4.5,-1.7
1993,-357.6,-255.1,-300.4,45.3,-102.6,-5.3,-3.8,-1.5
1994,-296.4,-203.2,-258.8,55.7,-93.2,-4.1,-2.8,-1.3
1995,-270.3,-164.0,-226.4,62.4,-106.3,-3.6,-2.2,-1.4
1996,-197.6,-107.4,-174.0,66.6,-90.1,-2.5,-1.3,-1.1
1997,-112.5,-21.9,-103.2,81.4,-90.6,-1.3,-0.3,-1.1
1998,-10.0,69.3,-29.9,99.2,-79.2,-0.1,0.8,-0.9
1999,32.5,125.6,1.9,123.7,-93.1,0.3,1.3,-1.0
2000,132.0,236.2,86.4,149.8,-104.3,1.3,2.3,-1.0
2001,-38.4,128.2,-32.4,160.7,-166.6,-0.4,1.2,-1.6
2002,-409.3,-157.8,-317.4,159.7,-251.6,-3.8,-1.5,-2.3
2003,-656.1,-377.6,-538.4,160.8,-278.5,-5.8,-3.3,-2.5
2004,-666.3,-412.7,-568.0,155.2,-253.6,-5.5,-3.4,-2.1
2005,-529.7,-318.3,-493.6,175.3,-211.3,-4.1,-2.5,-1.6
2006,-437.2,-248.2,-434.5,186.3,-189.0,-3.2,-1.8,-1.4
2007,-385.8,-160.7,-342.2,181.5,-225.1,-2.7,-1.1,-1.6
2008,-762.2,-458.6,-641.8,183.3,-303.7,-5.2,-3.1,-2.1
2009,"-1,846.5","-1,412.7","-1,549.7",137.0,-433.8,-12.8,-9.8,-3.0
2010,"-1,693.7","-1,294.4","-1,371.4",77.0,-399.3,-11.4,-8.7,-2.7
2011,"-1,639.6","-1,299.6","-1,366.8",67.2,-340.0,-10.7,-8.5,-2.2
2012,"-1,427.1","-1,087.0","-1,148.9",61.9,-340.1,-8.9,-6.8,-2.1
2013,-998.9,-679.5,-719.0,39.5,-319.4,-6.0,-4.1,-1.9
2014,-805.7,-484.6,-514.1,29.5,-321.1,-4.7,-2.8,-1.9
