Fiscal_Year,Total_As_Percentages_of_Total_Outlays,Total_Direct_Federal,National_Defense_Direct_Federal,Nondefense_Direct_Federal,Grants_As_Percentages_of_Total_Outlays,Total_As_Percentages_of_GDP,Total_Direct_Federal,National_Defense_Direct_Federal,Nondefense_Direct_Federal,Grants_As_Percentages_of_GDP
1978,10.5,6.5,5.1,1.5,4.0,2.1,1.3,1.0,0.3,0.8
1979,11.4,7.3,5.7,1.6,4.1,2.2,1.4,1.1,0.3,0.8
1980,10.7,6.9,5.5,1.4,3.8,2.3,1.4,1.2,0.3,0.8
1981,10.3,7.1,5.8,1.3,3.3,2.2,1.5,1.2,0.3,0.7
1982,10.3,7.6,6.4,1.1,2.8,2.3,1.7,1.4,0.3,0.6
1983,10.9,8.3,7.3,1.0,2.5,2.5,1.9,1.7,0.2,0.6
1984,11.8,9.2,8.0,1.2,2.7,2.6,2.0,1.7,0.3,0.6
1985,12.1,9.5,8.2,1.3,2.6,2.7,2.1,1.8,0.3,0.6
1986,12.4,9.7,8.5,1.2,2.7,2.7,2.1,1.9,0.3,0.6
1987,12.6,10.2,8.9,1.3,2.4,2.6,2.1,1.9,0.3,0.5
1988,11.8,9.5,8.1,1.4,2.3,2.4,2.0,1.7,0.3,0.5
1989,11.4,9.2,7.9,1.3,2.2,2.3,1.9,1.6,0.3,0.5
1990,10.6,8.4,7.2,1.2,2.2,2.2,1.8,1.5,0.3,0.5
1991,10.2,8.0,6.7,1.3,2.1,2.2,1.7,1.5,0.3,0.5
1992,9.5,7.4,6.0,1.5,2.1,2.1,1.6,1.3,0.3,0.5
1993,9.0,6.8,5.4,1.4,2.2,1.9,1.4,1.1,0.3,0.5
1994,8.2,5.7,4.6,1.2,2.4,1.7,1.2,0.9,0.2,0.5
1995,7.8,5.2,3.9,1.3,2.6,1.6,1.0,0.8,0.3,0.5
1996,7.4,4.9,3.5,1.3,2.6,1.5,0.9,0.7,0.3,0.5
1997,7.1,4.5,3.3,1.2,2.6,1.3,0.9,0.6,0.2,0.5
1998,6.6,4.2,3.2,0.9,2.5,1.2,0.8,0.6,0.2,0.5
1999,7.0,4.4,3.2,1.2,2.6,1.2,0.8,0.6,0.2,0.5
2000,7.3,4.6,3.1,1.4,2.7,1.3,0.8,0.6,0.3,0.5
2001,7.6,4.8,3.3,1.5,2.9,1.3,0.8,0.6,0.3,0.5
2002,7.8,4.9,3.4,1.5,2.9,1.4,0.9,0.6,0.3,0.5
2003,7.6,4.8,3.5,1.4,2.8,1.4,0.9,0.7,0.3,0.5
2004,7.4,4.8,3.6,1.2,2.6,1.4,0.9,0.7,0.2,0.5
2005,7.2,4.7,3.6,1.1,2.5,1.4,0.9,0.7,0.2,0.5
2006,7.2,4.8,3.7,1.1,2.4,1.4,0.9,0.7,0.2,0.5
2007,7.7,5.1,4.0,1.1,2.6,1.5,1.0,0.8,0.2,0.5
2008,7.8,5.4,4.2,1.2,2.4,1.6,1.1,0.9,0.2,0.5
2009,7.4,5.3,4.0,1.3,2.1,1.8,1.3,1.0,0.3,0.5
2010,8.3,5.6,4.3,1.4,2.7,1.9,1.3,1.0,0.3,0.6
2011,8.0,5.3,3.9,1.4,2.7,1.9,1.2,0.9,0.3,0.6
2012,7.6,5.2,3.9,1.3,2.4,1.7,1.1,0.9,0.3,0.5
2013,7.3,5.0,3.7,1.3,2.3,1.5,1.0,0.8,0.3,0.5
2014,6.7,4.4,3.3,1.1,2.3,1.4,0.9,0.7,0.2,0.5
2015 estimate,6.4,4.2,3.1,1.1,2.2,1.3,0.9,0.6,0.2,0.5
2016 estimate,5.9,3.8,2.8,1.0,2.1,1.3,0.8,0.6,0.2,0.4
