Department_or_other_unit,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Department of State,0.6,1.0,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.2,1.3,1.1,1.1,1.1,1.1,1.4,1.3,1.2,1.3,1.1,1.3,1.4,1.5,1.5,1.9,1.8,2.3,2.1,2.4,2.5,2.4,2.5,2.5,2.3,2.3,2.3,2.3
Department of Transportation,2.3,1.8,1.7,1.9,2.6,2.7,3.3,3.1,2.3,1.9,1.9,1.7,1.7,1.7,1.7,2.0,1.9,2.1,2.0,2.2,1.6,1.9,2.0,1.8,1.8,1.8,2.2,2.1,1.6,1.5,1.6,1.8,1.5,1.4,4.6,1.7,1.4,1.6,2.6,1.6,1.2,1.2,1.3,1.3,1.3,1.3
Department of the Treasury,2.2,4.3,1.5,1.7,1.1,5.2,0.6,0.9,0.9,0.9,1.0,1.0,1.0,1.3,1.2,1.2,1.2,1.4,1.5,1.6,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.4,1.3,1.2,1.1,1.1,1.1,1.0,0.9,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.4,1.4
Department of Veterans Affairs,2.5,2.7,2.3,2.4,2.4,2.3,2.2,2.4,2.4,2.3,2.4,2.4,2.5,2.6,2.6,2.6,2.6,2.9,3.1,3.3,3.5,3.5,3.7,3.6,3.3,3.6,3.4,3.3,3.1,3.2,3.3,3.4,3.6,3.7,3.3,4.2,4.6,4.9,5.4,5.6,5.8,6.1,6.6,6.6,6.6,6.7
Corps of Engineers--Civil Works,1.1,1.5,1.0,1.1,1.0,1.0,0.9,0.8,0.9,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.6,1.2,0.7,0.8,1.1,0.5,0.4,0.6,0.9,0.5,0.5,0.4,0.4,0.4,0.4,0.4
Other Defense Civil Programs,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Environmental Protection Agency,0.4,0.4,1.1,2.1,2.0,1.5,0.9,1.0,1.0,1.0,1.0,0.8,1.2,1.1,1.1,1.1,1.1,1.3,1.3,1.3,1.2,1.3,1.3,1.4,1.3,1.3,1.2,1.1,1.0,0.9,0.8,0.8,0.7,0.6,1.0,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8
Executive Office of the President,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.1,*,0.6,*,0.3,2.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
General Services Administration,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,*,*,*,0.4,0.4,0.1,0.1,0.1,*,*,0.1,−*,0.1,−*,*,*,0.2,*,*,0.1,*,*,0.4,*,-0.1,-0.1,-0.1,0.2,−*,0.1,*,*,*,*
International Assistance Programs,3.0,2.1,2.8,3.2,3.8,3.1,4.0,3.0,3.1,4.9,4.0,3.4,3.1,2.8,2.6,2.7,2.6,2.4,4.7,2.2,2.4,2.1,2.1,2.1,5.3,2.3,1.9,1.9,2.2,1.8,1.8,1.9,1.9,1.6,1.6,2.0,1.8,2.0,2.0,1.9,2.1,2.1,1.8,1.8,1.8,1.8
National Aeronautics and Space Administration,1.8,2.1,1.6,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.7,1.8,2.5,2.0,2.3,2.5,2.6,2.7,2.7,2.8,2.8,2.8,2.7,2.6,2.3,2.3,2.1,2.0,1.8,1.7,1.6,1.7,1.5,1.5,1.3,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7
National Science Foundation,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7
Office of Personnel Management,0.1,0.1,0.1,0.1,0.1,0.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Small Business Administration,0.3,0.1,0.4,1.4,0.8,0.7,0.4,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.4,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Social Security Administration (On-Budget),0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Social Security Administration (Off-Budget),0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5
Other Independent Agencies (On-Budget),2.8,6.1,2.3,2.4,2.5,2.6,2.0,1.3,1.3,1.3,1.2,1.1,1.1,1.0,1.2,1.2,1.1,1.2,1.2,1.3,1.4,1.2,1.2,1.2,1.1,1.0,1.0,1.0,0.9,0.9,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Other Independent Agencies (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,0.3,0.3,0.4,*
