Fiscal_Year,Receipts_In_Current_Dollars,Outlays_In_Current_Dollars,Surplus_or_Deficit_In_Current_Dollars,Receipts_In_Constant_Dollars,Outlays_In_Constant_Dollars,Surplus_or_Deficit_In_Constant_Dollars,,Receipts_As_Percentages_of_GDP,Outlays_As_Percentages_of_GDP,Surplus_or_Deficit_As_Percentages_of_GDP
1995,"1,351.8","1,515.7",-164.0,"1,850.0","2,074.4",-224.4,0.7307,17.8,20.0,-2.2
1996,"1,453.1","1,560.5",-107.4,"1,947.8","2,091.8",-144.0,0.7460,18.2,19.6,-1.3
1997,"1,579.2","1,601.1",-21.9,"2,074.7","2,103.4",-28.7,0.7612,18.6,18.9,-0.3
1998,"1,721.7","1,652.5",69.3,"2,241.5","2,151.4",90.2,0.7681,19.2,18.5,0.8
1999,"1,827.5","1,701.8",125.6,"2,349.5","2,188.0",161.5,0.7778,19.2,17.9,1.3
2000,"2,025.2","1,789.0",236.2,"2,540.7","2,244.3",296.4,0.7971,20.0,17.6,2.3
2001,"1,991.1","1,862.8",128.2,"2,432.9","2,276.2",156.7,0.8184,18.8,17.6,1.2
2002,"1,853.1","2,010.9",-157.8,"2,227.3","2,416.9",-189.6,0.8320,17.0,18.5,-1.5
2003,"1,782.3","2,159.9",-377.6,"2,083.4","2,524.7",-441.4,0.8555,15.7,19.1,-3.3
2004,"1,880.1","2,292.8",-412.7,"2,141.6","2,611.7",-470.1,0.8779,15.6,19.0,-3.4
2005,"2,153.6","2,472.0",-318.3,"2,371.0","2,721.5",-350.5,0.9083,16.7,19.2,-2.5
2006,"2,406.9","2,655.0",-248.2,"2,561.6","2,825.7",-264.1,0.9396,17.6,19.4,-1.8
2007,"2,568.0","2,728.7",-160.7,"2,662.8","2,829.4",-166.6,0.9644,17.9,19.1,-1.1
2008,"2,524.0","2,982.5",-458.6,"2,528.8","2,988.2",-459.4,0.9981,17.1,20.2,-3.1
2009,"2,105.0","3,517.7","-1,412.7","2,105.0","3,517.7","-1,412.7",1.0000,14.6,24.4,-9.8
2010,"2,162.7","3,457.1","-1,294.4","2,137.3","3,416.4","-1,279.2",1.0119,14.6,23.4,-8.7
2011,"2,303.5","3,603.1","-1,299.6","2,232.5","3,492.0","-1,259.5",1.0318,15.0,23.4,-8.5
2012,"2,450.0","3,537.0","-1,087.0","2,330.7","3,364.7","-1,034.0",1.0512,15.3,22.1,-6.8
2013,"2,775.1","3,454.6",-679.5,"2,603.5","3,241.1",-637.5,1.0659,16.7,20.8,-4.1
2014,"3,021.5","3,506.1",-484.6,"2,791.2","3,238.9",-447.7,1.0825,17.5,20.3,-2.8
2015 estimate,"3,176.1","3,758.6",-582.5,"2,895.2","3,426.2",-531.0,1.0970,17.7,20.9,-3.2
2016 estimate,"3,525.2","3,999.5",-474.3,"3,154.8","3,579.3",-424.5,1.1174,18.7,21.3,-2.5
2017 estimate,"3,755.0","4,217.8",-462.8,"3,292.7","3,698.5",-405.8,1.1404,19.1,21.4,-2.3
2018 estimate,"3,944.4","4,423.3",-478.9,"3,384.9","3,795.8",-411.0,1.1653,19.1,21.5,-2.3
2019 estimate,"4,135.0","4,652.6",-517.7,"3,468.6","3,902.9",-434.2,1.1921,19.2,21.6,-2.4
2020 estimate,"4,332.2","4,886.4",-554.1,"3,554.2","4,008.8",-454.6,1.2189,19.3,21.7,-2.5
