TYPE,Area,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015 estimate,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate
Social Insurance and Retirement Receipts,Total,45,57,89,229,272,291,282,259,239,330,358,377,418,423,455,431,571,642,682,770,768,857,875,946,"1,007","1,081","1,129","1,221","1,354","1,451","1,765","1,952","2,097","2,187","2,347","2,565","2,814",720,"2,974","3,237","3,494","3,719","3,984","4,212","4,429","4,580","4,759","4,742","4,715","4,658","4,546","4,522","4,568","4,788","4,805","4,661","4,550","4,469","4,418","4,333","4,473","4,761","4,713","4,594","4,631","4,594","4,459","4,358","4,258","4,169","4,143","4,097","4,035","3,740","3,564","3,472","3,660","3,754","4,203","4,462","4,751","5,076"
Social Insurance and Retirement Receipts,"Total, Social Insurance and Retirement Receipts 1","1,785","1,940","2,452","3,044","3,473","3,451","3,115","3,422","3,751","3,781","4,338","5,674","6,445","6,820","7,208","7,862","9,320","9,997","11,239","11,722","14,683","16,439","17,046","19,804","21,963","22,242","25,546","32,619","33,923","39,015","44,362","47,325","52,574","63,115","75,071","84,534","90,769","25,219","106,485","120,967","138,939","157,803","182,720","201,498","208,994","239,376","265,163","283,901","303,318","334,335","359,416","380,047","396,015","413,688","428,299","461,475","484,473","509,414","539,371","571,831","611,833","652,852","693,967","700,760","712,978","733,407","794,125","837,821","869,607","900,155","890,917","864,814","818,792","845,314","947,820","1,023,458","1,065,012","1,111,926","1,173,288","1,228,575","1,280,398","1,332,212"
Excise Taxes,Alcohol,623,818,"1,046","1,422","1,604","2,275","2,490","2,429","2,217","2,168","2,180","2,508","2,515","2,723","2,738","2,689","2,866","2,915","2,882","2,938","3,127","3,146","3,268","3,366","3,499","3,689","3,720","3,980","4,189","4,447","4,646","4,696","5,004","5,040","5,248","5,238","5,318","1,279","5,295","5,492","5,531","5,601","5,606","5,382","5,557","5,315","5,562","5,828","5,971","5,709","5,661","5,695","7,364","8,011","7,583","7,539","7,216","7,220","7,257","7,215","7,386","8,140","7,624","7,764","7,893","8,105","8,111","8,484","8,648","9,283","9,903","9,229","9,294","9,765","9,253","9,815","9,589","10,030","10,332","10,547","10,764","10,989"
Excise Taxes,Tobacco,606,691,779,913,986,929,"1,156","1,231","1,297","1,319","1,326","1,378","1,562","1,652","1,578","1,568","1,607","1,669","1,728","1,798","1,927","1,986","2,022","2,075","2,048","2,142","2,066","2,077","2,121","2,136","2,093","2,205","2,205","2,274","2,435","2,312","2,484",622,"2,393","2,444","2,492","2,443","2,581","2,537","4,136","4,660","4,779","4,589","4,763","4,616","4,378","4,081","4,706","5,049","5,875","5,691","5,878","5,795","5,873","5,657","5,400","7,221","7,396","8,274","7,934","7,926","7,920","7,710","7,556","7,639","12,841","17,160","16,685","16,351","15,083","15,562","15,257","26,313","29,344","29,019","28,903","28,291"
Excise Taxes,Telephone,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"2,035","2,147","2,339","2,522","2,610","2,791","2,995","3,094","3,146","3,320","3,526","3,794","4,234","4,543","4,910","5,185","5,670","5,769","5,829","5,788","5,997","6,047","4,897","-2,125","1,048","1,115",993,930,757,733,611,586,131,..........,..........,..........,..........
Excise Taxes,Transportation fuels,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"2,780","3,512","3,340","9,402","8,491","7,468","7,107",589,849,819,"1,150",814,920,"1,381",-770,"-2,386","-3,291","-5,127","-10,324","-11,030","-8,644","-5,751","-2,681","-3,509","-3,398","-1,015","-1,023","-1,026","-1,027","-1,027"
Excise Taxes,High cost health insurance coverage,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,736,"2,638","3,412"
Excise Taxes,Health insurance providers,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"7,987","11,125","11,299","13,898","14,300","15,076","15,873"
Excise Taxes,Indoor tanning services,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,99,102,92,92,95,99,103,106,109,112
Excise Taxes,Medical devices,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,343","1,977","2,068","2,097","2,168","2,310","2,445","2,603"
Excise Taxes,Other,748,"1,043","1,573","1,760","2,169","3,061","3,352","3,551","3,842","4,015","4,044","4,761","4,775","5,501","5,630","4,874","5,455","4,472","4,002","3,767","4,084","3,931","4,295","4,474","4,664","5,081","3,358","3,221","3,391","4,002","3,613","3,609","2,297","2,522","2,060","1,850","2,810",619,"1,960","2,118","1,785",585,"2,689","2,344","2,258","1,363",261,"1,046","1,588","3,250",317,"2,460",-231,"1,481","3,550","4,307",946,410,"2,921","3,196",368,717,"2,315","1,336","1,269","1,157","1,239","3,755",288,"2,883",319,"1,904",540,-865,"4,507","1,705","2,439","2,389","2,401","2,444","2,507","2,577"
Excise Taxes,Total,"1,977","2,552","3,399","4,096","4,759","6,265","6,998","7,211","7,356","7,502","7,550","8,648","8,852","9,877","9,945","9,131","9,929","9,055","8,612","8,504","9,137","9,063","9,585","9,915","10,211","10,911","9,145","9,278","9,700","10,585","10,352","10,510","9,506","9,836","9,743","9,400","10,612","2,520","9,648","10,054","9,808","15,563","34,128","28,670","24,086","22,279","19,097","16,053","14,844","16,185","13,147","15,591","18,275","21,836","24,522","31,226","26,941","25,447","27,831","21,665","19,293","22,692","24,286","24,017","23,804","24,566","22,547","22,460","11,076","15,726","13,854","18,256","18,904","20,359","28,330","34,240","37,761","51,343","57,223","58,436","61,415","62,830"
Excise Taxes,Trust funds:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excise Taxes,Transportation,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,479","2,026","2,074","2,539","2,798","2,949","3,279","3,519","3,659","3,917","4,441","4,379","4,637","5,354","5,542","5,322","5,665","6,260","6,188","5,413","1,676","6,709","6,904","7,189","6,620","6,305","6,744","8,297","11,743","13,015","13,363","13,032","14,114","15,628","13,867","16,979","16,733","18,039","16,668","22,611","24,651","23,867","26,628","39,299","34,972","31,469","32,603","33,726","34,711","37,892","38,542","39,361","36,385","34,961","34,992","36,906","40,169","36,462","39,049","39,261","39,555","39,804","39,882","39,888","39,951"
Excise Taxes,Airport and airway,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,563,649,758,840,962,938,277,"1,191","1,326","1,526","1,874",21,133,"2,165","2,499","2,851","2,736","3,060","3,189","3,664","3,700","4,910","4,645","3,262","5,189","5,534","2,369","4,007","8,111","10,391","9,739","9,191","9,031","8,684","9,174","10,314","10,426","11,468","11,992","10,569","10,612","11,532","12,532","12,854","13,513","13,138","14,699","15,391","15,987","16,407","17,001"
Excise Taxes,Black lung disability,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,92,222,272,237,491,494,518,581,547,572,594,563,665,652,626,634,567,608,614,614,636,596,518,522,567,506,566,610,607,639,653,645,595,623,629,531,579,568,551,558,577,363,270
Excise Taxes,Inland waterway,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,20,30,29,39,40,40,48,48,47,63,60,70,79,88,103,108,96,91,104,101,113,95,90,91,91,81,91,88,76,74,84,90,75,82,97,110,110,109,108,108
Excise Taxes,Hazardous substance superfund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,128,244,230,261,273,15,635,698,883,818,810,818,826,807,867,313,71,..........,11,2,2,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,787,"1,055","1,064","1,073","1,082"
Excise Taxes,Post-closure liability (hazardous waste),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,9,7,−*,-1,-9,-1,-1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Excise Taxes,Oil spill liability,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,143,254,295,229,48,211,34,1,..........,..........,182,..........,..........,..........,..........,..........,54,452,333,447,476,501,497,410,436,501,643,750,770,772,779
Excise Taxes,Aquatic resources,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,12,126,165,194,208,187,218,260,271,276,301,306,315,316,290,374,342,358,386,392,416,429,519,581,595,576,580,593,614,539,569,534,537,541,545,549,553
Excise Taxes,Leaking underground storage tank,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,73,125,168,122,123,157,153,152,165,48,-2,136,216,184,179,181,184,189,189,197,226,171,169,169,152,170,162,173,205,208,207,206,204,204
Excise Taxes,Tobacco Assessments,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,899,891,934,"1,140",951,937,932,939,947,"1,140",278,..........,..........,..........,..........,..........
Excise Taxes,Vaccine injury compensation,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,74,99,159,81,118,38,179,138,115,123,116,130,133,112,109,138,142,123,184,241,251,235,218,278,254,204,243,242,250,255,262,270,277
Excise Taxes,Supplementary medical insurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,876","2,808","3,216","3,209","2,940","3,000","3,980","4,098","2,826","2,800"
Excise Taxes,Patient-centered outcomes research,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,277,135,373,401,422,443,471,499
Excise Taxes,Total,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"1,479","2,026","2,074","2,539","2,798","2,949","3,279","3,519","3,659","3,917","4,441","4,379","4,637","5,354","6,104","5,971","6,424","7,100","7,151","6,351","1,953","7,900","8,323","8,937","8,766","6,711","7,641","11,214","15,082","16,894","16,866","17,613","19,042","21,239","19,754","24,127","23,733","23,535","23,999","30,543","28,567","29,093","36,008","51,121","46,173","41,946","42,972","43,720","45,289","50,547","51,501","53,993","51,608","48,629","48,653","53,477","58,702","55,677","59,128","58,137","60,741","63,073","63,943","62,931","63,524"
Excise Taxes,"Total, Excise Taxes","1,977","2,552","3,399","4,096","4,759","6,265","6,998","7,211","7,356","7,502","7,550","8,648","8,852","9,877","9,945","9,131","9,929","10,534","10,638","10,578","11,676","11,860","12,534","13,194","13,731","14,570","13,062","13,719","14,079","15,222","15,705","16,614","15,477","16,260","16,844","16,551","16,963","4,473","17,548","18,376","18,745","24,329","40,839","36,311","35,300","37,361","35,992","32,919","32,457","35,227","34,386","35,345","42,402","45,569","48,057","55,225","57,484","54,014","56,924","57,673","70,414","68,865","66,232","66,989","67,524","69,855","73,094","73,961","65,069","67,334","62,483","66,909","72,381","79,061","84,007","93,368","95,898","112,084","120,296","122,379","124,346","126,354"
