Department_or_other_unit,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015_estimate,2016_estimate,2017_estimate,2018_estimate,2019_estimate,2020_estimate
Department of the Interior,0.6,1.1,0.8,0.9,0.9,0.7,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3
Department of Justice,0.5,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.8,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.2,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.7
Department of Labor,5.4,4.2,6.7,3.3,4.4,4.5,4.2,4.0,4.4,3.5,2.3,2.4,2.3,2.1,2.0,2.1,2.6,3.3,3.2,2.6,2.1,2.2,2.0,2.0,2.0,1.7,2.3,3.1,3.0,2.4,1.8,1.7,1.7,1.7,3.7,5.1,3.7,2.9,2.4,1.5,1.3,2.0,1.3,1.3,1.3,1.3
Department of State,0.3,0.5,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.9,0.8,0.8,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.6
Department of Transportation,2.4,5.0,1.8,2.5,2.9,2.7,3.2,2.6,2.7,2.8,2.6,2.5,2.3,2.3,2.1,2.1,2.0,2.2,2.5,2.5,2.2,2.0,2.2,2.4,2.6,2.7,3.1,2.9,2.4,2.5,2.5,2.3,2.3,2.0,2.8,2.4,2.0,2.0,2.4,2.0,1.9,2.3,2.3,2.2,2.1,2.0
Department of the Treasury,10.9,11.2,10.6,11.2,11.4,13.4,12.3,13.7,13.4,15.2,16.0,17.6,17.4,18.5,19.3,20.0,19.9,20.0,20.2,20.1,22.8,23.0,23.0,23.1,21.8,21.5,19.9,17.8,16.3,15.7,15.9,16.8,17.2,22.6,22.0,11.3,14.1,12.4,12.7,12.2,13.2,14.2,16.0,17.0,18.0,18.6
Department of Veterans Affairs,4.7,4.7,4.1,3.8,3.7,3.2,3.1,3.1,2.9,2.9,2.7,2.7,2.6,2.7,2.5,2.4,2.4,2.3,2.4,2.4,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.5,2.6,2.5,2.7,2.6,2.8,2.7,2.4,3.6,3.5,3.5,3.9,4.6,4.2,4.1,4.3,4.2,4.2,4.1
Corps of Engineers--Civil Works,0.5,0.7,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.3,0.4,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Other Defense Civil Programs,1.8,2.0,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.7,1.8,1.7,1.7,1.6,1.6,1.4,1.4,1.6,1.5,2.3,1.7,1.6,1.5,1.5,1.5,1.4,1.4,1.4
Environmental Protection Agency,0.2,0.2,0.6,1.1,1.0,0.7,0.4,0.5,0.4,0.4,0.4,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2
Executive Office of the President,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.2,*,0.1,0.8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
General Services Administration,0.1,*,0.1,*,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,*,*,0.2,0.1,*,*,*,*,*,*,*,*,−*,*,*,0.1,*,*,*,*,*,0.2,*,−*,−*,−*,0.1,−*,*,*,*,*,*
International Assistance Programs,2.6,-0.8,1.1,1.7,1.3,1.9,2.2,1.4,0.8,2.1,2.0,1.1,1.3,1.1,0.9,1.0,1.1,0.9,1.7,0.6,1.0,0.6,0.5,0.4,1.5,0.8,0.6,0.7,0.8,0.6,0.7,0.7,1.8,0.7,0.8,0.8,0.7,1.8,0.3,0.8,0.9,0.4,0.3,0.4,0.4,0.4
National Aeronautics and Space Administration,0.8,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8,1.1,0.8,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
National Science Foundation,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Office of Personnel Management,2.1,2.5,2.2,2.3,2.4,2.3,2.5,2.6,2.6,2.5,2.4,2.6,2.6,2.8,2.7,2.7,2.7,2.4,2.7,2.6,2.8,2.8,2.7,2.8,2.7,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.2,2.0,1.8,2.1,2.3,2.3,2.5,2.5,2.5,2.4,2.3,2.3,2.3,2.2
Small Business Administration,0.1,*,0.2,0.7,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,*,*,0.1,*,0.1,0.1,0.1,0.1,0.1,0.1,*,*,*,−*,*,0.1,0.2,0.1,0.1,*,*,0.1,0.2,0.2,0.1,*,*,−*,0.1,*,*,*,*
Social Security Administration (On-Budget),1.4,1.6,1.4,1.2,1.1,1.1,1.1,1.1,3.5,1.9,1.9,1.6,1.6,1.7,1.6,1.4,1.5,1.6,1.9,2.1,2.1,1.9,2.1,2.1,2.2,2.5,2.2,2.1,2.0,2.1,2.1,1.9,2.0,1.8,1.9,2.0,4.4,5.3,3.1,2.3,2.4,2.4,2.4,2.3,2.3,2.3
Social Security Administration (Off-Budget),17.6,20.7,18.1,18.6,18.7,17.8,19.0,19.4,17.4,18.6,18.0,18.9,19.7,19.8,19.1,19.2,19.4,19.3,20.4,20.6,21.3,21.9,21.9,21.9,21.4,21.9,21.9,21.4,20.4,20.0,19.9,19.3,19.9,18.1,16.1,19.6,17.9,17.8,21.9,22.9,22.9,22.4,22.8,22.8,23.0,23.1
Other Independent Agencies (On-Budget),4.2,4.2,1.9,1.8,2.0,4.3,2.3,1.4,1.1,1.1,1.0,1.1,1.3,1.9,5.1,4.4,6.0,3.4,1.1,2.1,0.9,0.8,0.8,1.1,0.7,0.8,0.7,0.9,0.6,0.6,0.6,0.6,0.5,1.0,1.2,0.5,0.6,0.7,0.7,0.7,0.8,1.0,0.7,0.7,0.7,0.7
Other Independent Agencies (Off-Budget),..........,..........,..........,..........,..........,..........,..........,..........,*,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.2,0.1,*,0.1,0.3,0.3,0.2,0.1,*,0.1,..........,−*,*,*,*,*,*,*
Allowances,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,0.2,-0.4,0.6,1.6,0.8,0.8
Undistributed Offsetting Receipts,-5.3,-4.6,-4.9,-4.8,-4.9,-4.8,-5.7,-5.2,-5.9,-5.7,-5.7,-6.4,-7.0,-7.2,-7.4,-7.7,-7.9,-8.0,-8.1,-8.1,-8.9,-8.5,-9.4,-9.5,-9.0,-9.5,-9.8,-9.6,-9.3,-8.8,-8.8,-8.5,-9.1,-8.4,-6.7,-7.7,-7.9,-6.5,-7.2,-6.8,-7.5,-6.1,-5.9,-5.5,-5.3,-5.1
(On-budget),-4.4,-4.3,-4.1,-4.1,-4.3,-4.2,-5.2,-4.8,-5.5,-5.1,-5.1,-5.7,-6.2,-6.1,-6.1,-6.0,-6.1,-6.0,-5.9,-5.7,-6.4,-5.8,-6.5,-6.3,-5.6,-5.8,-5.8,-5.5,-5.2,-4.8,-4.8,-4.6,-5.0,-4.5,-3.5,-3.9,-4.1,-2.9,-3.7,-3.6,-4.6,-3.5,-3.4,-3.1,-3.1,-3.1
(Off-budget),-0.9,-0.4,-0.8,-0.7,-0.6,-0.5,-0.5,-0.5,-0.4,-0.6,-0.6,-0.7,-0.8,-1.1,-1.4,-1.7,-1.9,-2.0,-2.3,-2.3,-2.6,-2.7,-2.9,-3.2,-3.3,-3.7,-3.9,-4.1,-4.1,-4.1,-4.0,-3.9,-4.1,-3.8,-3.2,-3.8,-3.7,-3.6,-3.5,-3.2,-2.9,-2.7,-2.5,-2.3,-2.2,-2.1
Total budget authority,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
