Group,Program,Total_ 1940,Direct_ 1940,Grants_ 1940,Total_1941,Direct_1941,Grants_1941,Total_ 1942,Direct_ 1942,Grants_ 1942,Total_ 1943,Direct_ 1943,Grants_ 1943,Total_ 1944,Direct_ 1944,Grants_ 1944,Total_1945,Direct_1945,Grants_1945,Total_1946,Direct_1946,Grants_1946,Total_1947,Direct_1947,Grants_1947,Total_1948,Direct_1948,Grants_1948,Total_1949,Direct_1949,Grants_1949,Total_1950,Direct_1950,Grants_1950,Total_1951,Direct_1951,Grants_1951,Total_1952,Direct_1952,Grants_1952,Total_1953,Direct_1953,Grants_1953,Total_1954,Direct_1954,Grants_1954,Total_1955,Direct_1955,Grants_1955,Total_1956,Direct_1956,Grants_1956,Total_1957,Direct_1957,Grants_1957,Total_1958,Direct_1958,Grants_1958,Total_1959,Direct_1959,Grants_1959,Total_1960,Direct_1960,Grants_1960,Total_1961,Direct_1961,Grants_1961,Total_1962,Direct_1962,Grants_1962,Total_1963,Direct_1963,Grants_1963,Total_1964,Direct_1964,Grants_1964,Total_1965,Direct_1965,Grants_1965,Total_1966,Direct_1966,Grants_1966,Total_1967,Direct_1967,Grants_1967,Total_1968,Direct_1968,Grants_1968,Total_1969,Direct_1969,Grants_1969,Total_1970,Direct_1970,Grants_1970,Total_1971,Direct_1971,Grants_1971,Total_1972,Direct_1972,Grants_1972,Total_1973,Direct_1973,Grants_1973,Total_1974,Direct_1974,Grants_1974,Total_1975,Direct_1975,Grants_1975,Total_1976,Direct_1976,Grants_1976,Total_TQ,Direct_TQ,Grants_TQ,Total_1977,Direct_1977,Grants_1977,Total_1978,Direct_1978,Grants_1978,Total_1979,Direct_1979,Grants_1979,Total_1980,Direct_1980,Grants_1980,Total_1981,Direct_1981,Grants_1981,Total_1982,Direct_1982,Grants_1982,Total_1983,Direct_1983,Grants_1983,Total_1984,Direct_1984,Grants_1984,Total_1985,Direct_1985,Grants_1985,Total_1986,Direct_1986,Grants_1986,Total_1987,Direct_1987,Grants_1987,Total_1988,Direct_1988,Grants_1988,Total_1989,Direct_1989,Grants_1989,Total_v,Direct_1990,Grants_1990,Total_1991,Direct_1991,Grants_1991,Total_1992,Direct_1992,Grants_1992,Total_1993,Direct_1993,Grants_1993,Total_1994,Direct_1994,Grants_1994,Total_1995,Direct_1995,Grants_1995,Total_1996,Direct_1996,Grants_1996,Total_1997,Direct_1997,Grants_1997,Total_1998,Direct_1998,Grants_1998,Total_1999,Direct_1999,Grants_1999,Total_2000,Direct_2000,Grants_2000,Total_2001,Direct_2001,Grants_2001,Total_2002,Direct_2002,Grants_2002,Total_2003,Direct_2003,Grants_2003,Total_2004,Direct_2004,Grants_2004,Total_2005,Direct_2005,Grants_2005,Total_2006,Direct_2006,Grants_2006,Total_2007,Direct_2007,Grants_2007,Total_2008,Direct_2008,Grants_2008,Total_2009,Direct_2009,Grants_2009,Total_2010,Direct_2010,Grants_2010,Total_2011,Direct_2011,Grants_2011,Total_2012,Direct_2012,Grants_2012,Total_2013,Direct_2013,Grants_2013,Total_2014,Direct_2014,Grants_2014,Total_2015_estimate,Direct_2015_estimate,Grants_2015_estimate,Total_2016_estimate,Direct_2016_estimate,Grants_2016_estimate,Total_2017_estimate,Direct_2017_estimate,Grants_2017_estimate,Total_2018_estimate,Direct_2018_estimate,Grants_2018_estimate,Total_2019_estimate,Direct_2019_estimate,Grants_2019_estimate,Total_2020_estimate,Direct_2020_estimate,Grants_2020_estimate
Medical care,Medical care:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical care,Medicare: hospital insurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"2,508","2,508",..........,"3,736","3,736",..........,"4,654","4,654",..........,"4,804","4,804",..........,"5,443","5,443",..........,"6,109","6,109",..........,"6,649","6,649",..........,"7,807","7,807",..........,"10,355","10,355",..........,"12,270","12,270",..........,"3,315","3,315",..........,"14,912","14,912",..........,"17,419","17,419",..........,"19,900","19,900",..........,"23,802","23,802",..........,"28,916","28,916",..........,"34,354","34,354",..........,"38,005","38,005",..........,"41,476","41,476",..........,"47,841","47,841",..........,"49,018","49,018",..........,"49,976","49,976",..........,"52,022","52,022",..........,"57,433","57,433",..........,"65,912","65,912",..........,"68,705","68,705",..........,"80,784","80,784",..........,"90,738","90,738",..........,"101,535","101,535",..........,"113,583","113,583",..........,"124,089","124,089",..........,"136,175","136,175",..........,"135,486","135,486",..........,"129,462","129,462",..........,"127,933","127,933",..........,"139,356","139,356",..........,"145,566","145,566",..........,"151,250","151,250",..........,"164,078","164,078",..........,"181,291","181,291",..........,"181,815","181,815",..........,"200,191","200,191",..........,"218,525","218,525",..........,"234,659","234,659",..........,"245,585","245,585",..........,"255,718","255,718",..........,"254,459","254,459",..........,"262,436","262,436",..........,"262,569","262,569",..........,"268,009","268,009",..........,"283,439","283,439",..........,"288,339","288,339",..........,"297,515","297,515",..........,"322,258","322,258",..........,"341,486","341,486",..........
Medical care,Medicare: supplementary medical insurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,664,664,..........,"1,390","1,390",..........,"1,645","1,645",..........,"1,979","1,979",..........,"2,035","2,035",..........,"2,255","2,255",..........,"2,391","2,391",..........,"2,874","2,874",..........,"3,765","3,765",..........,"4,672","4,672",..........,"1,269","1,269",..........,"5,867","5,867",..........,"6,856","6,856",..........,"8,260","8,260",..........,"10,152","10,152",..........,"12,351","12,351",..........,"14,813","14,813",..........,"17,493","17,493",..........,"19,475","19,475",..........,"21,808","21,808",..........,"25,166","25,166",..........,"29,937","29,937",..........,"33,682","33,682",..........,"36,867","36,867",..........,"41,498","41,498",..........,"45,514","45,514",..........,"48,627","48,627",..........,"52,409","52,409",..........,"58,006","58,006",..........,"63,491","63,491",..........,"67,176","67,176",..........,"71,133","71,133",..........,"74,841","74,841",..........,"79,008","79,008",..........,"87,212","87,212",..........,"97,526","97,526",..........,"107,108","107,108",..........,"121,810","121,810",..........,"131,842","131,842",..........,"149,989","149,989",..........,"190,560","190,560",..........,"226,702","226,702",..........,"227,305","227,305",..........,"253,690","253,690",..........,"264,882","264,882",..........,"292,748","292,748",..........,"283,165","283,165",..........,"305,511","305,511",..........,"322,430","322,430",..........,"344,833","344,833",..........,"388,634","388,634",..........,"397,176","397,176",..........,"403,688","403,688",..........,"452,197","452,197",..........,"490,563","490,563",..........
Medical care,Children's health insurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,5,..........,5,565,..........,565,"1,220",..........,"1,220","3,699",..........,"3,699","3,682",..........,"3,682","4,355",..........,"4,355","4,607",..........,"4,607","5,129",..........,"5,129","5,451",..........,"5,451","6,000",..........,"6,000","6,900",..........,"6,900","7,547",..........,"7,547","7,887",..........,"7,887","8,633",..........,"8,633","9,065",..........,"9,065","9,483",..........,"9,483","9,317",..........,"9,317","10,608",..........,"10,608","14,570",..........,"14,570","15,893",..........,"15,893","17,060",..........,"17,060","17,905",..........,"17,905","6,090",..........,"6,090"
Medical care,Medicaid,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,23,..........,23,103,..........,103,157,..........,157,210,..........,210,272,..........,272,770,..........,770,"1,173",..........,"1,173","1,806",*,"1,806","2,285",..........,"2,285","2,727",..........,"2,727","3,362",..........,"3,362","4,601",..........,"4,601","4,600",..........,"4,600","5,818",..........,"5,818","6,840",..........,"6,840","8,568",..........,"8,568","2,229",..........,"2,229","9,876",..........,"9,876","10,680",..........,"10,680","12,407",..........,"12,407","13,957",..........,"13,957","16,833",..........,"16,833","17,391",..........,"17,391","18,985",..........,"18,985","20,061",..........,"20,061","22,655",..........,"22,655","24,995",..........,"24,995","27,435",..........,"27,435","30,462",..........,"30,462","34,604",..........,"34,604","41,103",..........,"41,103","52,533",..........,"52,533","67,827",..........,"67,827","75,774",..........,"75,774","82,034",..........,"82,034","89,070",..........,"89,070","91,990",..........,"91,990","95,552",..........,"95,552","101,234",..........,"101,234","108,042",..........,"108,042","117,921",..........,"117,921","129,374",-60,"129,434","147,512",-138,"147,650","160,693",-112,"160,805","176,231",..........,"176,231","181,720",..........,"181,720","180,625",..........,"180,625","190,624",..........,"190,624","201,426",..........,"201,426","250,924",..........,"250,924","272,771",..........,"272,771","274,964",..........,"274,964","250,534",..........,"250,534","265,392",..........,"265,392","301,472",..........,"301,472","333,080",..........,"333,080","351,005",..........,"351,005","364,271",-13,"364,284","382,325",-13,"382,338","403,868",-14,"403,882","426,532",-15,"426,547"
Medical care,Indian health,6,6,..........,6,6,..........,6,6,..........,6,6,..........,6,6,..........,5,5,..........,6,6,..........,6,6,..........,7,7,..........,11,11,..........,12,12,..........,15,15,..........,16,16,..........,20,20,..........,21,21,..........,25,25,..........,32,32,..........,39,39,..........,41,41,..........,47,47,..........,55,55,..........,58,58,..........,62,62,..........,62,62,..........,66,66,..........,71,71,..........,75,75,..........,83,83,..........,94,94,..........,107,107,..........,120,120,..........,143,143,..........,170,170,..........,198,198,..........,216,216,..........,283,283,..........,332,332,..........,91,91,..........,395,395,..........,467,467,..........,555,555,..........,637,637,..........,679,679,..........,654,654,..........,692,692,..........,790,790,..........,872,872,..........,870,870,..........,866,866,..........,951,951,..........,"1,050","1,050",..........,"1,117","1,117",..........,"1,310","1,310",..........,"1,558","1,558",..........,"1,742","1,742",..........,"1,822","1,822",..........,"2,012","2,012",..........,"2,031","2,031",..........,"2,174","2,174",..........,"2,151","2,151",..........,"2,201","2,201",..........,"2,379","2,379",..........,"2,561","2,561",..........,"2,817","2,817",..........,"2,945","2,945",..........,"3,063","3,063",..........,"3,117","3,117",..........,"3,253","3,253",..........,"3,273","3,273",..........,"3,250","3,250",..........,"3,644","3,644",..........,"4,359","4,359",..........,"4,176","4,176",..........,"4,524","4,524",..........,"4,274","4,274",..........,"4,510","4,510",..........,"5,010","5,010",..........,"5,237","5,237",..........,"5,349","5,349",..........,"5,591","5,591",..........,"5,703","5,703",..........,"5,421","5,421",..........
Medical care,Hospital and medical care for veterans,69,68,1,73,72,1,81,79,1,87,85,1,97,96,1,131,129,1,253,252,1,516,515,2,559,557,2,620,617,3,764,761,3,744,741,4,783,779,4,755,752,4,675,672,4,706,700,5,768,762,6,780,774,6,832,826,6,894,887,6,931,925,6,996,988,8,"1,084","1,076",7,"1,145","1,137",7,"1,229","1,221",8,"1,269","1,261",8,"1,318","1,309",9,"1,390","1,380",10,"1,468","1,455",13,"1,562","1,548",14,"1,798","1,781",18,"2,034","2,015",19,"2,423","2,405",19,"2,710","2,689",20,"3,004","2,978",26,"3,663","3,630",32,"4,044","3,992",52,"1,038","1,025",13,"4,706","4,628",79,"5,252","5,177",76,"5,611","5,524",86,"6,513","6,423",90,"6,964","6,891",73,"7,517","7,455",62,"8,272","8,208",64,"8,860","8,795",65,"9,546","9,456",91,"9,871","9,785",87,"10,299","10,205",94,"10,960","10,854",106,"11,488","11,364",125,"12,281","12,151",131,"13,158","13,020",138,"14,526","14,371",155,"15,318","15,133",185,"16,223","16,026",197,"17,001","16,751",250,"17,144","16,880",264,"17,613","17,342",271,"18,107","17,822",285,"18,742","18,429",313,"20,090","19,668",422,"21,730","21,342",388,"23,465","23,105",360,"25,568","25,165",403,"28,556","28,102",454,"30,650","30,119",531,"31,888","31,300",588,"34,485","33,872",613,"39,409","38,745",664,"44,637","43,858",779,"48,506","47,706",800,"52,681","51,735",946,"53,002","51,949","1,053","55,091","54,059","1,032","58,932","57,749","1,183","60,673","59,457","1,216","66,027","64,721","1,306","69,689","68,264","1,425","70,348","68,899","1,449","71,681","70,209","1,472","73,253","71,752","1,501"
Medical care,Health resources and services,21,3,18,24,3,20,26,4,22,30,7,23,78,10,68,94,12,82,72,12,60,60,14,46,48,15,33,66,24,42,120,27,93,180,31,149,203,34,169,191,37,154,168,37,130,150,36,114,141,38,104,168,43,125,218,52,166,267,60,207,254,58,196,276,62,214,301,62,239,331,63,268,379,80,299,425,92,333,495,124,372,613,159,454,648,81,567,798,138,660,923,197,726,935,263,672,"1,030",202,828,982,180,802,986,178,808,"1,298",351,947,"1,541",248,"1,293",284,57,227,"1,460",299,"1,161","1,308",279,"1,029","1,417",288,"1,129","1,500",578,922,"1,470",353,"1,117","1,546",955,591,"1,174",745,429,"1,203",178,"1,025","1,224",186,"1,037","1,249",171,"1,078","1,235",107,"1,128","1,308",229,"1,079","1,230",145,"1,085","1,371",230,"1,141","1,467",355,"1,112","1,832",473,"1,359","1,994",555,"1,438","2,258",793,"1,465","2,213",778,"1,435","3,537",775,"2,762","3,023","1,943","1,080","3,042","1,451","1,591","3,481","2,033","1,448","3,884","1,856","2,028","4,065","2,245","1,820","5,012","2,659","2,353","5,323","2,810","2,513","5,482","2,667","2,815","5,884","2,657","3,227","6,087","2,747","3,340","5,886","2,703","3,183","6,268","3,158","3,110","6,465","3,405","3,060","7,078","4,091","2,987","7,544","4,704","2,840","7,755","5,107","2,648","7,303","4,831","2,472","7,604","5,114","2,490","7,868","5,374","2,494","8,854","6,409","2,445","8,690","6,245","2,445","8,856","6,343","2,513","7,532","4,965","2,567","6,328","3,734","2,594"
Medical care,Substance abuse and mental health services,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,3,..........,3,3,..........,3,3,..........,3,3,..........,3,3,..........,3,2,..........,2,2,..........,2,3,..........,3,4,..........,4,6,..........,6,6,..........,6,5,*,5,8,−*,8,11,1,10,12,4,7,13,3,10,9,-2,11,15,3,12,23,12,11,39,18,21,52,22,30,110,30,80,151,35,116,232,45,187,395,76,319,358,56,302,639,49,590,604,69,535,172,16,156,516,45,471,642,37,605,632,38,594,730,51,679,712,48,664,656,..........,656,506,..........,506,501,..........,501,501,..........,501,494,..........,494,622,..........,622,720,..........,720,666,..........,666,"1,241",..........,"1,241","1,744",..........,"1,744","1,778",..........,"1,778","1,994",..........,"1,994","2,132",..........,"2,132","2,444",..........,"2,444","2,084",1,"2,083","1,622",..........,"1,622","2,234",-2,"2,236","2,215",1,"2,214","2,499",568,"1,931","2,737",643,"2,094","2,885",692,"2,193","3,038",867,"2,171","3,112",871,"2,241","3,203",..........,"3,203","3,183",..........,"3,183","3,180",1,"3,179","3,129",282,"2,847","3,372",484,"2,888","3,325",479,"2,846","3,413",449,"2,964","3,016",275,"2,741","3,225",334,"2,891","3,193",480,"2,713","3,920",588,"3,332","3,465",520,"2,945","3,460",514,"2,946","3,490",499,"2,991","3,535",501,"3,034","3,575",505,"3,070"
Medical care,Uniformed Services retiree health care fund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"4,315","4,315",..........,"5,202","5,202",..........,"6,273","6,273",..........,"7,067","7,067",..........,"7,604","7,604",..........,"7,915","7,915",..........,"8,358","8,358",..........,"8,429","8,429",..........,"8,600","8,600",..........,"8,668","8,668",..........,"8,215","8,215",..........,"9,255","9,255",..........,"10,559","10,559",..........,"9,983","9,983",..........,"10,478","10,478",..........,"11,035","11,035",..........,"11,421","11,421",..........,"12,006","12,006",..........
Medical care,Center for Medicare and Medicaid Innovation,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,11,11,..........,218,218,..........,656,656,..........,997,997,..........,"1,291","1,291",..........,"1,590","1,590",..........,"1,526","1,526",..........,"1,354","1,354",..........,"1,218","1,218",..........,"1,060","1,060",..........
Medical care,Refundable Premium Tax Credit and Cost Sharing Reductions,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"13,068","13,068",..........,"28,564","28,564",..........,"44,782","44,782",..........,"54,939","54,939",..........,"75,443","75,443",..........,"88,026","88,026",..........,"98,156","98,156",..........
Medical care,Pre-Existing Condition Insurance Plan Program,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,4,4,..........,402,402,..........,"1,501","1,501",..........,"2,141","2,141",..........,535,535,..........,33,33,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Medical care,Early Retiree Reinsurance,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,1,1,..........,"2,975","2,975",..........,"1,926","1,926",..........,59,59,..........,13,13,..........,-10,-10,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
Medical care,Postal Service Retiree Health Benefits Fund,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"3,146","3,146",..........,"3,336","3,336",..........,"3,941","3,941",..........,"4,279","4,279",..........,"4,636","4,636",..........,"5,021","5,021",..........
