Fiscal_Year,Total_ In_Millions_of_Dollars,National_Defense_ In_Millions_of_Dollars,Nondefense_ In_Millions_of_Dollars,Total_In_Billions_of_Constant_FY_2009_Dollars,National_Defense_In_Billions_of_Constant_FY_2009_Dollars,Nondefense_In_Billions_of_Constant_FY_2009_Dollars,Total_As_Percentages_of_Total_Outlays,National_Defense_As_Percentages_of_Total_Outlays,Nondefense_As_Percentages_of_Total_Outlays,Total_As_Percentages_of_GDP,National_Defense_As_Percentages_of_GDP,Nondefense_As_Percentages_of_GDP
1982,"135,565","67,805","67,760",250.4,107.0,143.4,18.2,9.1,9.1,4.1,2.0,2.0
1983,"146,848","81,568","65,280",255.2,121.9,133.4,18.2,10.1,8.1,4.1,2.3,1.8
1984,"165,006","94,052","70,954",274.6,135.4,139.2,19.4,11.0,8.3,4.2,2.4,1.8
1985,"186,631","108,394","78,236",302.1,153.7,148.4,19.7,11.5,8.3,4.4,2.5,1.8
1986,"200,206","120,428","79,777",320.4,171.5,148.9,20.2,12.2,8.1,4.4,2.7,1.8
1987,"204,295","126,749","77,546",320.0,180.4,139.6,20.3,12.6,7.7,4.3,2.7,1.6
1988,"208,400","123,858","84,542",322.2,175.2,147.0,19.6,11.6,7.9,4.0,2.4,1.6
1989,"220,895","131,033","89,862",333.2,181.0,152.3,19.3,11.5,7.9,4.0,2.4,1.6
1990,"227,704","130,960","96,744",335.7,176.7,159.0,18.2,10.5,7.7,3.8,2.2,1.6
1991,"231,246","127,319","103,926",331.3,166.3,165.0,17.5,9.6,7.8,3.8,2.1,1.7
1992,"233,833","120,836","112,997",329.4,155.5,173.9,16.9,8.7,8.2,3.6,1.9,1.8
1993,"236,715","116,636","120,078",327.6,147.3,180.3,16.8,8.3,8.5,3.5,1.7,1.8
1994,"223,194","104,815","118,379",304.6,129.7,175.0,15.3,7.2,8.1,3.1,1.5,1.6
1995,"233,180","97,583","135,597",312.4,118.3,194.1,15.4,6.4,8.9,3.1,1.3,1.8
1996,"228,043","94,414","133,629",300.3,113.2,187.2,14.6,6.1,8.6,2.9,1.2,1.7
1997,"228,756","92,587","136,169",298.9,110.6,188.3,14.3,5.8,8.5,2.7,1.1,1.6
1998,"228,042","93,699","134,343",296.7,111.2,185.5,13.8,5.7,8.1,2.5,1.0,1.5
1999,"239,874","94,162","145,712",307.2,110.4,196.8,14.1,5.5,8.6,2.5,1.0,1.5
2000,"254,787","97,114","157,673",319.0,111.9,207.1,14.2,5.4,8.8,2.5,1.0,1.6
2001,"284,950","105,193","179,757",350.4,119.9,230.5,15.3,5.6,9.6,2.7,1.0,1.7
2002,"313,793","116,588","197,205",381.4,132.5,248.9,15.6,5.8,9.8,2.9,1.1,1.8
2003,"346,329","132,044","214,285",413.2,148.3,265.0,16.0,6.1,9.9,3.1,1.2,1.9
2004,"369,594","148,966","220,628",429.3,164.2,265.1,16.1,6.5,9.6,3.1,1.2,1.8
2005,"393,596","160,131","233,465",439.5,172.3,267.2,15.9,6.5,9.4,3.1,1.2,1.8
2006,"430,400","170,318","260,082",464.1,178.9,285.2,16.2,6.4,9.8,3.1,1.2,1.9
2007,"429,813","184,905","244,908",448.0,190.3,257.8,15.8,6.8,9.0,3.0,1.3,1.7
2008,"459,716","205,912","253,804",466.1,207.9,258.3,15.4,6.9,8.5,3.1,1.4,1.7
2009,"482,246","222,650","259,596",482.2,222.6,259.6,13.7,6.3,7.4,3.3,1.5,1.8
2010,"562,205","228,412","333,793",559.9,226.9,333.0,16.3,6.6,9.7,3.8,1.5,2.3
2011,"537,905","221,235","316,670",525.2,215.7,309.5,14.9,6.1,8.8,3.5,1.4,2.1
2012,"503,313","213,198","290,115",482.2,205.3,276.9,14.2,6.0,8.2,3.1,1.3,1.8
2013,"464,917","198,019","266,898",439.3,188.5,250.8,13.5,5.7,7.7,2.8,1.2,1.6
2014,"464,296","187,643","276,653",432.3,175.9,256.4,13.2,5.4,7.9,2.7,1.1,1.6
2015 estimate,"520,859","187,814","333,045",478.0,173.6,304.4,13.9,5.0,8.9,2.9,1.0,1.9
2016 estimate,"490,594","187,829","302,765",441.4,170.9,270.5,12.3,4.7,7.6,2.6,1.0,1.6
